件,格,H,月數,點估計_pp,月分群_lo,月分群_hi,月分群含0,區段數G,區段_lo,區段_hi,區段含0,區段_t_lo,區段_t_hi,寬度倍數,lag1,lag2,lag3,lag4,lag5
四型主格,正在噴出,120,63,2.660033278613206,0.7465428890727533,4.573523668153659,False,11,-0.5495779662885294,5.869644523514942,True,,,1.6773594800612306,0.5056625381240271,0.3021382847582764,0.15357699665796867,0.09700408088574233,-0.026467084333476935
四型主格,死水,120,63,-3.826331902923413,-5.436076692778203,-2.216587113068624,False,11,-6.982546227036668,-0.6701175788101588,False,,,1.9606923681349315,0.7931523734306665,0.6294810844119546,0.4494066540773849,0.3276643956765006,0.21493575025441278
四型主格,營收＋回檔,120,61,7.164088698843674,4.128683221154575,10.199494176532772,False,11,1.9522575522453351,12.375919845442013,False,,,1.717013158507636,0.3957896725630959,0.36770114166178275,0.3853875336270329,0.24441307130574472,0.2819986334252202
四型主格,純技術＋回檔,120,63,-0.1533813452834107,-1.1634085301575348,0.8566458395907133,True,11,-1.5251475508505565,1.218384860283735,True,,,1.358147806425729,0.20066962155301787,0.22343770834168902,-0.01112833766043622,0.04310362819843836,0.0004131247321336238
P8 2-A,D10−D1,20,111,1.4566204775913179,0.30957615330894084,2.6036648018736948,False,107,0.34870183966805923,2.5645391155145765,False,,,0.9658899961136233,-0.2276579893297391,0.08312276120351166,0.0038820201041092255,-0.020091824172801073,0.036473790680414626
P8 2-A,D10−D1,60,111,4.652070623032026,2.725897664937694,6.578243581126358,False,38,2.217674294467242,7.086466951596811,False,,,1.2638513682453862,0.4135994456895659,0.3073377192179682,0.07417316933732968,-0.04632158957735683,-0.0658394660265121
P8 2-A,D10−D1,120,111,8.771812354698103,6.097337428893537,11.446287280502668,False,19,4.430892587126879,13.112732122269326,False,,,1.623092340738749,0.4421762453607513,0.3189829713845352,0.1715725189569324,-0.004012597175409112,-0.03760273507981603
