sid,rule,k,idx,n,nb,路徑
1613,A3,512,546,547,557,ambig_開收同價且在邊界
1613,LD,512,546,547,557,ambig_開收同價且在邊界
1737,A3,2834,2854,2855,2865,exc_資料尾
2856,A2,897,906,907,917,exc_資料尾
3642,LD,1884,1918,1919,1929,ambig_開收同價且在邊界
5264,A2,1371,1469,1470,1480,exc_資料尾
5264,A2,1444,1469,1470,1480,exc_資料尾
6227,M5,2853,2854,2855,2865,exc_資料尾
