目錄,創新板代號,DR代號
results,12,6
results11,15,7
results13,3,0
results13_adj0914,3,0
results13_f3_0914,3,0
results13_pub15_0914,4,0
results13b,3,0
results15,13,7
results15_adj0914,13,7
results15_otcO_0914,13,7
results16,26,7
results16_adj0914,26,7
results17,6,2
results18,26,7
results19,9,2
results21,13,7
results3,4,6
results3_amt,6,2
results3_f3_0914,4,6
results3_pub15_0914,4,6
results5,6,5
results6,6,5
results7,6,5
results_amt,9,3
results_audit,26,7
results_d4,20,7
resultsd4ov,4,0
resultsp1,12,6
resultsp11,1,0
resultsp13,2,1
resultsp14,3,0
resultsp15,15,5
resultsp16,21,5
resultsp17,18,7
resultsp17_bc,3,0
resultsp17_run1,18,7
resultsp1b,0,1
resultsp4,21,7
resultsp5win,6,5
resultsp7,3,1
