sid,g1_pos,新xpos,舊xpos
3587,2804,2854,2849
3592,2761,2854,2849
3594,2784,2854,2849
3594,2804,2854,2849
3596,2804,2854,2849
3645,2742,2854,2849
3645,2761,2854,2849
3653,2784,2854,2849
3653,2804,2854,2849
3693,2804,2854,2849
3694,2742,2854,2849
3702,2742,2854,2849
3702,2804,2854,2849
3706,2742,2854,2849
3706,2784,2854,2849
3706,2804,2854,2849
4114,2804,2854,2849
4147,2742,2854,2849
4164,2742,2854,2849
4303,2784,2854,2849
4416,2804,2854,2849
4540,2742,2854,2849
4541,2742,2854,2849
4541,2804,2854,2849
4543,2742,2854,2849
4576,2742,2854,2849
4576,2761,2854,2849
4576,2804,2854,2849
4720,2742,2854,2849
4749,2804,2854,2849
4766,2742,2854,2849
4915,2804,2854,2849
4916,2742,2854,2849
4916,2761,2854,2849
4916,2804,2854,2849
4952,2761,2854,2849
4952,2804,2854,2849
4956,2742,2854,2849
4961,2804,2854,2849
4967,2742,2854,2849
5009,2804,2854,2849
5234,2742,2854,2849
5291,2761,2854,2849
5340,2742,2854,2849
5340,2784,2854,2849
5340,2804,2854,2849
5388,2804,2854,2849
5434,2742,2854,2849
5434,2804,2854,2849
5439,2804,2854,2849
5469,2742,2854,2849
5469,2804,2854,2849
5471,2742,2854,2849
5471,2761,2854,2849
5484,2804,2854,2849
5490,2804,2854,2849
5498,2742,2854,2849
5498,2784,2854,2849
5498,2804,2854,2849
5515,2742,2854,2849
5521,2742,2854,2849
5607,2784,2854,2849
5607,2804,2854,2849
5905,2742,2854,2849
5905,2761,2854,2849
6015,2804,2854,2849
6112,2742,2854,2849
6112,2784,2854,2849
6113,2804,2854,2849
6125,2784,2854,2849
6125,2804,2854,2849
6126,2742,2854,2849
6126,2761,2854,2849
6126,2784,2854,2849
6126,2804,2854,2849
6129,2742,-1,2842
6138,2804,2854,2849
6146,2761,2854,2849
6146,2784,2854,2849
6146,2804,2854,2849
6151,2761,2854,2849
6156,2784,2854,2849
6156,2804,2854,2849
6165,2804,2854,2849
6168,2761,2854,2849
6168,2804,2854,2849
6187,2784,2854,2849
6187,2804,2854,2849
6190,2742,2854,2849
6190,2761,2854,2849
6191,2804,2854,2849
6196,2761,2854,2849
6196,2784,2854,2849
6196,2804,2854,2849
6197,2761,2854,2849
6197,2784,2854,2849
6197,2804,2854,2849
6206,2742,2854,2849
6206,2761,2854,2849
6214,2804,2854,2849
6215,2742,2854,2849
6215,2761,2854,2849
6218,2804,2854,2849
6227,2761,2854,2849
6231,2742,2854,2849
6265,2784,2854,2849
6265,2804,2854,2849
6270,2804,2854,2849
6282,2804,2854,2849
6285,2761,2854,2849
6285,2784,2854,2849
6285,2804,2854,2849
6414,2784,2854,2849
6414,2804,2854,2849
6419,2784,2854,2849
6426,2804,2854,2849
6432,2761,2854,2849
6438,2742,2854,2849
6469,2784,2854,2849
6472,2784,2854,2849
6472,2804,2854,2849
6491,2784,2854,2849
6491,2804,2854,2849
6505,2804,2854,2849
6510,2784,2854,2849
6510,2804,2854,2849
6526,2761,2854,2849
6526,2784,2854,2849
6526,2804,2854,2849
6530,2742,2854,2849
6548,2742,2854,2849
6548,2761,2854,2849
6548,2804,2854,2849
6579,2784,2854,2849
6579,2804,2854,2849
6585,2804,2854,2849
6642,2804,2854,2849
6669,2804,2854,2849
6691,2784,2854,2849
6691,2804,2854,2849
6756,2784,2854,2849
6788,2784,2854,2849
6788,2804,2854,2849
6901,2804,2854,2849
6903,2742,2854,2849
6913,2761,2854,2849
8048,2761,2854,2849
8070,2742,2854,2849
8070,2761,2854,2849
8070,2804,2854,2849
8071,2784,2854,2849
8074,2742,2854,2849
8076,2784,2854,2849
8103,2761,2854,2849
8103,2804,2854,2849
8109,2804,2854,2849
8112,2742,2854,2849
8112,2784,2854,2849
8112,2804,2854,2849
8155,2761,2854,2849
8155,2804,2854,2849
8234,2804,2854,2849
8289,2804,2854,2849
8415,2742,2854,2849
8415,2761,2854,2849
8415,2804,2854,2849
8422,2784,2854,2849
8464,2742,2854,2849
8926,2761,2854,2849
8926,2784,2854,2849
9934,2804,2854,2849
9939,2784,2854,2849
9939,2804,2854,2849
9958,2742,2854,2849
9958,2761,2854,2849
9958,2804,2854,2849
