rep,c,m,判過
0,0.2299267651596445,0.4221806300549913,False
1,0.22483796473862971,0.4177063334955152,False
2,0.21976637088958073,0.42328964243974,False
3,0.22488223473131785,0.4156255568664339,False
4,0.23432221384961238,0.4176809386263657,False
5,0.22986184883920935,0.42093896768688577,False
6,0.2302603524889163,0.41650390948927857,False
7,0.2297624060082295,0.41559094596431256,False
8,0.2342603966589767,0.4213352886619186,False
9,0.2368356627595728,0.41636345615500625,False
10,0.23316359437129064,0.41995790738428024,False
11,0.22819212429272684,0.4185703736644225,False
12,0.23210227841916575,0.4212860608263511,False
13,0.23392560998525658,0.4208953599625795,False
14,0.2234411319948958,0.4233142383692534,False
15,0.22711483532360932,0.4221472572993328,False
16,0.21978565333302258,0.4206427132046693,False
17,0.22585518432514062,0.4140114083854517,False
18,0.23333564276880858,0.4198618691257971,False
19,0.2255757357615107,0.41663996468509645,False
20,0.2362511546186069,0.41639927038644087,False
21,0.2233687670378507,0.4163155948433598,False
22,0.22569303027257415,0.4148227768495708,False
23,0.22963835037903735,0.42215931106812155,False
24,0.2234042235123005,0.4188996900506512,False
25,0.23283697909800094,0.41424854970566216,False
26,0.2209729752460443,0.4176211376423128,False
27,0.2301565506345662,0.4146213167234724,False
28,0.22743973621550884,0.4162118519227338,False
29,0.2253999492390626,0.42681656782497285,False
