幣,k,閘門_年化,閘門_回落,同曝險對照_年化,同曝險對照_回落,C1原始_年化,C1原始_回落,閘門回落比對照淺,回落差_pp,年化差_pp
ETH,0.8967,0.38302995878425494,-0.6269577456355429,0.3075461103061854,-0.688042798876976,0.3224171248939738,-0.736553551727065,True,6.10850532414331,7.548384847806955
XRP,0.8474,0.07758881883193247,-0.7843105669198088,0.007677346025345644,-0.8592653399468042,-0.03284802426439515,-0.9134773908749424,True,7.495477302699538,6.991147280658683
DOGE,0.8629,0.8084504839814122,-0.8370920162233302,0.6862850469645221,-0.8492611224558877,0.6906680453258733,-0.8994896561983394,True,1.2169106232557514,12.216543701689009
