目錄,掃過檔數,命中檔數,出現的DR
results,8,5,9103、9105、9106、9110、9136、9188
results11,6,3,9103、9105、9106、9110、9136、9157、9188
results13,5,0,—
results13_adj0914,4,0,—
results13_f3_0914,4,0,—
results13_pub15_0914,4,0,—
results13_win0914,1,0,—
results13b,4,0,—
results15,3,2,9103、9105、9106、9110、9136、9157、9188
results15_adj0914,2,1,9103、9105、9106、9110、9136、9157、9188
results15_otcO_0914,2,1,9103、9105、9106、9110、9136、9157、9188
results16,3,1,9103、9105、9106、9110、9136、9157、9188
results16_adj0914,2,1,9103、9105、9106、9110、9136、9157、9188
results17,4,1,9103、9105
results18,3,1,9103、9105、9106、9110、9136、9157、9188
results19,4,1,9105、9136
results19_calibA_0914,1,0,—
results20,2,0,—
results21,3,1,9103、9105、9106、9110、9136、9157、9188
results3,3,1,9103、9105、9110、9136、9157、9188
results3_amt,2,1,9103、9105
results3_f3_0914,2,1,9103、9105、9110、9136、9157、9188
results3_pub15_0914,2,1,9103、9105、9106、9110、9136、9188
results5,3,1,9103、9105、9110、9136、9188
results6,7,1,9103、9105、9110、9136、9188
results7,3,1,9103、9105、9110、9136、9188
results8,3,0,—
results_amt,5,3,9103、9105、9136
results_audit,16,6,9103、9105、9106、9110、9136、9157、9188
results_d4,6,1,9103、9105、9106、9110、9136、9157、9188
results_step2,13,0,—
results_top50,8,0,—
resultsc1,3,0,—
resultsc3,6,0,—
resultsc4,3,0,—
resultsd4ov,2,0,—
resultsm1,5,0,—
resultsp1,51,22,9103、9105、9110、9136、9157、9188
resultsp11,5,0,—
resultsp12,14,0,—
resultsp13,7,1,9105
resultsp14,6,0,—
resultsp15,13,2,9105、9106、9110、9136、9157
resultsp16,16,6,9103、9105、9106、9110、9188
resultsp17,10,1,9103、9105、9106、9110、9136、9157、9188
resultsp17_bc,3,0,—
resultsp17_run1,10,1,9103、9105、9106、9110、9136、9157、9188
resultsp1b,4,1,9106
resultsp2,9,0,—
resultsp3,5,0,—
resultsp4,27,5,9103、9105、9106、9110、9136、9157、9188
resultsp5win,8,3,9103、9105、9110、9136、9188
resultsp6,3,0,—
resultsp7,7,1,9105
resultsp8,5,0,—
resultsp9,9,0,—
