規則,呼叫,例外,無法區分,正常,抱到上限,窗不足,例外占有效出場
A2,24322,3,0,23577,186,556,0.0126
A3,24322,1,1,23149,615,556,0.0042
M5,24322,1,0,23731,34,556,0.0042
LD,24322,0,2,8755,15009,556,0.0
