arm,n列,年化med,回落med,年化腳成立,回落腳成立,至少一腳嚴格優,通過判準
R_eq,200,0.26793188272140567,0.3270196253806906,True,True,True,True
R_rp,200,0.26793188272137225,0.32701962538065954,True,True,True,True
R_tv,200,0.2829063658334683,0.37867560260372557,True,False,True,False
W0,200,0.24020209886370614,0.3395700527611012,True,True,False,False
W1,200,0.2820350701063953,0.41432426935458594,True,False,True,False
W_fix,200,0.2689738167220883,0.33203920680293714,True,True,True,True
W_shuf,6000,0.2597737824463914,0.3254846449144954,True,True,True,True
