sig,筆數,進場走退路,進場開盤漲停,出場日沒成交
S1 門檻B（T1）,2882,0,1,0
S0 全市場ALL（T1）,54602,0,70,151
S1 T0／主格窗,4,0,0,0
S1 T0／全窗,8,0,0,0
S0 T0／主格窗,670,0,0,2
S0 T0／全窗,371,0,0,28
