訊號,種子,了結,無法區分,舊_掛到尾,新_掛到尾,舊_年化,新_年化,年化差pp,舊_回落,新_回落
門檻B H120,0,0,0,0,0,0.32339738065382173,0.32339738065382173,0.0,-0.41770287944382745,-0.41770287944382745
門檻B H120,1,0,0,0,0,0.19018217361825296,0.19018217361825296,0.0,-0.39988888638182307,-0.39988888638182307
S0 全市場 H120,0,0,0,0,0,0.1199237170219043,0.1199237170219043,0.0,-0.5017975788914535,-0.5017975788914535
S0 全市場 H120,1,0,0,0,0,0.057387034887127264,0.057387034887127264,0.0,-0.36502498294867214,-0.36502498294867214
