rep,c,m,判過
0,0.26107984028282727,0.32660820023353887,True
1,0.2594204873219169,0.32564173489650994,True
2,0.2608100707459181,0.32634609597616404,True
3,0.2604036737989389,0.3255010345433215,True
4,0.2591608183090015,0.325439086063449,True
5,0.2592428845907546,0.32496422953160875,True
6,0.2577368573868115,0.32572123918614027,True
7,0.2596249692029584,0.32547077324513624,True
8,0.2606627125150881,0.32615702208931163,True
9,0.26159253092569856,0.3250014018044266,True
10,0.2586953980360298,0.3245823734476114,True
11,0.25845465816478475,0.32552613714732015,True
12,0.2587997134927712,0.32519741478510106,True
13,0.2594185085223958,0.32476312374370564,True
14,0.25886808149796336,0.3259267625240928,True
15,0.2588794560200892,0.327092089272205,True
16,0.2596050169918177,0.3245919233037551,True
17,0.2608327583395016,0.3251800310971738,True
18,0.2582730133202483,0.32603756745172585,True
19,0.2598624446040979,0.3262564365939552,True
20,0.2599304144822089,0.32681440395552497,True
21,0.26052812550030047,0.3263963292717214,True
22,0.2595403659081279,0.32493506023505786,True
23,0.2624308553485125,0.3264336907619211,True
24,0.26031862383062054,0.32527193239655494,True
25,0.2573778466283718,0.324666519387811,True
26,0.2598846926509515,0.3248455482179205,True
27,0.25816561183956954,0.32583394985182823,True
28,0.25947112467286826,0.3249847411474044,True
29,0.25777971106475805,0.32479919316513783,True
