arm,r,rep,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades,hold_days
NOAPR,0,-1,102000,b9431a9378bb5670e84d6f7738d42d7821eb81029039c56cff9ddcb965447118,12.27946203269888,12.137359260078181,0.31513608801732595,-0.4493310376337908,0.8668575533357707,0.8742437337942955,136,
NOAPR,1,-1,102001,c6d56fecb10bbe03a541001eeafc9c420f3cc18d421d920c1c2150daa5a92e4a,7.018555732593153,6.932749620929192,0.2467076264886101,-0.41387068935824795,0.8674142855753966,0.8742437337942955,136,
NOAPR,2,-1,102002,673c0fc21d7e4ce7f96b6ffa1fa52474b74621ef11174cd97dc436cde44636db,9.020740953430021,8.913509570886823,0.2764927630614047,-0.36475506665117974,0.8663186183872922,0.8742437337942955,136,
NOAPR,3,-1,102003,aad1a142c84cc6f787cab6c489e262bfd7a15d24737f387a598b8e8b81b6e748,9.422099396930996,9.310573100369762,0.2818137154575828,-0.38541635126413165,0.8634105880374042,0.8742437337942955,136,
NOAPR,4,-1,102004,ab1e11236c42c88ef92c8cb0357542f819be4a8a4d83507b71bfcf313dfaa17c,12.14034389205353,11.999729814792541,0.3136698411822094,-0.3904188475577744,0.8659067234058749,0.8742437337942955,136,
NOAPR,5,-1,102005,44f1e8f5723881888a1f80c8b855e762f12370c23d41dbdd2a3725c3bd3b1004,7.442761888857502,7.352416371092639,0.2535338399105804,-0.32340420032204287,0.8639635681735027,0.8742437337942955,136,
NOAPR,6,-1,102006,b9910779768aa1af88e5f4672a6a962a717131b62309de73fa3b578a49e74084,21.04383543322426,20.80794559623069,0.3876663738431947,-0.3982684704418783,0.8669843871535216,0.8742437337942955,136,
NOAPR,7,-1,102007,161b5f03b60ac8ad6393a418713899e2bb828b389763e160e0ed7122c6e5a5e7,13.576657775511174,13.420673784567661,0.3281838424170589,-0.385873320540668,0.8693799102200972,0.8742437337942955,136,
NOAPR,8,-1,102008,4f9bea96d6f430a113fcf75a5dc752e3dcbd59c804ab1e8740bcc2dcba93132e,8.428280648860143,8.327389150548685,0.2682791603027088,-0.3760190450877013,0.8671510892847291,0.8742437337942955,136,
NOAPR,9,-1,102009,718202cd5ab054871351681376e551cf95b1860822a4e931dd6ca7fcc1804119,10.882982579831536,10.755823454903163,0.29974865438632725,-0.3161539501200726,0.8652985837493812,0.8742437337942955,136,
NOAPR,10,-1,102010,d94913b96d0a3c74d40aeb7dea0b6fb3f91b4ce8664189da5cb21074496c2676,19.27959242280042,19.0625816505416,0.37545913211368487,-0.4068660994584559,0.8695127202313455,0.8742437337942955,136,
NOAPR,11,-1,102011,269dbbc876a56a9ee9be4f9c4ea5a6f908f87b637579ba2cead0f7eb6e408516,18.144776502474468,17.93990933123618,0.36709492151049017,-0.47511665527208174,0.866274296301452,0.8742437337942955,136,
NOAPR,12,-1,102012,2170cda59827de0980df71585638f4004f525dfde2f00ece0e7dd9d77ad50e99,6.653513431673987,6.57161361703898,0.24056987606623803,-0.4142826263518669,0.8656036634045612,0.8742437337942955,136,
NOAPR,13,-1,102013,43c627578aa5934c500ed62e4233d2b01ee6bd14b12ccedc3a6d30ddd6e65684,9.407405468683683,9.296036411018083,0.2816221699587915,-0.3736156655798314,0.8691070091410399,0.8742437337942955,136,
NOAPR,14,-1,102014,db802435e0e62c4d45059de3c09fdd47f421412ab86364c7f5fae091b245ad43,7.930998608218069,7.835428496915791,0.26102072562429535,-0.4716382013419011,0.8650374906846137,0.8742437337942955,136,
NOAPR,15,-1,102015,f1df4e40f3518c25322900fcaadbdb18317cd5f307e0a3234b49fc2f73b4df4d,2.368794416379924,2.33274513774364,0.13729126986872164,-0.440712132470256,0.8660361762868545,0.8742437337942955,136,
NOAPR,16,-1,102016,06496bc4ab7d037aa9873ed36c4aea841b01912cd0682865b08171d4ec2a6ee1,23.12349431443081,22.865350165297414,0.40098109650119373,-0.3868383701581882,0.8626808587383468,0.8742437337942955,136,
NOAPR,17,-1,102017,34fbca9e7e9369880b12a43b569770a2236b490de893a8ac49e7478eeb7df88f,6.856339884399721,6.7722696353583975,0.24401167180738081,-0.44577456199858645,0.8616019557103466,0.8742437337942955,136,
NOAPR,18,-1,102018,e65fef0001fff3785a22e4dd516d0d9efc1435a348adb1c31e6679e67104a7be,14.680994094636308,14.513192663161922,0.33849763789422016,-0.3898000142014016,0.8643198715046401,0.8742437337942955,136,
NOAPR,19,-1,102019,827b1dd4825165eb00ca3814299799c99f0c9f64e090232d3dd86f50685faa52,11.542489391386958,11.408272921345244,0.30720635073661495,-0.4095302214724055,0.8654756922758889,0.8742437337942955,136,
NOAPR,20,-1,102020,81712f6f0b42a945b734aee2079642c6e08aeb36e3cb6a8d9e6e56cfab3d3b36,11.511315175150767,11.377432298634945,0.30686181883574326,-0.3987203149102637,0.8653460597607995,0.8742437337942955,136,
NOAPR,21,-1,102021,79f47e34612c56a48caa5f440fd91c6734d4ee62203182a40caa662230636281,7.951959588507865,7.856165174940278,0.26133388759666953,-0.38189843037370347,0.8666611730141621,0.8742437337942955,136,
NOAPR,22,-1,102022,83972c7e7d2ec30ea8f8818c731e558d80b9e31e2dfe8cf491144be973f351c5,21.11036029790974,20.873758582099338,0.3881093569576539,-0.3544341251281166,0.8670822054284152,0.8742437337942955,136,
NOAPR,23,-1,102023,66b5e34a75cc22e8c7c9689c594fd2770a5f7bfde5db97ccec5420d23795f1ba,1.4896844618290919,1.463042489126777,0.10143991533193497,-0.39460158587904165,0.8637220064015292,0.8742437337942955,136,
NOAPR,24,-1,102024,c32e10016029047e24d1cb55d1e6a5fd1d14537327699f567351ea100fb8dfb7,8.216683888684713,8.118056675343869,0.26523351431368547,-0.37872314015023184,0.8656365026126831,0.8742437337942955,136,
NOAPR,25,-1,102025,fc4e3289224e56c9e0495fe7c28269c7eec00e0b421dd4b1846c72f13961ddef,9.607362281915025,9.493853497693138,0.2842082560248116,-0.33715148997675193,0.8644046438829505,0.8742437337942955,136,
NOAPR,26,-1,102026,d680b1741eb1a9c5d0d483312a84de5639fa33a9f0464c9f1d519e1a078534e4,2.701711210173524,2.6620994077442144,0.1487008077193943,-0.36802980322627055,0.866830181303253,0.8742437337942955,136,
NOAPR,27,-1,102027,10844a6700a6368fc20e17f90845f89a959b75f610148597b1f01f09af7484ef,23.888511257770443,23.6221807055672,0.4056217042731265,-0.3358118254848829,0.8659158103947034,0.8742437337942955,136,
NOAPR,28,-1,102028,0f719ac97984e1dc1d751f2e8d39f2260646391222d3f1e4791bbb1c82fba981,19.677889459038532,19.456616532707756,0.3782957647691536,-0.3167980379339066,0.8642806570221978,0.8742437337942955,136,
NOAPR,29,-1,102029,8c5e73b9a5ecae2ee2de7869789e115a91eefd0ded73380eff3ff24d3719473c,9.585293769987512,9.472021139664388,0.2839249891313158,-0.3100814879704705,0.8658688910858252,0.8742437337942955,136,
