arm,r,rep,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades,hold_days
PLACEBO,0,0,102000,1f3c5750492243fbfd448005b20ffa120e0029f146201e025d1c8db6d13873b7,9.630193738997852,9.516440636644218,0.28450076191682716,-0.4365922732834437,0.8321881002517474,0.8421024200518582,131,
PLACEBO,0,1,102000,691144703c25a5f57efe63a2081bf01314aceeafeb423bcea286740b0887b7bd,12.866375534433269,12.717992233604452,0.3211745287786423,-0.37550135196198575,0.8694839980718357,0.8871002592912706,138,
PLACEBO,0,2,102000,607ae79bb6a373e62dc0d5aea3eff1f82a2c0ace9ac8ddd7e2cd95a9afeb7e76,5.145444840078397,5.079682782201929,0.21206516100966444,-0.4365922732834437,0.8670989731371587,0.8742437337942955,136,
PLACEBO,0,3,102000,9a04b24a3a556d2b742db4702032d7b6cb168ad2b57924fcbb1a5f1b1fed8e0b,7.316034272301518,7.227044859598431,0.25152731102114,-0.47911355868510414,0.8691569735603845,0.8788010425716768,136,
PLACEBO,0,4,102000,8580e15aa44b2e31983ea5d4a08ad13ed731695a4dae31e76ed966e4f22c035b,8.417023929679226,8.316252888883463,0.2681186819163601,-0.47796344593351026,0.8746887354161867,0.8871002592912706,138,
PLACEBO,0,5,102000,7414cad5ee256f5a64cff7a527a096bed4b1dcd9ce7eda8aeb21504651834c9c,5.591177824254935,5.52064600290883,0.2210882624076027,-0.4140479088981712,0.8692674303909074,0.8871002592912706,138,
PLACEBO,0,6,102000,aac2ecdc25f1ca24edb8ddcc9f4e9cf01e3b4a9d632485bbcc9f672c7cf066f4,5.460956061470019,5.391817735846988,0.21851001215996746,-0.4365922732834437,0.8675517273342186,0.880671996542783,137,
PLACEBO,0,7,102000,ffa972d9b4862fa1312e00319fa499846d9937a9ad7f293a5aae9916d0513ca7,6.7202870181039405,6.637672663094771,0.24171188023851076,-0.4624400596717157,0.8741239301648859,0.8742437337942955,136,
PLACEBO,0,8,102000,ed57bc70076c62e93b144c627011b7b604ac6aba8c868349d12a4e83f65dcfd5,3.639517052746447,3.589869843003094,0.1765078381447771,-0.47476399865731017,0.8679690588963804,0.8742437337942955,136,
PLACEBO,0,9,102000,9a7d49adde0cefbb2265204323d95e4b6c85240ec4b8ad0afe5a0b432e2156e1,41.5595519774135,41.104124617284505,0.4878129187755482,-0.3697550533097267,0.8346181996278706,0.8421024200518582,131,
PLACEBO,0,10,102000,8659f1ea6319bb0e4e950d05b9e73dbada927e8de9093ae35c2eff3342122150,4.6548408005679365,4.594328668787998,0.2014305114545072,-0.4465766335537339,0.8691344948108056,0.8788010425716768,136,
PLACEBO,0,11,102000,e8b54632dcec5696c320052b2761cb7f31b9397a62cac805ee034ef3dfdbfbb6,11.478017097947808,11.344490542274038,0.3064929656126789,-0.4365922732834437,0.8601383510943599,0.8742437337942955,136,
PLACEBO,0,12,102000,9a888b4d9b60bf75cc14b348988591da535724b5d06fd828ae594d5cba1867ec,20.301117503793908,20.073175449382745,0.38263779444007895,-0.37550135196198575,0.872923876984578,0.8871002592912706,138,
PLACEBO,0,13,102000,50d7eb3c1878aa4f72b462a50cd27074c373ec0dbd0c9a39a25a379da4c13871,4.321666057934331,4.264719210243374,0.1937274305587,-0.4971531613006588,0.8701737751601313,0.8742437337942955,136,
PLACEBO,0,14,102000,4086dbb490179d0548c967e2df0c457b167817653350acb04b24fa2e4b3797b1,6.398439950865039,6.319269663130724,0.23612380599177474,-0.4296258700145876,0.8615310885711137,0.8742437337942955,136,
PLACEBO,0,15,102000,f489236979b31d115d5d040e84ce761ee5ab7448d3256cdcbac5107e82bca38d,14.308388477555244,14.144574277728562,0.3350924393321195,-0.4365922732834437,0.855526607008922,0.8742437337942955,136,
PLACEBO,0,16,102000,e647ec954ed6216ddf010360fae91487c0bc317629ac72e743cc8d6146db5d37,7.354677982934243,7.265275046067924,0.2521420529874032,-0.4206222455996415,0.8661542287904728,0.8742437337942955,136,
PLACEBO,0,17,102000,07668c788bed257598adde95e311b2dbe0b209873f5796bf702f4cb2b6ce0cfd,5.428101110842782,5.359314364189363,0.2178521833306566,-0.4140479088981712,0.87182385839576,0.8742437337942955,136,
PLACEBO,0,18,102000,89411fa226b12080da11a170aa4ae75af049c87910462873210dcffdca1aa2e6,1.7273929194618103,1.6982072419902945,0.11213042882941493,-0.4449152651627594,0.8427045013304002,0.8485306828003457,132,
PLACEBO,0,19,102000,a03b7810b822fc7a84ed4910545789b11e2e91125e680789c3151092238d17e5,6.848015082502964,6.764033916696198,0.24387197889804768,-0.4365922732834437,0.8720749588247553,0.8742437337942955,136,
PLACEBO,0,20,102000,91bc50269f7a1ec803a9a4550835916618c8422ccbebd976b65f62a4b54c526c,7.106108809469765,7.019365797278885,0.24814252062680597,-0.4365922732834437,0.8694259309772082,0.891724587315378,138,
PLACEBO,0,21,102000,24ca57336ebf47a7db398c24981d62817c2344294a103bd7c949074bd4ede347,17.753806907279674,17.553123479580904,0.36411036341057623,-0.42355791319910463,0.8637056493041272,0.8742437337942955,136,
PLACEBO,0,22,102000,f16cd6d4dd9b5ac752eabb0e82e3c179cb1c718ada4a2731cd6af076e1f8f621,5.750651909358475,5.678413564841585,0.22418434767183815,-0.4296372173457528,0.8334625061601456,0.8421024200518582,131,
PLACEBO,0,23,102000,7924a78979a29576305660ca30b383ce498ab1f83446364a0ce8447f78304d7b,7.152638969055335,7.06539804025674,0.24889946665945728,-0.4046781340301095,0.8694859244684777,0.8788010425716768,136,
PLACEBO,0,24,102000,828e0ace1c95c5e188be650cd19abaaf7997e8c5768b3ba5c7ce2cb9028d0e7d,6.995320605838573,6.909763131952699,0.24632447792681833,-0.4465760863576584,0.8719396273790245,0.8742437337942955,136,
PLACEBO,0,25,102000,255871f321a263775a7b3630e7d96986eb077556e6aeeac82b42200f69fdcc33,5.780706446963788,5.708146490538748,0.2247605019851413,-0.47896522142410347,0.8687673733986002,0.8742437337942955,136,
PLACEBO,0,26,102000,e6b35366433a073c4855869b9c7789c8185c3dd763dee94b8fa5f95b19007fd2,0.7118637334560274,0.6935451764034957,0.05859482685098483,-0.5070988984035367,0.8568273274643319,0.8678154710458081,135,
PLACEBO,0,27,102000,5b973b5a573547b7e5fadd9f3a49be8ac29d1099574341100a55533cb007c084,8.26666487701218,8.167502819940305,0.2659585189343261,-0.3799936103275358,0.8329377251555583,0.8529539530842746,132,
PLACEBO,0,28,102000,129b0ef8f7fa0a443ef4212b8fb53cada695f08a26aeb0b098603e47da486c2f,14.198349676457646,14.035712995621818,0.3340726327218584,-0.4365922732834437,0.8648948578421263,0.8871002592912706,138,
PLACEBO,0,29,102000,23a40d6724b61c297682720046204ddd7fc57e966f83c0269de331c7dc0200b8,2.6013553982161977,2.5628174976582607,0.1453614729848125,-0.43621606636493726,0.87421649069266,0.8871002592912706,138,
PLACEBO,1,0,102001,1fc01174462ee9816f2491052a913a7ee1481a2a2707f3957353745d8202f404,11.559165279542224,11.424770361763928,0.30739033549392136,-0.4154555694783299,0.8721746339188213,0.8742437337942955,136,
PLACEBO,1,1,102001,6b812bf2d3b91cb77c08d1415124979d552128862418f6f18bca53e0770bf013,5.201027138715853,5.134670297803327,0.2132216728674714,-0.4189714949839866,0.8645633775006506,0.8742437337942955,136,
PLACEBO,1,2,102001,a16aac4495cc0116231e7d493eefdbe3a246590476026edc2d77a505256aa001,9.28744048233606,9.177355163208619,0.28004923417370087,-0.3672029993435774,0.8545494445039317,0.8678154710458081,135,
PLACEBO,1,3,102001,43dc7a54da0f7c294766ff5284aa43b188bab02f1ce0c3c44beba67da06dc2cd,2.4146094112116416,2.378069868905251,0.13891970125112874,-0.36967158836209585,0.8230080269732293,0.8292458945548833,129,
PLACEBO,1,4,102001,398573dbcaf6ad5141e215e04d8915eff3a91f7a67ce016b80d20936031aa399,8.603925057463968,8.501153998263938,0.2707612499464833,-0.3574884728581583,0.8491633706053131,0.8678154710458081,135,
PLACEBO,1,5,102001,32e71dca01d084fc2c5e4341ec7eecff093512a9c54a55836ba5f15e0ac3f110,6.609357328990517,6.527930026314504,0.2398097872905003,-0.35574276512763464,0.8642470943917259,0.8742437337942955,136,
