r,cagr,mdd,expo,trades,cagr_p10,cagr_p90,mdd_p10,mdd_p90
0,0.245098228412433,-0.4365922732834437,0.8683682161474904,136.0,0.17339320162878066,0.33799423173996523,-0.47898005515020353,-0.3795443844909808
1,0.22834022623739103,-0.39402985133719437,0.8655800042697209,136.0,0.15965693620412397,0.30744805897607885,-0.45827499542334565,-0.35494887933021163
2,0.25477609224311837,-0.4217701268950641,0.8677346964099313,136.0,0.15803050734993337,0.31532347304286906,-0.46452471342654716,-0.3785821582256261
3,0.23055664638922002,-0.42072869708598787,0.864833616531335,136.0,0.1521914324261586,0.3355890064689725,-0.49300888330160425,-0.400635362467014
4,0.2099566434482052,-0.4291127921846337,0.8675145962738853,136.0,0.14814530229674902,0.2537591413188971,-0.49069032809696167,-0.3859312705423895
5,0.20937773142140104,-0.4206631808096971,0.8644928887025961,136.0,0.14704214720644643,0.27250085842941374,-0.5000351992618978,-0.3338373992576785
6,0.2496937087986012,-0.41994099840015264,0.8686933202505693,136.0,0.14790023115656398,0.353472992706886,-0.486952243649247,-0.412726187100555
7,0.2380882788929315,-0.41475466339896233,0.8632892118736848,136.0,0.15174170254669853,0.2828980962802711,-0.44986234907138084,-0.3851525148944015
8,0.24993611533816174,-0.411499421397868,0.867521307894104,136.0,0.18989764089527167,0.3423320859900472,-0.4577350634424789,-0.3751525912063085
9,0.18280152409694483,-0.41666919680736736,0.8692897581644627,136.0,0.10937587278032015,0.2828704930146179,-0.4803001977055113,-0.373144962452869
10,0.2765953476910804,-0.4020967816926717,0.8652399420053782,136.0,0.18798842035926808,0.36811452806500083,-0.46840735433749175,-0.34779273427731
11,0.26856981656832835,-0.4243616066765642,0.8680868069828085,136.0,0.15551030059517984,0.3579360218225872,-0.4919173998485405,-0.39329130686065716
12,0.2828534538188252,-0.41407319840015194,0.8678299129086817,136.0,0.1892232592764627,0.35660691038856307,-0.48370693801713444,-0.3850192352979759
13,0.22140586290561848,-0.43052284703915644,0.8660093974043525,136.0,0.1446796484886714,0.3357936523158992,-0.44987065060022896,-0.39588349865264466
14,0.24796669492299483,-0.4082984542703696,0.8662231449249511,136.0,0.15997282834923118,0.3558217008820543,-0.49452901269163224,-0.38303999898004504
15,0.25781576975298326,-0.41352036471047865,0.8673238647517852,136.0,0.16280168235649345,0.32604684620033153,-0.483747727287211,-0.4040228144879404
16,0.23768279381933033,-0.41852930168780206,0.8636679290133145,136.0,0.1670485396420922,0.2991257507817921,-0.4628617452291719,-0.3901705194171409
17,0.23994345841253684,-0.43014727664344043,0.8647930672298997,136.0,0.15938281250377742,0.3150706879191966,-0.47859932478981043,-0.3948342577649213
18,0.2129696787428097,-0.40676213505167125,0.8687106898709557,136.0,0.15066086765819944,0.27327075877286555,-0.46893651845166073,-0.37714922457546884
19,0.20503903954245983,-0.4211062390963251,0.8684935910590943,136.0,0.14045575798440416,0.2846901908739964,-0.44544215525069836,-0.3809765281902046
