month,cand,K,med_prev,該月若照買_中位,該月若照買_平均,是四月,MA60弱勢
2018-04,4,8.0,16.0,-0.15847902491628196,-0.04170544454710157,True,True
2018-12,4,10.0,19.0,-0.004854636964855996,0.045142441572069925,False,True
2019-04,2,8.0,16.0,0.40712839192706923,0.40712839192706923,True,False
2020-04,3,8.0,16.0,0.5926773372868288,0.5928585787324321,True,True
2020-05,5,8.0,15.5,0.6807893643146528,0.6295578984758907,False,True
2021-04,3,9.0,18.0,-0.029002985705149587,-0.01574697202741974,True,False
2022-04,1,11.0,22.0,0.039538854041678784,0.039538854041678784,True,True
2022-12,6,12.0,23.0,0.0620521727985911,0.2087533980756416,False,False
2023-03,6,12.0,23.0,0.03753587097142863,0.015979251289007623,False,False
2023-04,2,12.0,23.0,-0.09329254760822026,-0.09329254760822026,True,False
2023-06,4,11.0,22.0,0.0750896433415223,0.05807993963044081,False,False
2023-07,4,11.0,21.5,-0.022954632883280146,-0.00020000682964355088,False,False
2024-04,4,10.0,21.0,0.1698853470880347,0.09483445570244023,True,False
