臂,r,mdd,peak,trough,trough_year
G0,0,-0.4365922732834437,2018-07-12,2018-10-30,2018
G0,1,-0.3693403626630285,2024-07-05,2025-04-09,2025
G0,2,-0.4177226366560117,2024-07-12,2025-04-09,2025
G0,3,-0.49153882590816295,2024-05-17,2025-04-09,2025
G0,4,-0.4581959255260564,2024-07-17,2025-04-09,2025
G0,5,-0.4206631808096971,2020-01-20,2020-03-19,2020
G0,6,-0.4163920295297883,2018-07-12,2018-10-11,2018
G0,7,-0.3964017536053007,2024-04-18,2025-04-09,2025
G0,8,-0.41167677822724635,2018-07-12,2020-03-23,2020
G0,9,-0.38302038570313535,2017-08-21,2020-03-19,2020
G0,10,-0.38378791618769725,2024-04-18,2025-04-09,2025
G0,11,-0.4033304234672244,2024-07-17,2025-04-09,2025
G0,12,-0.4283565623760502,2023-07-05,2025-04-09,2025
G0,13,-0.4442229334849359,2024-07-17,2025-04-09,2025
G0,14,-0.40480239029828297,2020-01-02,2020-03-19,2020
G0,15,-0.4122538500300803,2018-06-12,2018-10-11,2018
G0,16,-0.41852930168780206,2018-06-12,2020-03-19,2020
G0,17,-0.4786261736338346,2021-12-08,2025-04-09,2025
G0,18,-0.37714922457546884,2020-01-02,2020-03-19,2020
G0,19,-0.4211062390963251,2018-07-12,2018-10-30,2018
G0,20,-0.3994464711646521,2024-04-18,2025-04-09,2025
G0,21,-0.42531122926217413,2024-04-18,2025-04-09,2025
G0,22,-0.39611279300764346,2024-07-16,2025-04-09,2025
G0,23,-0.3811284798948961,2024-07-17,2025-04-09,2025
G0,24,-0.4302777841636533,2018-07-02,2018-10-11,2018
G0,25,-0.4858404377041047,2024-07-17,2025-04-09,2025
G0,26,-0.5394245666427168,2021-12-29,2025-04-09,2025
G0,27,-0.41525503016130844,2020-01-20,2020-03-19,2020
G0,28,-0.43719241888745203,2018-07-13,2018-10-29,2018
G0,29,-0.4744309363328785,2023-06-19,2025-04-09,2025
G0,30,-0.4133649520451069,2018-06-12,2018-10-29,2018
G0,31,-0.40081760468859157,2018-07-02,2018-10-29,2018
G0,32,-0.3948177987883124,2021-07-26,2025-04-09,2025
G0,33,-0.39602262727095994,2018-07-13,2018-10-30,2018
G0,34,-0.45065883934517914,2018-06-12,2018-10-30,2018
G0,35,-0.4018014695385396,2024-04-17,2025-04-09,2025
G0,36,-0.4066713926537274,2024-10-16,2025-04-09,2025
G0,37,-0.4166157894487688,2020-01-02,2020-03-19,2020
G0,38,-0.44369677851777045,2024-07-17,2025-04-09,2025
G0,39,-0.4649210112775922,2024-07-17,2025-04-09,2025
G0,40,-0.39650622178519296,2018-06-12,2018-10-26,2018
G0,41,-0.42586241964989574,2024-07-05,2025-04-09,2025
G0,42,-0.4198568920520933,2020-01-02,2020-03-19,2020
G0,43,-0.3935147647705408,2018-05-30,2018-10-26,2018
G0,44,-0.4700157078896213,2024-07-17,2025-04-09,2025
G0,45,-0.4548876235651791,2018-06-12,2020-03-19,2020
G0,46,-0.511906616004494,2024-07-17,2025-04-09,2025
G0,47,-0.47418419194982114,2024-07-17,2025-04-09,2025
G0,48,-0.4331003296081385,2024-07-17,2025-04-09,2025
G0,49,-0.38420873198309113,2020-01-02,2020-03-19,2020
G0,50,-0.4285348539133737,2018-06-12,2018-10-26,2018
G0,51,-0.3647597265380161,2024-04-18,2025-04-09,2025
G0,52,-0.45583104352072307,2024-07-17,2025-04-09,2025
G0,53,-0.37033294570247743,2024-04-18,2025-04-09,2025
G0,54,-0.43887196855245325,2024-07-05,2025-04-09,2025
G0,55,-0.4285570296773673,2018-07-12,2018-10-29,2018
G0,56,-0.42114923828778367,2018-07-13,2018-10-30,2018
G0,57,-0.4434271358897485,2024-07-08,2025-04-09,2025
G0,58,-0.3622460395778113,2018-01-05,2018-10-30,2018
G0,59,-0.40370438435114037,2021-12-30,2025-04-09,2025
G0,60,-0.4957249526013942,2024-07-17,2025-04-09,2025
G0,61,-0.4259652962154679,2024-07-17,2025-04-09,2025
G0,62,-0.38636143143899926,2024-07-05,2025-04-09,2025
G0,63,-0.4907952898860008,2023-07-11,2025-04-09,2025
G0,64,-0.35642414365767294,2019-12-16,2020-03-19,2020
G0,65,-0.43160473020412177,2024-07-17,2025-04-09,2025
G0,66,-0.4018745245518258,2023-07-05,2025-04-09,2025
G0,67,-0.45445446556114777,2018-06-07,2018-10-29,2018
G0,68,-0.36708322825059925,2018-05-30,2018-10-30,2018
G0,69,-0.3820525600552077,2018-06-12,2018-10-26,2018
G0,70,-0.3838088598751237,2024-07-05,2025-04-09,2025
G0,71,-0.4237314206182744,2018-07-12,2018-10-30,2018
G0,72,-0.42532719704102734,2024-07-17,2025-04-09,2025
G0,73,-0.4010684572989355,2018-06-12,2018-10-30,2018
G0,74,-0.3745184691616083,2024-07-17,2025-04-09,2025
G0,75,-0.44782665544903294,2023-07-17,2025-04-09,2025
G0,76,-0.4813343431604269,2018-07-12,2020-03-19,2020
G0,77,-0.41166265631289234,2024-04-15,2025-04-09,2025
G0,78,-0.2997863391481208,2018-01-04,2018-10-11,2018
G0,79,-0.4715729696466926,2018-07-12,2018-10-30,2018
G0,80,-0.4073872084322024,2018-06-12,2018-10-11,2018
G0,81,-0.3488718415251499,2024-07-05,2025-04-09,2025
G0,82,-0.4004801516900212,2018-06-12,2018-10-29,2018
G0,83,-0.36727411555567013,2019-12-17,2020-03-19,2020
G0,84,-0.43039965203641206,2020-01-02,2020-03-19,2020
G0,85,-0.4368875248208259,2018-07-12,2020-03-19,2020
G0,86,-0.5098072147553366,2023-07-06,2025-04-09,2025
G0,87,-0.42110028394955173,2024-07-17,2025-04-09,2025
G0,88,-0.4339031178665342,2018-06-12,2018-10-11,2018
G0,89,-0.35589505856086545,2018-06-12,2018-10-26,2018
G0,90,-0.48086571442711684,2024-05-27,2025-04-09,2025
G0,91,-0.3964510684572422,2018-06-12,2018-10-26,2018
G0,92,-0.3406790207362804,2021-12-30,2022-10-21,2022
G0,93,-0.40064368321576593,2020-01-20,2020-03-19,2020
G0,94,-0.37361097449901004,2017-08-21,2018-10-11,2018
G0,95,-0.37782419995614097,2024-07-10,2025-04-09,2025
G0,96,-0.35868897457966326,2018-06-12,2018-10-11,2018
G0,97,-0.40818336418823703,2018-06-12,2018-10-30,2018
G0,98,-0.45249933951752547,2021-08-05,2025-04-09,2025
G0,99,-0.4660030745968295,2024-07-17,2025-04-09,2025
G0,100,-0.4213395033730487,2018-06-12,2018-10-11,2018
G0,101,-0.4568189032231242,2024-07-17,2025-04-09,2025
G0,102,-0.38416415714583263,2020-01-20,2020-03-19,2020
G0,103,-0.34408707415095685,2020-01-20,2020-03-19,2020
G0,104,-0.4691957785891241,2023-07-03,2025-04-09,2025
G0,105,-0.42120719453940836,2018-06-12,2018-10-30,2018
