臂,cagr_med,mdd_med,cagr_p10,cagr_p90,mdd_p10,mdd_p90,expo_p10,expo_p90,expo_med,trades_p10,trades_p90,trades_med,hold_days_med,進場月數
G0,0.2820350701063953,-0.41432426935458594,0.20434354723573306,0.36820505943804477,-0.47524809022050024,-0.37023358981058885,0.8666231016143251,0.8775914213393107,0.8713977071219294,138.0,138.0,138.0,,109
G1,0.17626686746919218,-0.4389862294933151,0.11369107467041832,0.256245118917779,-0.5153353572247646,-0.38454035830298844,0.8644615410882934,0.8703173649379166,0.8676250924386537,136.0,136.0,136.0,,96
假閘門,0.22855849504652948,-0.4141881092352808,0.19655268194600342,0.2610459662456652,-0.43837846559988164,-0.39566586938380616,0.8635708803261697,0.8690753562707983,0.8668145218064405,136.0,136.0,136.0,,96
排除四月,0.2749608833894217,-0.38594607319277435,0.1974231733568697,0.3482942769143951,-0.44613020956210686,-0.3332115022023085,0.8632296465518899,0.868340992380281,0.8659630822876966,136.0,136.0,136.0,,100
