vid,型態,族,根數,事前,d,T1,原始_H20,純合併後_H20,合併掉_H20,剔除_硬斷點_H20,剔除_停牌_H20,剔除_開盤漲停_H20,剔除_開盤跌停_H20,保留_H20,保留_另一順序_H20,相異檔數_H20,有事件曆月_H20,n_eff上限_H20,可能出口_H20,每檔每年_H20,上市_H20,上櫃_H20,原始_H60,純合併後_H60,合併掉_H60,剔除_硬斷點_H60,剔除_停牌_H60,剔除_開盤漲停_H60,剔除_開盤跌停_H60,保留_H60,保留_另一順序_H60,相異檔數_H60,有事件區段_H60,n_eff上限_H60,可能出口_H60,每檔每年_H60,上市_H60,上櫃_H60,原始_H120,純合併後_H120,合併掉_H120,剔除_硬斷點_H120,剔除_停牌_H120,剔除_開盤漲停_H120,剔除_開盤跌停_H120,保留_H120,保留_另一順序_H120,相異檔數_H120,有事件區段_H120,n_eff上限_H120,可能出口_H120,每檔每年_H120,上市_H120,上櫃_H120,H20_2017年,H20_2018年,H20_2019年,H20_2020年,H20_2021年,H20_2022年,H20_2023年,H20_2024年,H20_2025年,H20_2026年,可判定_H20,可判定_H60
K01,三隻烏鴉,K,3,升,-1,過,625,597,28,2,0,1,0,594,594,497,106,106,①②③,0.0359,333,261,618,591,27,4,0,1,0,586,586,490,38,38,①②,0.0361,326,260,605,578,27,10,0,1,0,567,567,477,19,19,只描述（H120 依構造只到①）,0.036,314,253,67,55,52,36,56,36,102,79,80,31,True,True
K02,昏星,K,3,升,-1,過,414,410,4,6,3,1,2,398,399,345,104,104,①②③,0.024,209,189,386,382,4,13,3,1,2,363,364,318,38,38,①②,0.0224,196,167,369,365,4,21,3,1,2,338,339,300,19,19,只描述（H120 依構造只到①）,0.0214,189,149,25,32,42,44,37,51,44,33,38,52,True,True
K03,倒鎚（兩根）,K,2,降,-1,過,1717,1678,39,46,58,7,58,1509,1513,981,113,113,①②③,0.0912,672,837,1692,1654,38,85,47,6,57,1459,1463,960,38,38,①②,0.0899,660,799,1654,1618,36,126,39,6,55,1392,1396,935,19,19,只描述（H120 依構造只到①）,0.0883,632,760,116,147,150,208,115,175,138,168,226,66,True,True
K04,相同低點,K,2,降,-1,過,69510,44193,25317,107,160,19,19,43888,43942,2027,113,113,①②③,2.6519,24549,19339,68529,43502,25027,337,145,18,19,42983,43035,2016,38,38,①②,2.6483,24100,18883,66457,42230,24227,684,134,17,19,41376,41425,2000,19,19,只描述（H120 依構造只到①）,2.6239,23217,18159,4238,4812,4449,3886,4279,4533,4568,5231,5172,2720,True,True
K05,跳空雙黑線,K,2,降,-1,過,19875,16416,3459,47,68,121,44,16136,16161,1995,113,113,①②③,0.975,8829,7307,19340,15959,3381,171,63,121,41,15563,15586,1981,38,38,①②,0.9589,8555,7008,18730,15468,3262,331,51,118,41,14927,14949,1965,19,19,只描述（H120 依構造只到①）,0.9466,8211,6716,851,1916,1047,1709,1468,2749,1090,2335,1783,1188,True,True
K06,空頭Breakaway,K,5,升,-1,過,65,65,0,0,0,1,0,64,64,63,45,45,①②,0.0039,36,28,63,63,0,0,0,1,0,62,62,61,29,29,依構造不可判定,0.0038,34,28,62,62,0,0,0,1,0,61,61,60,19,19,只描述（H120 依構造只到①）,0.0039,34,27,7,6,9,5,6,6,5,4,12,4,True,False
K07,晨星,K,3,降,1,過,485,485,0,3,9,0,0,473,473,405,105,105,①②③,0.0286,267,206,469,469,0,6,8,0,0,455,455,389,38,38,①②,0.028,261,194,452,452,0,10,8,0,0,434,434,373,19,19,只描述（H120 依構造只到①）,0.0275,248,186,20,30,28,53,47,58,25,47,123,42,True,True
K08,貫穿線,K,2,降,1,過,2454,2418,36,10,23,5,2,2378,2379,1314,113,113,①②③,0.1437,1275,1103,2407,2371,36,27,20,5,2,2317,2318,1296,38,38,①②,0.1428,1242,1075,2360,2324,36,58,18,4,1,2243,2244,1277,19,19,只描述（H120 依構造只到①）,0.1422,1206,1037,156,283,216,267,388,309,177,250,226,106,True,True
K09,三明治線,K,3,降,-1,過,19962,17367,2595,28,38,6,17,17278,17283,1976,113,113,①②③,1.044,10209,7069,19686,17119,2567,108,36,6,15,16954,16959,1966,38,38,①②,1.0446,10022,6932,19165,16667,2498,217,33,6,15,16396,16401,1949,19,19,只描述（H120 依構造只到①）,1.0398,9683,6713,1824,1771,1760,1497,1788,1656,1856,2220,1921,985,True,True
K10,Thrusting,K,2,降,1,過,5890,5707,183,21,49,3,2,5632,5634,1752,113,113,①②③,0.3403,3019,2613,5768,5587,181,50,49,3,2,5483,5485,1734,38,38,①②,0.3378,2950,2533,5645,5465,180,107,46,2,2,5308,5310,1710,19,19,只描述（H120 依構造只到①）,0.3366,2863,2445,367,581,526,621,692,844,493,583,619,306,True,True
K11,空頭會合線,K,2,升,1,過,2689,2625,64,7,15,4,1,2598,2598,1311,113,113,①②③,0.157,1374,1224,2640,2578,62,29,11,3,1,2534,2534,1291,38,38,①②,0.1561,1337,1197,2589,2529,60,44,10,3,0,2472,2472,1275,19,19,只描述（H120 依構造只到①）,0.1568,1307,1165,274,245,388,296,311,201,332,231,198,122,True,True
K12,In Neck,K,2,降,-1,過,4135,4008,127,20,45,0,1,3942,3944,1660,113,113,①②③,0.2382,2132,1810,4040,3915,125,50,38,0,1,3826,3828,1646,38,38,①②,0.2357,2066,1760,3930,3806,124,108,34,0,1,3663,3665,1616,19,19,只描述（H120 依構造只到①）,0.2323,1983,1680,307,448,390,414,379,584,337,377,459,247,True,True
K13,多頭會合線,K,2,降,1,過,1442,1411,31,12,33,0,1,1365,1365,908,113,113,①②③,0.0825,707,658,1430,1399,31,30,29,0,1,1339,1339,896,38,38,①②,0.0825,696,643,1398,1367,31,48,27,0,1,1291,1291,875,19,19,只描述（H120 依構造只到①）,0.0819,676,615,110,190,178,206,124,184,97,100,117,59,True,True
K14,長黑日,K,1,無,續,過,115201,74916,40285,345,480,274,232,73585,73958,2052,113,113,①②③,4.4463,40242,33343,113635,73790,39845,1011,401,263,211,71904,72242,2038,38,38,①②,4.4301,39463,32441,109940,71392,38548,1793,349,248,190,68812,69116,2018,19,19,只描述（H120 依構造只到①）,4.3637,37863,30949,6259,7850,6824,7978,7611,8379,7413,8212,8371,4688,True,True
K15,歸巢鴿,K,2,降,-1,過,24533,21128,3405,40,88,17,8,20975,20985,2000,113,113,①②③,1.2674,11585,9390,24116,20764,3352,169,84,15,7,20489,20499,1985,38,38,①②,1.2624,11347,9142,23126,19964,3162,325,79,14,6,19540,19549,1951,19,19,只描述（H120 依構造只到①）,1.2391,10815,8725,1738,2370,1782,1667,1887,3084,1914,2367,2622,1544,True,True
K16,烏雲蓋頂,K,2,升,-1,過,6316,6043,273,20,15,5,5,5998,5999,1753,113,113,①②③,0.3624,3217,2781,6185,5914,271,61,12,5,3,5833,5834,1734,38,38,①②,0.3594,3134,2699,5950,5694,256,109,12,4,3,5566,5567,1709,19,19,只描述（H120 依構造只到①）,0.353,2984,2582,421,489,547,756,804,556,618,691,658,458,True,True
K17,十字晨星,K,3,降,1,過,352,352,0,1,3,3,0,345,345,309,98,98,①②,0.0208,200,145,344,344,0,4,2,3,0,335,335,301,38,38,①②,0.0206,195,140,339,339,0,7,2,3,0,327,327,294,19,19,只描述（H120 依構造只到①）,0.0207,191,136,23,30,24,39,36,46,19,47,64,17,True,True
K18,十字昏星,K,3,升,-1,過,290,289,1,3,1,2,0,283,283,263,100,100,①②③,0.0171,174,109,278,277,1,4,1,2,0,270,270,253,38,38,①②,0.0166,165,105,265,264,1,7,1,1,0,255,255,240,19,19,只描述（H120 依構造只到①）,0.0162,155,100,18,27,21,28,28,30,39,26,36,30,True,True
K19,胃部之上,K,2,降,1,過,92591,61939,30652,161,289,224,43,61222,61332,2044,113,113,①②③,3.6992,35886,25336,90760,60685,30075,501,262,206,41,59675,59776,2034,38,38,①②,3.6767,35047,24628,87172,58549,28623,979,241,189,39,57101,57197,2011,19,19,只描述（H120 依構造只到①）,3.6211,33548,23553,4950,5828,5092,6222,6568,6928,6062,7470,7588,4514,True,True
K20,紅三兵,K,3,降,1,過,308,291,17,5,5,4,0,277,277,239,91,91,①②,0.0167,145,132,305,288,17,13,5,4,0,266,266,230,38,38,①②,0.0164,140,126,303,286,17,19,4,3,0,260,260,224,19,19,只描述（H120 依構造只到①）,0.0165,136,124,32,42,41,28,29,33,17,21,22,12,True,True
K21,On Neck,K,2,降,-1,過,4210,4074,136,18,46,2,1,4007,4008,1651,113,113,①②③,0.2421,2140,1867,4148,4013,135,42,41,2,1,3927,3928,1645,38,38,①②,0.2419,2097,1830,4040,3907,133,95,37,2,1,3772,3773,1619,19,19,只描述（H120 依構造只到①）,0.2392,2022,1750,328,418,450,408,355,537,367,428,491,225,True,True
K22,力車夫,K,1,無,續,過,7373,7018,355,24,33,12,6,6943,6945,1841,113,113,①②③,0.4195,3626,3317,7264,6916,348,63,31,12,6,6804,6806,1830,38,38,①②,0.4192,3551,3253,7026,6686,340,134,29,10,6,6507,6509,1804,19,19,只描述（H120 依構造只到①）,0.4126,3402,3105,540,653,686,720,770,745,776,890,713,450,True,True
K23,多頭分離線,K,2,升,1,過,971,947,24,3,3,9,0,932,932,672,112,112,①②③,0.0563,546,386,963,939,24,10,3,9,0,917,917,664,38,38,①②,0.0565,537,380,947,923,24,19,3,7,0,894,894,652,19,19,只描述（H120 依構造只到①）,0.0567,526,368,91,89,146,91,104,69,122,116,70,34,True,True
K24,長腳十字,K,1,無,續,過,16932,15354,1578,44,63,20,13,15214,15225,1970,113,113,①②③,0.9193,7989,7225,16648,15102,1546,141,58,20,12,14871,14881,1956,38,38,①②,0.9162,7823,7048,16129,14630,1499,294,51,16,10,14259,14267,1938,19,19,只描述（H120 依構造只到①）,0.9042,7505,6754,1197,1464,1524,1650,1692,1572,1647,1844,1633,991,True,True
K25,多頭母子線,K,2,降,1,過,49072,38158,10914,87,166,31,29,37845,37881,2037,113,113,①②③,2.2867,21516,16329,48163,37433,10730,314,154,29,29,36907,36942,2022,38,38,①②,2.2739,21007,15900,46664,36261,10403,641,136,25,28,35431,35463,2004,19,19,只描述（H120 依構造只到①）,2.2469,20179,15252,3318,3908,3141,3770,3496,4838,3699,4645,4519,2511,True,True
K26,空頭分離線,K,2,降,-1,過,636,629,7,8,5,1,0,615,615,486,110,110,①②③,0.0372,352,263,629,622,7,11,5,1,0,605,605,481,38,38,①②,0.0373,349,256,611,604,7,19,5,1,0,579,579,463,19,19,只描述（H120 依構造只到①）,0.0367,339,240,51,89,64,73,42,103,51,54,55,33,True,True
K27,收盤黑色光頭光腳,K,1,無,續,過,84344,57196,27148,164,183,163,106,56580,56686,2034,113,113,①②③,3.4188,32728,23852,82952,56214,26738,491,161,161,99,55302,55405,2023,38,38,①②,3.4072,32055,23247,80784,54664,26120,956,148,155,93,53312,53411,2008,19,19,只描述（H120 依構造只到①）,3.3808,30944,22368,5131,5727,5539,5636,5594,6290,5878,6816,6645,3324,True,True
K28,平頭底部,K,2,降,-1,過,316840,102654,214186,528,973,81,96,100976,101601,2058,113,113,①②③,6.1013,56330,44646,312806,100967,211839,1456,847,75,90,98499,99064,2045,38,38,①②,6.0687,55164,43335,304669,98293,206376,2522,739,68,87,94877,95378,2028,19,19,只描述（H120 依構造只到①）,6.0166,53309,41568,9836,10926,10712,9705,9950,10547,10656,11580,11117,5947,True,True
K29,多頭Breakaway,K,5,降,1,過,22,22,0,0,0,0,0,22,22,22,20,20,依構造不可判定,0.0013,12,10,22,22,0,1,0,0,0,21,21,21,17,17,依構造不可判定,0.0013,12,9,22,22,0,1,0,0,0,21,21,21,13,13,只描述（H120 依構造只到①）,0.0013,12,9,1,4,0,2,1,6,3,2,3,0,False,False
K30,多久里線,K,1,降,1,過,75881,38551,37330,586,1323,336,843,35463,36854,2038,113,113,①②③,2.1428,15741,19722,74560,37758,36802,1409,1107,307,822,34113,35342,2017,38,38,①②,2.1018,15301,18812,72508,36631,35877,2222,949,254,796,32410,33491,2000,19,19,只描述（H120 依構造只到①）,2.0553,14673,17737,3101,4083,3879,3580,3268,4358,3136,3310,4373,2375,True,True
K31,最後吞噬底,K,2,降,-1,過,106559,64996,41563,143,192,81,80,64500,64599,2054,113,113,①②③,3.8973,36864,27636,104359,63641,40718,519,177,80,75,62790,62888,2036,38,38,①②,3.8686,35968,26822,100861,61600,39261,1048,155,75,73,60249,60336,2017,19,19,只描述（H120 依構造只到①）,3.8207,34561,25688,5886,6535,5843,6197,6519,6908,6648,7809,7640,4515,True,True
K32,看漲十字星,K,2,降,-1,過,6727,6379,348,17,24,6,13,6319,6320,1853,113,113,①②③,0.3818,3473,2846,6609,6268,341,64,22,6,13,6163,6164,1838,38,38,①②,0.3797,3402,2761,6407,6071,336,139,21,5,11,5895,5896,1814,19,19,只描述（H120 依構造只到①）,0.3738,3271,2624,472,683,519,820,642,796,536,670,780,401,True,True
K33,多頭母子十字,K,2,降,-1,過,8603,7979,624,32,69,5,31,7842,7849,1841,113,113,①②③,0.4738,4379,3463,8483,7868,615,104,60,5,31,7668,7675,1825,38,38,①②,0.4724,4316,3352,8293,7697,596,191,56,4,31,7415,7421,1802,19,19,只描述（H120 依構造只到①）,0.4702,4204,3211,813,1001,977,748,714,797,799,790,803,400,True,True
K34,看跌十字星,K,2,升,1,過,10677,9825,852,25,17,96,17,9670,9680,1907,113,113,①②③,0.5843,5564,4106,10447,9619,828,79,16,89,16,9419,9429,1894,38,38,①②,0.5803,5406,4013,10096,9309,787,144,15,79,12,9059,9068,1870,19,19,只描述（H120 依構造只到①）,0.5745,5214,3845,724,812,1056,1188,1110,916,1238,1052,922,652,True,True
K35,長白日,K,1,無,續,過,131597,79302,52295,546,845,807,104,77000,77819,2057,113,113,①②③,4.6526,41987,35013,129065,77816,51249,1422,705,759,93,74837,75561,2040,38,38,①②,4.6108,40939,33898,125645,75724,49921,2376,611,667,80,71990,72626,2024,19,19,只描述（H120 依構造只到①）,4.5653,39578,32412,6828,7900,8398,8544,8075,7458,8191,8237,8551,4818,True,True
K36,上漲受阻,K,3,升,1,過,2915,2690,225,11,2,2,2,2673,2674,1370,113,113,①②③,0.1615,1604,1069,2841,2621,220,25,2,2,1,2591,2592,1349,38,38,①②,0.1596,1544,1047,2778,2563,215,40,2,2,1,2518,2519,1327,19,19,只描述（H120 依構造只到①）,0.1597,1508,1010,185,237,267,263,274,356,346,280,311,154,True,True
K37,黑色光頭光腳,K,1,無,續,過,230666,94062,136604,535,1003,123,210,92191,92994,2060,113,113,①②③,5.5705,47462,44729,227618,92566,135052,1586,851,118,194,89817,90526,2048,38,38,①②,5.5338,46461,43356,222470,90259,132211,2776,743,102,174,86464,87096,2027,19,19,只描述（H120 依構造只到①）,5.4831,44940,41524,8957,10143,10522,8930,8708,9769,9635,10235,10266,5026,True,True
K38,開盤黑色光頭光腳,K,1,無,續,過,190907,95218,95689,264,363,98,126,94367,94633,2059,113,113,①②③,5.702,52126,42241,187032,93334,93698,884,325,92,107,91926,92167,2046,38,38,①②,5.6637,50844,41082,180143,90224,89919,1721,298,83,99,88023,88242,2025,19,19,只描述（H120 依構造只到①）,5.582,48761,39262,8068,9398,9126,9500,9914,10207,10174,10490,10858,6632,True,True
K39,胃部之下,K,2,升,-1,過,6675,6395,280,61,81,2,19,6232,6238,1787,113,113,①②③,0.3766,3459,2773,6515,6240,275,140,71,2,13,6014,6020,1772,38,38,①②,0.3705,3354,2660,6286,6023,263,233,61,2,13,5714,5720,1743,19,19,只描述（H120 依構造只到①）,0.3624,3214,2500,407,725,644,666,634,846,631,600,623,456,True,True
K40,短黑蠟燭,K,1,無,反,過,86185,54101,32084,248,676,49,90,53038,53333,2043,113,113,①②③,3.2047,26027,27011,84583,53077,31506,888,581,46,83,51479,51747,2030,38,38,①②,3.1717,25361,26118,82450,51715,30735,1639,511,38,78,49449,49695,2008,19,19,只描述（H120 依構造只到①）,3.1358,24449,25000,4708,5869,5399,5633,5564,5602,5427,5855,5921,3060,True,True
K41,高浪線,K,1,無,反,過,101043,42307,58736,743,1628,1154,958,37824,40058,2034,113,113,①②③,2.2855,17185,20639,99343,41461,57882,1731,1353,1075,935,36367,38332,2019,38,38,①②,2.2406,16696,19671,96763,40188,56575,2704,1175,932,894,34483,36213,2001,19,19,只描述（H120 依構造只到①）,2.1867,15973,18510,3074,3975,4089,3876,3906,4186,3795,3722,4771,2430,True,True
K42,白色蠟燭,K,1,無,續,過,394317,130022,264295,525,1044,247,150,128056,128880,2061,113,113,①②③,7.7376,71921,56135,386663,127424,259239,1560,909,225,146,124584,125332,2051,38,38,①②,7.6758,70123,54461,376165,123876,252289,2851,802,190,126,119907,120563,2030,19,19,只描述（H120 依構造只到①）,7.6039,67689,52218,10902,12756,13026,13526,13548,14351,13677,13948,14138,8184,True,True
K43,白色紡錘線,K,1,無,反,過,101289,63106,38183,114,67,50,94,62781,62849,2037,113,113,①②③,3.7934,37410,25371,99042,61749,37293,375,61,47,83,61183,61246,2024,38,38,①②,3.7696,36437,24746,95591,59639,35952,772,58,44,78,58687,58746,2002,19,19,只描述（H120 依構造只到①）,3.7216,34971,23716,4691,5646,5238,6663,7114,6991,6943,7454,7449,4592,True,True
K44,收盤白色光頭光腳,K,1,無,續,過,87334,56431,30903,255,478,666,81,54951,55393,2048,113,113,①②③,3.3203,30576,24375,85345,55210,30135,716,416,630,71,53377,53783,2028,38,38,①②,3.2886,29800,23577,82451,53486,28965,1312,380,551,65,51178,51543,2015,19,19,只描述（H120 依構造只到①）,3.2455,28707,22471,4578,5643,5906,6131,6020,5849,5396,5786,5841,3801,True,True
