vid,型態,族,根數,事前,d,T1,原始_H20,純合併後_H20,合併掉_H20,剔除_硬斷點_H20,剔除_停牌_H20,剔除_開盤漲停_H20,剔除_開盤跌停_H20,保留_H20,保留_另一順序_H20,相異檔數_H20,有事件曆月_H20,n_eff上限_H20,可能出口_H20,每檔每年_H20,上市_H20,上櫃_H20,原始_H60,純合併後_H60,合併掉_H60,剔除_硬斷點_H60,剔除_停牌_H60,剔除_開盤漲停_H60,剔除_開盤跌停_H60,保留_H60,保留_另一順序_H60,相異檔數_H60,有事件區段_H60,n_eff上限_H60,可能出口_H60,每檔每年_H60,上市_H60,上櫃_H60,原始_H120,純合併後_H120,合併掉_H120,剔除_硬斷點_H120,剔除_停牌_H120,剔除_開盤漲停_H120,剔除_開盤跌停_H120,保留_H120,保留_另一順序_H120,相異檔數_H120,有事件區段_H120,n_eff上限_H120,可能出口_H120,每檔每年_H120,上市_H120,上櫃_H120,H20_2017年,H20_2018年,H20_2019年,H20_2020年,H20_2021年,H20_2022年,H20_2023年,H20_2024年,H20_2025年,H20_2026年,可判定_H20,可判定_H60
K58,吊人,K,1,升,1,過,108646,56603,52043,555,1079,939,168,53862,55181,2041,113,113,①②③,3.2545,28090,25772,106457,55468,50989,1400,898,870,152,52148,53273,2027,38,38,①②,3.2129,27350,24798,103786,54001,49785,2276,760,758,134,50073,51035,2015,19,19,只描述（H120 依構造只到①）,3.1754,26438,23635,4736,5560,6322,5751,5759,5754,5767,5211,5756,3246,True,True
K59,向下跳空十字,K,1,降,1,過,8673,7928,745,49,105,51,68,7655,7688,1897,113,113,①②③,0.4625,3763,3892,8563,7824,739,127,89,51,65,7492,7522,1890,38,38,①②,0.4616,3708,3784,8277,7562,715,245,73,49,63,7132,7162,1869,19,19,只描述（H120 依構造只到①）,0.4523,3542,3590,393,947,663,1047,726,999,463,659,1307,451,True,True
K60,下跌三法,K,5,降,-1,過,15,15,0,1,0,0,0,14,14,14,14,14,依構造不可判定,0.0008,8,6,13,13,0,1,0,0,0,12,12,12,11,11,依構造不可判定,0.0007,7,5,13,13,0,1,0,0,0,12,12,12,9,9,只描述（H120 依構造只到①）,0.0008,7,5,2,2,1,1,0,1,0,2,2,3,False,False
K61,空頭吞噬,K,2,升,-1,過,99572,64147,35425,144,137,39,68,63759,63814,2038,113,113,①②③,3.8525,36985,26774,97758,62962,34796,481,123,37,57,62264,62313,2027,38,38,①②,3.8362,36114,26150,94750,61057,33693,940,110,34,49,59924,59971,2005,19,19,只描述（H120 依構造只到①）,3.8001,34804,25120,5425,5719,6347,6629,7457,6216,7391,7383,7101,4091,True,True
K62,向上跳空十字,K,1,升,-1,過,9492,8662,830,32,54,203,24,8349,8445,1885,113,113,①②③,0.5045,4187,4162,9292,8489,803,114,47,188,23,8117,8208,1862,38,38,①②,0.5001,4073,4044,8909,8160,749,204,40,160,16,7740,7823,1835,19,19,只描述（H120 依構造只到①）,0.4908,3898,3842,684,779,906,1080,999,777,904,784,829,607,True,True
K63,停頓型態,K,3,升,1,過,448,448,0,1,5,0,0,442,442,380,104,104,①②③,0.0267,266,176,440,440,0,6,5,0,0,429,429,373,38,38,①②,0.0264,259,170,435,435,0,12,4,0,0,419,419,364,19,19,只描述（H120 依構造只到①）,0.0266,255,164,31,37,54,62,56,57,61,29,38,17,True,True
K64,上升三法,K,5,升,1,過,13,13,0,0,1,0,0,12,12,12,10,10,依構造不可判定,0.0007,4,8,13,13,0,1,1,0,0,11,11,11,9,9,依構造不可判定,0.0007,4,7,12,12,0,1,1,0,0,10,10,10,8,8,只描述（H120 依構造只到①）,0.0006,4,6,1,1,1,0,3,2,1,1,1,1,False,False
K65,看漲反沖線,K,2,降,1,過,518,511,7,22,45,13,1,430,431,292,107,107,①②③,0.026,128,302,511,504,7,58,38,13,1,394,395,280,38,38,①②,0.0243,122,272,494,487,7,80,35,11,1,360,361,261,19,19,只描述（H120 依構造只到①）,0.0228,114,246,45,50,56,38,35,45,49,38,50,24,True,True
K66,崩潰十字星,K,3,升,-1,過,35,35,0,0,0,0,1,34,34,32,28,28,依構造不可判定,0.0021,15,19,35,35,0,1,0,0,1,33,33,31,21,21,依構造不可判定,0.002,15,18,33,33,0,1,0,0,1,31,31,29,14,14,只描述（H120 依構造只到①）,0.002,14,17,3,6,1,7,1,6,1,3,4,2,False,False
K67,蜻蜓十字,K,1,降,1,過,41295,28517,12778,124,317,67,65,27944,28053,2009,113,113,①②③,1.6885,13748,14196,40670,28069,12601,416,278,63,63,27249,27352,1993,38,38,①②,1.6789,13464,13785,39528,27289,12239,782,256,54,61,26136,26231,1976,19,19,只描述（H120 依構造只到①）,1.6574,12990,13146,2813,3443,3364,3021,2557,3148,2434,2400,3107,1657,True,True
K68,看跌反沖線,K,2,升,-1,過,363,357,6,16,25,0,2,314,314,240,103,103,①②③,0.019,102,212,360,354,6,39,21,0,2,292,292,226,37,37,①②,0.018,100,192,357,351,6,50,19,0,2,280,280,219,19,19,只描述（H120 依構造只到①）,0.0178,98,182,23,45,41,37,32,48,20,18,41,9,True,True
S01,M頭,甲,,,-1,過,1352,1325,27,27,8,3,17,1270,1270,819,113,113,①②③,0.0767,599,671,1202,1186,16,41,7,3,14,1121,1121,770,38,38,①②,0.0691,525,596,1095,1082,13,64,6,2,14,996,996,708,19,19,只描述（H120 依構造只到①）,0.0632,469,527,64,79,35,119,185,147,79,180,112,270,True,True
S02,三重底,甲,,,1,過,2082,2009,73,49,11,68,2,1879,1883,1059,112,112,①②③,0.1135,940,939,2000,1936,64,76,9,64,2,1785,1789,1030,38,38,①②,0.11,901,884,1882,1821,61,120,7,54,2,1638,1642,972,19,19,只描述（H120 依構造只到①）,0.1039,836,802,93,176,104,192,219,264,155,187,255,234,True,True
S03,三重頂,甲,,,-1,過,1615,1562,53,30,6,5,10,1511,1513,925,112,112,①②③,0.0913,830,681,1496,1448,48,40,5,5,8,1390,1392,878,38,38,①②,0.0856,765,625,1421,1377,44,70,4,5,7,1291,1292,826,19,19,只描述（H120 依構造只到①）,0.0819,712,579,88,113,59,148,161,202,134,219,186,201,True,True
S04,對稱三角_向上,乙,,,1,過,365,317,48,7,4,2,0,304,305,281,96,96,①②,0.0184,176,128,363,316,47,10,4,1,0,301,302,279,38,38,①②,0.0185,174,127,358,311,47,13,4,1,0,293,294,272,19,19,只描述（H120 依構造只到①）,0.0186,169,124,23,16,32,30,46,24,50,24,48,11,True,True
