stock_id,prev_date,date,rule,ref_over_prev
0081,2011-10-18,2011-10-25,B,1.089552
0081,2013-06-07,2013-07-02,B,0.928571
0081,2013-07-05,2013-07-26,B,1.08642
0081,2013-08-13,2013-08-26,B,0.886364
0081,2013-09-05,2013-09-18,B,0.941235
0081,2013-09-25,2013-10-11,B,1.097879
0081,2014-03-31,2014-05-15,B,0.898876
0081,2014-05-15,2014-05-23,B,0.945
1101A,2005-02-18,2005-03-17,B,0.940433
1107,2004-12-31,2005-01-20,A,1.542857
1204,2005-04-08,2005-05-13,A,1.697947
1204,2005-07-21,2005-08-03,B,0.70202
1204,2005-08-16,2005-08-26,B,0.760204
1204,2005-08-30,2005-09-08,B,0.81295
1207,2004-10-07,2004-11-12,A,1.866667
1207,2006-11-20,2006-12-08,A,1.683258
1224,2004-06-16,2004-06-24,B,0.815217
1234,2013-10-30,2013-11-12,A,1.148368
1306,2005-07-22,2005-08-01,B,0.806569
1306,2005-08-12,2005-08-24,B,0.754647
1310,2013-01-17,2013-02-01,A,1.124019
1312A,2009-01-14,2009-01-20,B,0.933921
1315,2014-10-16,2014-10-31,A,1.068519
1316,2005-11-22,2005-12-26,A,2.133758
1410,2014-10-03,2014-10-20,A,1.076763
1413,2009-11-25,2009-12-15,B,1.779661
1413,2014-11-13,2014-11-28,A,1.605882
1416,2010-09-27,2010-10-14,A,1.522926
1416,2013-10-21,2013-11-01,A,1.051282
1418,2008-10-29,2008-11-17,B,1.860656
1432,2004-12-03,2005-01-07,A,1.179104
1432,2005-04-12,2005-09-15,A,1.07
1432,2005-09-15,2005-10-05,B,0.607477
1432,2005-10-05,2005-11-17,B,0.348718
1432,2006-01-17,2006-01-24,B,0.868327
1432,2006-02-03,2006-02-20,B,0.652985
1432,2006-03-08,2006-04-12,B,2.685484
1432,2008-01-10,2008-01-22,B,0.805882
1432,2008-02-27,2008-03-06,B,1.057437
1432,2008-03-31,2008-04-09,B,0.935484
1432,2008-05-02,2008-05-14,B,1.058621
1432,2008-06-03,2008-06-11,B,0.930769
1432,2008-06-11,2008-09-12,B,0.750413
1432,2008-09-15,2008-11-03,B,0.430928
1432,2008-11-12,2008-11-27,B,0.758824
1432,2008-12-04,2008-12-17,B,1.066667
1432,2008-12-18,2008-12-26,B,0.93985
1432,2009-01-06,2009-02-03,B,0.936
1432,2009-02-06,2009-03-16,B,1.069565
1432,2009-04-24,2009-05-19,B,0.606522
1432,2009-06-19,2009-07-06,B,0.802469
1432,2009-11-18,2009-11-26,B,0.93068
1432,2010-01-18,2010-01-25,B,0.930048
1432,2010-02-10,2010-03-01,B,1.069136
1432,2010-05-05,2010-05-31,B,1.067819
1436,2012-07-24,2012-08-06,A,2.496479
1438,2004-06-14,2004-06-23,B,0.811538
1438,2004-06-30,2004-07-12,B,0.931217
1438,2004-07-30,2004-08-23,B,1.07
1438,2004-08-23,2004-09-02,B,0.934579
1438,2004-10-13,2004-10-20,B,0.930636
1438,2004-10-21,2004-11-01,B,0.873333
1438,2004-11-18,2004-11-30,B,0.9375
1438,2004-11-30,2004-12-13,B,0.933333
1438,2005-01-11,2005-01-24,B,0.933884
