stock_id,name,period,market,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1409,新纖,2017Q4,twse,88708993,55746818,144455811,99396820,9690486,109087306,16184093,1575732,7295821,2351119,-29834,27376931,,7991574,35368505,,0,4680487,16.97
1718,中纖,2017Q4,twse,542862601,148866619,691729220,611282167,27047662,638329829,14294934,1677818,6394939,-210802,-1227909,20928980,,32470411,53399391,,0,291816145,18.40
2207,和泰車,2017Q4,twse,145284874,61316876,206601750,118180726,33544876,151725602,5461792,263060,40236347,694102,,46655301,,8220847,54876148,0,0,0,85.42
2905,三商,2017Q4,twse,152552568,919922699,1072475267,14218340,1017405443,1031623783,7654617,1012896,8410394,370780,-532672,16916015,0,23935469,40851484,0,0,44215000,23.45
