stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
5864,致和證,2026Q2,tpex,17761658,1639136,19400794,6466348,38537,6504885,5044901,,517177,7208243,125588,,,,,,12895909,,0,0,28.37
6015,宏遠證,2026Q2,tpex,18965865,1809956,20775821,13828325,95626,13923951,4036141,,422225,2186083,207421,0,6851870,,,,6851870,,10465448,0,16.98
6016,康和證,2026Q2,tpex,100659875,6058325,106718200,90123911,1834048,91957959,7724199,,175331,5939730,853332,,14692592,,,67649,14760241,0,0,0,21.40
6020,大展證,2026Q2,tpex,7891779,1381266,9273045,3772268,5019,3777287,2523532,,461,2274921,696389,,5495303,,,455,5495758,0,0,0,21.78
6021,美好證,2026Q2,tpex,37851089,3345550,41196639,24496511,3813533,28310044,3122309,,65044,5609422,4089820,,12886595,,,,12886595,0,0,0,41.27
6023,元大期貨,2026Q2,tpex,310165847,5367031,315532878,287961610,7592789,295554399,3679727,,5029279,8664687,2604786,,19978479,,,,19978479,0,0,0,62.44
6026,福邦證,2026Q2,tpex,15137015,2249035,17386050,10978151,106188,11084339,3961619,,153832,1938142,248118,,6301711,,,,6301711,,0,0,15.91
