stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1101,台泥,2025Q1,twse,190775550,431944255,622719805,113308585,192377395,305685980,77511817,,74837523,73243427,30424476,-732459,255284784,,,61749041,317033825,,0,20000000,33.02
1102,亞泥,2025Q1,twse,105584063,226906545,332490608,86802096,44331949,131134045,35465629,,8239331,118025079,15772783,,177502822,,,23853741,201356563,,0,0,50.05
1103,嘉泥,2025Q1,twse,9958798,25860533,35819331,2819178,11112545,13931723,7902474,,1388476,10274030,2661726,-1055710,21170996,,,716612,21887608,,0,129917726,32.06
1104,環泥,2025Q1,twse,7365537,22475297,29840834,3706572,1361230,5067802,6866818,,122786,14643949,2330989,,23964542,,,808490,24773032,,0,0,34.90
1108,幸福,2025Q1,twse,5713715,4486585,10200300,4515026,668837,5183863,4047380,,18,992132,-23159,,5016371,,,66,5016437,,0,0,12.39
1109,信大,2025Q1,twse,6482398,5055363,11537761,1000031,154104,1154135,3411589,,15962,5041999,-19390,,8450160,,,1933466,10383626,0,0,0,24.77
1110,東泥,2025Q1,twse,2960606,9763583,12724189,1930789,1188231,3119020,5720008,,188898,2576761,968840,-12185,9442322,,,162847,9605169,,0,2112865,16.57
1201,味全,2025Q1,twse,6460021,11264892,17724913,6506273,3580187,10086460,5060629,,41007,2599523,-70961,,7630198,,,8255,7638453,0,0,0,15.08
1203,味王,2025Q1,twse,4942249,5613414,10555663,1697602,1366487,3064089,2400000,,51985,3719622,201765,-38464,6334908,,,1156666,7491574,0,0,2293865,26.65
1210,大成,2025Q1,twse,29645704,41091533,70737237,32775926,4514957,37290883,8947673,,4136026,10091192,1929886,-734821,24369956,,,9076398,33446354,,0,58059471,29.13
1213,大飲,2025Q1,twse,344519,435318,779837,71092,1087,72179,566226,,21938,119644,-150,,707658,,,,707658,0,0,0,12.50
1215,卜蜂,2025Q1,twse,7537946,22206832,29744778,10203892,8830013,19033905,2947901,,12234,5842479,1465301,,10267915,,,442958,10710873,0,0,0,34.83
1216,統一,2025Q1,twse,238979131,482706259,721685390,248203826,253111692,501315518,56820154,,2734882,81255888,1361956,,142172880,,,78196992,220369872,0,0,0,25.02
1217,愛之味,2025Q1,twse,2518286,11770248,14288534,2707191,3816696,6523887,4945134,,268144,1070668,700041,,6983987,,,780660,7764647,0,0,0,14.12
