stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,按攤銷後成本衡量之債務工具投資,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2018Q2,twse,44439392,181790946,12252876,93945472,238471,268726746,,27749968,218320,,,1370074982,0,0,,,55811721,20617152,13744678,375917,3858366,1168788,2095013795,143330238,,14035790,,2562197,39785563,629095,,1674630563,46538904,,,4326747,4995341,7924911,5395803,1944155152,97895207,,49443617,3519819,0,,,,,150858643,,0,0,16.03
2812,台中銀,2018Q2,twse,14381229,30396023,35076499,32481919,0,95073536,5981634,12807559,1785,0,0,444337500,0,0,157327,345676,21606,9395107,81905,162032,778506,1964967,683444810,8963664,5193381,396964,0,7222023,13636742,300860,0,581278737,18500000,0,0,1208606,1514905,111021,858952,639185855,33755084,684156,9146576,673139,0,44258955,0,,0,44258955,0,0,0,13.44
2820,華票,2018Q2,twse,399073,0,93557428,95384433,,,6071916,931152,197481,,,,0,,,,549381,152115,,,104170,49144,197396293,24299150,,20806,,143708011,1457672,21536,,,,,,3599406,1404781,16,109264,174620642,13429600,4113,8886056,455882,0,,,,,22775651,,0,0,16.96
2834,臺企銀,2018Q2,twse,51115524,89577479,3127984,76606750,,226576348,14314570,29310916,92203,,,1089650995,0,0,,,108069,14185610,,260243,1319077,3629421,1599875189,86070754,271827,3818683,,1534567,43191966,475426,,1326839836,42000000,,,8782561,3306009,879549,1540072,1518711250,63938802,0,14419959,2805178,0,81163939,0,,0,81163939,0,0,0,13.20
2836,高雄銀,2018Q2,twse,3685052,10856159,323568,18090625,,43914015,13671682,1303511,23827,,,178202041,0,0,0,,17526,2918884,,133102,295587,114023,273549602,6171666,,173485,,6548854,3861392,0,,236504642,5500000,,,801,359388,,114954,259235182,10403431,1487157,2256635,167197,,,,,,14314420,0,0,0,14.27
2838,聯邦銀,2018Q2,twse,12769245,14666785,27994347,37403474,,97296375,23573419,20233595,41086,,,323133123,0,0,52937,,1799852,8038510,5366808,2150358,1065177,8062798,583647889,10177465,,357616,,38383530,8211315,40508,,457422756,9700000,1466426,,4229741,297264,1238744,3065968,534591333,28895234,8032413,9855169,2003725,,48786541,,,270015,49056556,,0,0,17.39
2845,遠東銀,2018Q2,twse,7411718,21203857,46920739,111455104,,2124035,7246099,22360454,71,,,378287470,0,0,1749618,,4586194,2886251,,1712344,552232,170240,608666426,15987522,,6567889,,8449178,7711157,91682,,496833047,18601900,,,9605049,1220248,,537743,565605415,32691859,456426,9892054,20672,,43061011,,,,43061011,,0,0,13.53
2849,安泰銀,2018Q2,twse,3540704,17666369,17982840,36389233,,37525900,201720,4383411,62143,0,,190422292,0,0,,,234761,781423,,189103,1283912,1334036,311997847,5276900,,823205,,1770907,4289425,,,263158357,0,,774561,3184075,427719,86427,129903,279921479,17353240,1441228,12927616,354284,0,,,,,32076368,0,0,0,18.48
2897,王道銀行,2018Q2,twse,7815339,21349324,140919461,145927707,,499880,6071916,19631594,277131,,,193973601,0,0,,,602254,2949507,,2486980,688476,1166696,544359866,64407013,,1242155,,148410612,6199670,139744,,231788065,22150000,,,20052395,1912210,358089,2122289,498782242,24130063,8572,4721121,-17665,,28842091,,,16735533,45577624,,0,0,11.95
5876,上海商銀,2018Q2,twse,68662140,190808521,13528698,391177962,,90986428,195282,19690857,224430,,,987170950,0,0,1563251,,5972,21384698,5446637,,1142924,2827382,1794816132,44753325,,1537585,,22021546,37479975,2254991,,1443238035,57742722,,,4738617,2086154,8942069,3106484,1627901503,40791031,5342186,72088337,5301732,-83144,123440142,,,43474487,166914629,,11397439,0,30.35
