stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2025Q4,twse,41545842,263088193,203228059,409995430,819228514,,1449086,95583616,218046,,,2405636369,6175017,276675,,18413013,13889856,33664412,2308677,1027777,3871413,4486464,4324086459,260567938,,5930487,,87654599,54755562,54764344,2661998,,3414267655,71391561,3030000,,25351211,87727244,2368437,6169841,11085504,4087726381,139169651,17766839,79462691,-41633,,,236357548,2530,236360078,,0,0,16.98
2881,富邦金,2025Q4,twse,417429421,504756300,1793787041,1031225888,3871063738,8998259,135285278,417301468,3252724,4168387,,3469093531,42239274,63900871,,564981957,312265435,77403337,14064488,34500404,51806617,57953736,12875478154,259008296,256109,102085269,21028745,63807390,87852587,285867143,20914621,189870,4843406367,478228667,12889821,,4928081545,610963919,21673552,48269631,93146695,11877670227,156073549,155059332,705475148,-34026345,,,982581684,15226243,997807927,,0,0,62.96
2882,國泰金,2025Q4,twse,361911485,428777214,1997543473,1287714996,4777286517,36010,42827566,324847287,1905715,,,3308740819,28171081,80736244,,861044551,504777190,110058881,5785403,31483314,78667439,109303168,14341618353,178790871,,164077562,919871,14199142,85062693,114103621,23987999,,4331649468,288903582,47378891,,7155232073,916650273,20537826,41860708,23875683,13407230263,162025102,203119254,637808716,-74666564,0,0,928286508,6101582,934388090,,0,0,57.29
2883,凱基金,2025Q4,twse,65666234,57477139,694081941,262614523,1669911034,198294,68312726,207156715,933027,,,562242022,1208702,29857949,,229484981,55691700,30554642,12724671,16597957,20773973,134646566,4120134796,9772012,,89112122,889286,168586478,97640997,138103071,6684346,,645674883,113976559,30107304,,2100298607,277288840,5285906,20027529,89164358,3792612298,185569894,33758864,124067189,-16004202,,,327391745,130753,327522498,0,0,0,17.64
2884,玉山金,2025Q4,twse,43839304,362379636,277486959,414827421,523193098,49104,26783272,172188894,565115,,,2602659198,,,,11400183,1297218,34300791,8118590,7798332,3079968,26566120,4516533203,68251061,,83718947,2474393,35294971,28869614,51894531,2919364,,3778225398,46620000,329476,,1330262,130792836,5533787,2672730,4461843,4243389213,161740000,35432297,66891244,8680388,,,272743929,400061,273143990,,0,0,16.86
2885,元大金,2025Q4,twse,90359817,119491328,775873292,364181746,549296808,,57749967,437181167,2621142,0,,1495534208,1489606,2933780,7063274,173654655,20371654,30753064,10236137,30507768,6533130,116311728,4292144271,8538935,,206678102,,288865044,158925388,258283014,5582678,,1925745836,127629866,89879902,,405210217,209239009,6658905,6395648,226285203,3923917747,133311499,38341308,152120637,16643929,,,340417373,27809151,368226524,0,0,0,25.54
2886,兆豐金,2025Q4,twse,168055070,709445698,269201495,587669884,728597513,,5711060,132628590,1519661,,,2434663850,15235806,5140716,,8031465,1686729,23123633,2053165,1636766,6674072,10179971,5111255144,739867828,2178941,28598754,,329767072,51686929,103737545,7740480,,3325935975,50200000,4796947,,30615558,24458754,2114829,2282238,14904192,4718886042,148333783,76849829,149783398,17402092,,,392369102,,392369102,0,0,0,26.45
2887,台新新光金,2025Q4,twse,75873586,207851113,710743765,579747660,2711655457,,14772034,310060954,1516382,5272964,,2838237093,2604822,3006990,,167506565,229762102,86204326,6932645,674881130,75799329,73063275,8775492192,47884309,,95363679,,108170455,92136825,124574417,8401212,,3581227317,148689477,7858402,28322642,3666478458,310791976,9540928,40808731,21139584,8291388412,262610672,133732478,64159018,23225354,-89298,,483638224,465556,484103780,,0,1927518,18.42
2889,國票金,2025Q4,twse,3945079,177,187565167,152396275,699406,,278844,63381138,63071,,,,,5541474,,19558462,393501,6928941,152330,271376,373968,6910217,448459426,,24468025,3788704,,275133851,36999284,30604163,543075,,,,,,1843594,14564607,151051,62043,6199362,394357759,36335635,406050,5734634,3669000,0,,46145319,7956348,54101667,,0,0,12.70
2890,永豐金,2025Q4,twse,31877344,271089441,188872962,460376300,348958358,,102717175,179363016,290713,12258681,,1944987699,,1083769,,74791178,2345101,18831381,4501468,12988324,3834642,35066089,3694233641,136950871,,65538088,,54861519,124589433,88735403,3224237,10417272,2730043943,63932072,12108999,18437,2882572,121841920,4096634,2014725,14878453,3436134578,144923223,26827097,89926639,-6183655,,,255493304,2605759,258099063,,0,0,17.63
2891,中信金,2025Q4,twse,135123386,506625535,753414304,737464240,2118746701,209928,38393753,290589904,5792253,,,4236001856,5727798,22670309,,146452473,128884650,54508306,17456740,40490310,20887250,71646974,9331086670,124993046,34403413,114254409,4252994,197114884,90926193,127404496,11036612,,5651587386,213195412,,,1903767505,223013761,27113269,16656104,42085986,8781805470,201778069,61318283,286708242,-31461284,,,518343310,30937890,549281200,0,0,0,25.69
2892,第一金,2025Q4,twse,75575338,332814519,226713902,439440966,1002220028,,3444800,90627921,1123942,,,2793405592,87911,3424379,,16719619,12517938,27985152,2698355,1354820,4946334,6652197,5041753713,390441307,180000,12249129,,16900915,50050753,59060547,4930211,,3954478812,75800000,380000,,79489318,85331142,2585314,8156832,9352575,4749386855,143794686,26107246,89250110,33214816,,,292366858,0,292366858,0,0,0,20.33
