stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,按攤銷後成本衡量之債務工具投資,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2018Q4,twse,51073179,197942600,10917490,91938199,244763,268059805,,29933985,289771,,,1336701095,0,0,,,55045230,21071298,13742376,731364,3120664,999851,2081811670,113038541,,11047488,,5285890,36677779,241285,,1689581112,49549055,,,4387078,5296332,7352277,2793202,1925250039,97895207,,55271433,3394991,0,156561631,,,,156561631,,0,0,15.99
2812,台中銀,2018Q4,twse,15874631,31768897,26336500,28933152,0,100462761,9294168,12780910,35,0,0,452594552,0,0,153423,447036,1111,9446769,108950,163172,781879,1684157,690832103,3378752,5495519,165360,0,9904467,12254764,380869,0,587967658,20000000,0,0,1000807,1421814,111021,927419,643008450,35255084,726981,11189018,652570,0,47823653,0,,0,47823653,0,0,0,13.57
2820,華票,2018Q4,twse,261832,0,97455257,98395152,,,991363,1291700,286330,,,,0,0,,,548988,150208,,,101386,48815,199531031,26544504,,5885,,147046457,451695,,,,,,,499881,1396246,4898,282972,176232538,13429600,4113,9520568,344212,,,,,,23298493,0,0,0,17.35
2834,臺企銀,2018Q4,twse,46036673,86980274,7134604,73164201,,261470496,2386518,45652981,64880,,,1074627748,0,0,,,17971,14309738,,286054,1646991,5261326,1619040455,91314543,591988,9339273,,1657706,58674131,1017575,,1311041103,47450000,,,7507715,3565727,880738,1146937,1534187436,63938802,0,18007553,2906664,0,84853019,0,,0,84853019,0,0,0,13.27
2836,高雄銀,2018Q4,twse,2939455,12863177,384390,18366343,,41341955,5242712,2174501,19095,,,181244224,0,,,,41145,2887819,,118803,258879,116603,267999101,8695456,,199806,,10430841,4105726,0,,223286113,6300000,,,257,432830,,103060,253554089,10403431,1487157,2505305,49119,,,,,,14445012,0,0,0,13.88
2838,聯邦銀,2018Q4,twse,14014731,29262634,36709925,33393507,,94149872,68480765,18131482,81020,,,325015686,0,0,1623462,,2301648,8007495,5398908,2162961,791550,8060448,647586094,12111895,,307799,,44334388,7013422,41221,,513918075,9700000,1480976,,4089464,262482,1269570,2998047,597527339,28900129,8032413,11220664,1659823,,49813029,,,245726,50058755,,0,0,17.24
2845,遠東銀,2018Q4,twse,10023920,27543032,46507501,119779052,,2588654,8289275,21484377,93,,,379688118,0,0,1776350,,4695376,2732431,,1699602,372184,171185,627351150,15726723,,2752479,,14665794,7265222,201032,,508407972,18001900,,,13915274,1194774,,475240,582606410,32691859,456426,11649127,-52672,,44744740,,,,44744740,,0,0,13.69
2849,安泰銀,2018Q4,twse,4170373,13259976,16810850,40513957,,36637235,699143,5089734,51249,,,190940952,0,0,,,99084,720658,,190673,988019,1319259,311491162,5137045,,620947,,2076334,2594116,11418,,264155110,,,397179,2511258,423555,87559,166964,278181485,18187938,1052639,13746119,322981,0,,,,,33309677,0,0,0,18.31
2897,王道銀行,2018Q4,twse,9227068,22607002,151512614,149952752,,499939,991363,20829951,381082,,,197338050,0,0,,,1329918,2951660,,2457300,672656,1090219,561841574,55529376,,793272,,151446900,5636437,17857,,261803321,17850000,,,15034414,1869428,341015,2400842,512722862,27130063,8503,5010543,-159981,,31989128,,,17129584,49118712,,0,0,11.79
5876,上海商銀,2018Q4,twse,60496417,191069205,13580032,436008517,,106071194,438017,16993738,89235,,,1029803185,0,0,1738636,,2461333,21546669,5661390,1837331,1325996,3288862,1892409757,60263330,,3781474,,14629530,30113575,1168875,,1520625615,64785252,,,4211038,2385217,9411303,3012622,1714387831,41016031,5893238,78932844,5396978,-83144,131155947,,,46865979,178021926,,11397439,0,32.07
