stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1240,茂生農經,2024Q1,tpex,1292127,942926,2235053,710750,66263,777013,393702,,145207,607722,255800,,1402431,,,55609,1458040,,0,0,35.62
1259,安心,2024Q1,tpex,1328612,5088915,6417527,2233182,1653942,3887124,323895,,809816,912431,468537,,2514679,,,15724,2530403,0,0,0,77.64
1264,德麥,2024Q1,tpex,3055076,1742125,4797201,1125303,72334,1197637,370644,,673837,1826100,-22825,-2432,2845324,,,754240,3599564,,0,12000,76.79
1268,漢來美食,2024Q1,tpex,2361743,4825759,7187502,1892599,2933641,4826240,422237,,1123334,743216,72475,0,2361262,,,,2361262,,0,0,55.92
1294,漢田生技,2024Q1,tpex,333111,589683,922794,214904,270275,485179,194144,,37069,203170,,,434383,,,3232,437615,,0,0,22.37
1336,台翰,2024Q1,tpex,1254904,1419699,2674603,491347,343734,835081,783024,,687501,447101,-78104,,1839522,,,,1839522,0,0,0,23.49
1565,精華,2024Q1,tpex,3910503,3860060,7770563,1427757,369251,1797008,504165,,526000,4942033,1357,,5973555,,,,5973555,0,0,0,118.48
1569,濱川,2024Q1,tpex,3386763,2936471,6323234,2086718,841896,2928614,1214474,,1154878,992317,-100500,,3261169,,,133451,3394620,,0,0,26.85
1570,力肯,2024Q1,tpex,752642,313784,1066426,107246,24507,131753,515008,,0,388009,31656,0,934673,,,0,934673,0,0,0,18.15
1580,新麥,2024Q1,tpex,2454509,1664068,4118577,1251491,179478,1430969,502302,,206827,1988030,-120283,,2576876,,,110732,2687608,,0,0,51.30
1584,精剛,2024Q1,tpex,3271187,2146199,5417386,532775,1056949,1589724,1924705,,1161769,639954,27221,,3753649,,,74013,3827662,0,0,0,19.50
1586,和勤,2024Q1,tpex,2067855,1981340,4049195,1257096,1293824,2550920,863123,,578446,365350,-104270,-204374,1498275,,,,1498275,0,0,5054000,18.44
1591,駿吉-KY,2024Q1,tpex,200058,283001,483059,47087,19927,67014,347980,,22159,207287,-161381,0,416045,,,,416045,,0,0,11.96
1593,祺驊,2024Q1,tpex,777303,1222161,1999464,389212,272822,662034,397848,,578145,318481,-33861,0,1260613,,,76817,1337430,0,0,0,31.69
1595,川寶,2024Q1,tpex,2921924,1421221,4343145,1389433,328590,1718023,478754,,577432,1558091,7741,,2622018,,,3104,2625122,,0,0,54.77
1599,宏佳騰,2024Q1,tpex,1394431,1425374,2819805,595638,363485,959123,745287,,418166,799432,-38823,-63380,1860682,,,,1860682,0,0,1500000,25.48
1742,台蠟,2024Q1,tpex,3023368,1005603,4028971,2497538,115206,2612744,935593,,165098,317209,15107,-16780,1416227,,,,1416227,0,0,888000,15.28
1777,生泰,2024Q1,tpex,1385246,1455417,2840663,514454,77407,591861,445917,,983776,822853,-3744,,,,,,2248802,0,0,0,50.43
1781,合世,2024Q1,tpex,429479,208177,637656,265773,22777,288550,474076,,8,-78544,-46434,,349106,,,,349106,0,0,0,7.36
1784,訊聯,2024Q1,tpex,1380217,1081004,2461221,366637,322314,688951,496269,,650562,98174,-6304,-72372,1166329,,,605941,1772270,0,0,2330000,24.66
1785,光洋科,2024Q1,tpex,18295667,9062918,27358585,7288022,6613179,13901201,5962702,,4112769,3550128,-192215,,13433384,,,24000,13457384,,0,0,22.53
1788,杏昌,2024Q1,tpex,2597773,2201095,4798868,1194307,523383,1717690,445210,,1601988,1040087,-6107,,3081178,,,,3081178,0,0,0,69.21
1796,金穎生技,2024Q1,tpex,435296,770487,1205783,217170,186650,403820,414598,,294336,95463,-2434,,801963,,,,801963,0,0,0,19.34
1799,易威,2024Q1,tpex,661480,726761,1388241,137358,492268,629626,1218658,,147788,-618324,6832,,754954,,,3661,758615,0,0,0,6.19
1813,寶利徠,2024Q1,tpex,412479,652597,1065076,262861,15464,278325,466355,,236508,108731,-17943,,793651,,,-6900,786751,0,0,0,17.02
1815,富喬,2024Q1,tpex,3721452,9689308,13410760,2233608,4523974,6757582,4609271,,1898237,38585,107085,,6653178,,,,6653178,,0,0,14.43
2035,唐榮公司,2024Q1,tpex,2388600,14082007,16470607,2051047,9994176,12045223,3500000,,46,783440,141898,,,,,,4425384,,0,0,12.64
2061,風青,2024Q1,tpex,801664,241720,1043384,511632,45834,557466,471083,,35468,-20971,338,,485918,,,,485918,0,0,0,10.31
2063,世鎧精密,2024Q1,tpex,1347000,614052,1961052,325562,588075,913637,496015,,274250,270440,6710,,1047415,,,,1047415,,1923,0,21.12
2064,晉椿,2024Q1,tpex,1132956,1455539,2588495,1459678,100951,1560629,696300,,101931,251962,-18830,-4104,1027259,,,607,1027866,,0,300000,14.82
2065,世豐,2024Q1,tpex,1371507,1994734,3366241,1182148,396502,1578650,568838,,614384,516117,88252,,1787591,,,,1787591,,0,0,31.43
2066,世德,2024Q1,tpex,2886341,1014540,3900881,1311145,726711,2037856,422232,,371371,1097060,-1543,-26095,1863025,,,0,1863025,0,0,500000,44.65
2067,嘉鋼,2024Q1,tpex,627812,1273063,1900875,1083752,422738,1506490,451382,,,-124085,-8344,,318953,,,75432,394385,,0,0,7.07
2070,精湛,2024Q1,tpex,739449,659866,1399315,423244,106383,529627,357828,,4520,544771,-37431,,869688,,,,869688,0,0,0,24.30
2073,雄順,2024Q1,tpex,276468,537856,814324,193500,169576,363076,275000,,63203,111752,1293,,,,,,451248,,0,0,16.41
2221,大甲,2024Q1,tpex,1077156,503527,1580683,352924,173154,526078,423250,0,51422,519189,-2859,0,991002,0,,63603,1054605,0,0,0,23.41
2230,泰茂,2024Q1,tpex,1176754,499932,1676686,308036,328957,636993,519022,,193190,312406,127,,1024745,,,14948,1039693,,778512,0,19.74
2235,謚源,2024Q1,tpex,583369,1013840,1597209,181705,83847,265552,358780,,497802,475075,,,,,,,1331657,,0,0,37.12
2596,綠意,2024Q1,tpex,4438012,162240,4600252,2195486,,2195486,1000000,,189208,852197,0,,2041405,,,363361,2404766,,0,0,20.41
2640,大車隊,2024Q1,tpex,1604826,2026004,3630830,1292251,581823,1874074,592650,,498623,567696,-587,,1658382,,,98374,1756756,,0,0,27.98
2641,正德,2024Q1,tpex,1686361,7693805,9380166,582786,2212788,2795574,2988806,,1436005,1800816,358965,,6584592,,,,6584592,0,0,0,22.03
2643,捷迅,2024Q1,tpex,2414036,400888,2814924,655634,215661,871295,350000,,421105,1120701,51823,,1943629,,,,1943629,,0,0,55.53
2718,全心投控,2024Q1,tpex,4395633,358160,4753793,2046592,219727,2266319,875760,,726659,835116,49939,,2487474,,,,2487474,0,0,0,28.40
2719,燦星旅,2024Q1,tpex,660933,348046,1008979,256420,104376,360796,687421,,9092,-48330,,,648183,,,,648183,0,0,0,9.43
2724,藝舍-KY,2024Q1,tpex,262311,197229,459540,97153,129856,227009,596564,,0,-354561,-9472,,232531,0,,,232531,0,0,0,3.90
2726,雅茗-KY,2024Q1,tpex,468959,240023,708982,167385,147369,314754,280000,,149368,-14628,-46033,-20682,348025,,,46203,394228,,0,310000,12.57
