stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1240,茂生農經,2018Q1,tpex,873088,690230,1563318,545499,28908,574407,300580,13794,278194,396343,,,,,,988911,,0,0,32.90
1259,安心,2018Q1,tpex,2204697,574361,2779058,948619,26237,974856,323895,809816,660322,-20663,-10123,1763247,,,40955,1804202,0,0,117000,54.64
1264,德麥,2018Q1,tpex,2274513,883034,3157547,387780,63846,451626,336960,706936,1270516,-26298,,2288114,0,,417807,2705921,0,0,0,67.90
1268,漢來美食,2018Q1,tpex,2048778,1210374,3259152,1149973,83434,1233407,379910,1000048,552783,93004,,2025745,,,,2025745,,0,0,53.32
1336,台翰,2018Q1,tpex,1052705,1269915,2322620,692467,43341,735808,831934,804865,31214,-81201,,1586812,,,,1586812,,0,0,19.07
1565,精華,2018Q1,tpex,4576088,4081503,8657591,1916373,997887,2914260,504165,526000,4716379,-3213,,5743331,,,,5743331,0,0,0,113.92
1569,濱川,2018Q1,tpex,2988362,2997354,5985716,2145831,1056543,3202374,1127133,1039658,602709,-91359,,2678141,,,105201,2783342,0,0,0,23.76
1570,力肯,2018Q1,tpex,650761,244551,895312,184457,6564,191021,515008,0,191118,-1835,0,704291,,,0,704291,0,0,0,13.68
1580,新麥,2018Q1,tpex,2211517,924640,3136157,800156,217320,1017476,485316,74943,1560721,-60791,,2060189,,,58492,2118681,0,0,0,42.45
1584,精剛,2018Q1,tpex,848875,1497740,2346615,791408,564438,1355846,824705,286822,-75409,-90360,,945758,,,45011,990769,,0,0,11.47
1586,和勤,2018Q1,tpex,1825053,1148951,2974004,1321885,121978,1443863,757315,512309,302310,-41793,,1530141,,,,1530141,,0,0,20.20
1591,駿吉-KY,2018Q1,tpex,300866,362251,663117,229073,51310,280383,331648,22159,144720,-115793,,382734,,,,382734,0,0,0,11.54
1593,祺驊,2018Q1,tpex,697886,330190,1028076,152366,7521,159887,319484,304046,280787,-41891,0,862426,,,5763,868189,0,0,0,26.99
1595,川寶,2018Q1,tpex,2631273,1168171,3799444,951909,408551,1360460,471481,545756,1430034,-8287,,2438984,,,,2438984,,0,0,51.73
1599,宏佳騰,2018Q1,tpex,1101699,783450,1885149,442845,28856,471701,620025,487161,399729,-38987,-54480,1413448,,,,1413448,0,0,1205000,23.25
1742,台蠟,2018Q1,tpex,546352,428002,974354,355564,51950,407514,472696,4530,82605,7009,,566840,,,,566840,0,800000,0,12.03
1777,生泰,2018Q1,tpex,960727,720737,1681464,618158,41364,659522,300595,314322,409230,-2205,,,,,,1021942,0,0,0,34.00
1780,立弘,2018Q1,tpex,1039060,674537,1713597,378991,229762,608753,946000,,156530,2314,,1104844,,,,1104844,0,0,0,11.68
1781,合世,2018Q1,tpex,358953,252738,611691,227809,1363,229172,474076,0,-90248,-1309,,382519,,,,382519,,0,0,8.07
1784,訊聯,2018Q1,tpex,832451,974182,1806633,134597,278569,413166,496889,623541,21079,-6288,-1797,1133424,,,260043,1393467,0,0,62000,22.84
1785,光洋科,2018Q1,tpex,10441853,8746475,19188328,7959381,6440388,14399769,3985012,647572,263357,-58678,-214789,4622474,,,166085,4788559,0,0,8626146,11.86
1788,杏昌,2018Q1,tpex,1870658,651346,2522004,839531,14457,853988,350000,658219,665699,-5902,,1668016,,,0,1668016,0,0,0,47.66
1796,金穎生技,2018Q1,tpex,299824,274287,574111,106909,45116,152025,274404,96501,51984,-803,,422086,,,,422086,0,0,0,15.38
1799,易威,2018Q1,tpex,481121,766755,1247876,88811,125285,214096,988427,262732,-355385,-6499,,889275,,,144505,1033780,0,0,0,9.00
1813,寶利徠,2018Q1,tpex,613288,757895,1371183,323235,35163,358398,466355,263085,218393,-15327,,932506,,,80279,1012785,0,0,0,20.00
1815,富喬,2018Q1,tpex,3742286,9897398,13639684,1864810,4318832,6183642,4237844,1667918,1714397,-51241,-112876,7456042,,,,7456042,,0,10000000,18.02
2035,唐榮公司,2018Q1,tpex,4524419,14948121,19472540,4418839,9062293,13481132,3500000,46,2374392,116970,0,,,,,5991408,0,0,0,17.12
2061,風青,2018Q1,tpex,983082,232491,1215573,534567,15300,549867,620751,926,43834,195,,665706,,,,665706,0,0,0,10.72
2063,世鎧精密,2018Q1,tpex,840815,646879,1487694,579638,179401,759039,450000,28778,249603,274,,728655,,,,728655,0,0,0,16.19
2064,晉椿,2018Q1,tpex,1966151,1647312,3613463,1846003,335401,2181404,700000,101974,592988,-15895,,1379067,,,52992,1432059,0,0,0,19.70
2065,世豐,2018Q1,tpex,651459,861476,1512935,374276,71311,445587,326792,235531,308739,196286,0,,,,,1067348,0,0,0,32.66
2066,世德,2018Q1,tpex,1786966,422598,2209564,1133682,10380,1144062,365029,38699,661774,,,,,,,1065502,0,0,0,29.19
2067,嘉鋼,2018Q1,tpex,695138,729671,1424809,673911,239309,913220,451132,74109,-46744,1118,,479615,,,31974,511589,,247000,0,10.63
2070,精湛,2018Q1,tpex,1005253,613403,1618656,602337,184864,787201,322828,100010,420773,-12156,,831455,,,,831455,0,0,0,25.76
2221,大甲,2018Q1,tpex,831106,462917,1294023,311348,233392,544740,424250,52135,249749,-1408,-1573,723153,0,,26130,749283,0,0,100000,17.09
2230,泰茂,2018Q1,tpex,675651,374427,1050078,524177,57452,581629,396173,63639,15740,-7103,,468449,,,0,468449,0,0,0,11.82
2235,謚源,2018Q1,tpex,584602,1075091,1659693,312717,9592,322309,358780,497802,480802,,,,,,,1337384,,0,0,37.28
2596,綠意,2018Q1,tpex,2908429,134310,3042739,536376,,536376,973812,185311,970949,0,,2130072,,,376291,2506363,0,0,0,21.87
2640,大車隊,2018Q1,tpex,933962,1409926,2343888,873567,81124,954691,487574,451275,449477,-481,,1387845,,,1352,1389197,0,0,0,28.46
2641,正德,2018Q1,tpex,409588,3723819,4133407,392711,2384308,2777019,1850115,9478,-366891,-136314,,1356388,,,,1356388,0,0,0,7.33
2643,捷迅,2018Q1,tpex,891811,157425,1049236,345926,99887,445813,262300,72277,293937,-25091,,603423,,,,603423,,0,0,23.01
2718,全心投控,2018Q1,tpex,150408,597821,748229,42135,123968,166103,225760,82463,275765,-1862,,,,,,582126,0,0,0,25.79
2719,燦星旅,2018Q1,tpex,716958,87464,804422,557174,697,557871,362920,47789,-159589,-518,-4051,246551,,,,246551,0,0,228000,6.84
2724,藝舍-KY,2018Q1,tpex,205433,873841,1079274,614516,463736,1078252,681723,198523,-877884,-1340,0,1022,0,,0,1022,,0,0,0.01
2726,雅茗-KY,2018Q1,tpex,1058403,363253,1421656,435149,225371,660520,336259,233046,265196,-59864,-45989,728648,,,32488,761136,,0,495000,21.99
2729,瓦城,2018Q1,tpex,1023639,1458932,2482571,399159,37045,436204,232660,1210890,598040,-7728,,2033862,,,12505,2046367,0,0,0,87.42
2732,六角,2018Q1,tpex,1124376,1247881,2372257,919426,84206,1003632,363079,662301,276632,-29516,-93845,1178651,,,189974,1368625,,0,988000,33.37
2734,易飛網,2018Q1,tpex,450037,276438,726475,203635,104637,308272,302598,216887,-110153,-1477,,407855,,,10348,418203,,0,0,13.48
2736,富野,2018Q1,tpex,444716,1780909,2225625,279697,646981,926678,489923,464530,346339,-1845,,1298947,,,,1298947,,0,0,26.51
2740,華軒,2018Q1,tpex,111289,162936,274225,55132,66558,121690,159782,89126,-95236,-1137,,152535,,,0,152535,0,0,0,9.55
2745,五福,2018Q1,tpex,1464029,158232,1622261,1121599,1808,1123407,264839,83101,150914,,,498854,,,,498854,,243000,0,19.11
2916,滿心,2018Q1,tpex,844450,341819,1186269,195461,58704,254165,546269,127250,264968,-6383,,,,,,932104,0,0,0,17.06
2924,宏太-KY,2018Q1,tpex,663947,313770,977717,376144,6705,382849,340051,337137,-28706,-23214,-30400,594868,,,,594868,,0,681000,17.85
2926,誠品生活,2018Q1,tpex,2688410,1806410,4494820,1942964,740723,2683687,473897,616351,756687,-35802,,1811133,,,,1811133,0,0,0,38.22
2937,集雅社,2018Q1,tpex,713499,192389,905888,362642,10393,373035,328600,53036,151217,,,532853,,,,532853,0,0,0,16.22
3064,泰偉,2018Q1,tpex,269992,307417,577409,302145,13213,315358,721051,0,-483679,17747,0,255119,,,6932,262051,0,0,0,3.54
3066,李洲,2018Q1,tpex,388284,899721,1288005,513076,148015,661091,830706,25885,-566791,168016,,457816,,,169098,626914,,0,0,5.51
3067,全域,2018Q1,tpex,189609,101114,290723,88061,7057,95118,290252,1360,-91015,-4992,0,195605,0,,0,195605,0,0,0,6.74
3071,協禧,2018Q1,tpex,2052700,638043,2690743,1122728,82778,1205506,1200000,33039,285858,-33660,,1485237,,,0,1485237,0,0,0,12.38
3073,天方能源,2018Q1,tpex,163085,336305,499390,62746,148172,210918,464637,8566,-209186,-2415,,261602,,,26870,288472,,0,0,5.63
3078,僑威,2018Q1,tpex,6030794,1422549,7453343,2894392,236038,3130430,2273911,214286,1819968,14748,,4322913,,,,4322913,,0,0,19.01
3081,聯亞,2018Q1,tpex,2914035,1412823,4326858,406083,3425,409508,905732,1655253,1381320,-24955,0,,,,,3917350,,0,0,43.25
3083,網龍,2018Q1,tpex,1060194,172140,1232334,167457,5489,172946,857044,329512,-156829,5862,0,1035589,,,23799,1059388,0,0,0,12.08
3085,新零售,2018Q1,tpex,488966,758870,1247836,437908,75043,512951,1180817,253672,-810593,440,,624336,,,110549,734885,,0,0,5.29
3086,華義*,2018Q1,tpex,322832,137529,460361,188140,105740,293880,611661,10575,-452054,-3864,,166318,,,163,166481,,0,0,2.72
3088,艾訊,2018Q1,tpex,2378839,1504019,3882858,1262659,167488,1430147,794634,201244,1474169,-17336,,2452711,,,0,2452711,0,32000,0,30.88
3093,港建*,2018Q1,tpex,674891,336822,1011713,169320,34518,203838,362888,49699,379137,-16892,,774832,,,33043,807875,,0,0,21.35
