stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2022Q2,twse,32044197,165091085,48638801,226441341,427282739,0,,22943600,52528,,,1682443374,,,2853427,21096328,1912016,13848818,1089149,4985108,737430,2651459941,91012918,0,8237001,,1078302,49327106,509816,,2254840695,51248900,,,944223,4642663,1736390,10451680,11663512,2485693206,105934565,,,60748019,-915849,0,165766735,,,,165766735,,0,0,15.80
2812,台中銀,2022Q2,twse,11959933,37985918,32885328,48808624,106081022,,6217996,14463262,0,,,501484282,171353,355983,316157,14872781,797076,21787,207167,913803,2320279,779862751,4653700,7033930,1568174,,1203820,8179292,647265,,667884668,16500000,,,5045216,1374011,837665,109486,1083772,716120999,47654465,,1054006,14920022,113259,0,63741752,,,0,63741752,0,0,0,14.04
2820,華票,2022Q2,twse,289586,500000,97688758,92437717,,,4464163,853062,110702,,,,,,66251,149465,34829,,,402348,573620,197570501,14368356,,207109,,156396330,1560906,134721,,,,,,1299690,1429359,34972,0,248472,175679915,13429600,,11738,10774605,-2325357,,,,,,21890586,0,0,0,16.30
2834,臺企銀,2022Q2,twse,24640906,135451049,11025418,166917339,259746799,,0,11194640,349410,,,1345763420,1777,,24783,14214001,1150070,,736096,1705315,11531985,1984453008,117416238,922315,9540288,,2439839,25549427,488100,,1664104418,52250000,,,3549679,3296143,1174082,879056,3780848,1885390433,80296934,0,815900,20999716,-3049975,0,99062575,0,,0,99062575,0,0,0,12.79
2836,高雄銀,2022Q2,twse,3273140,9326969,514768,33073960,51003341,,5446650,1328128,0,,,165609242,,,980477,3092656,305835,,111408,205015,337830,274609419,10418837,0,42282,,10537144,4256842,115154,,227659623,4962000,,,0,367941,305096,,112064,258776983,12383477,,1447637,3676104,-1674782,,,,,,15832436,,0,0,13.16
2838,聯邦銀,2022Q2,twse,8765615,23361258,37591971,64896925,84298265,,27149057,27074870,69921,,,525019174,1981025,,1827166,11951100,1837213,4687101,2183627,720477,9852618,833267383,6441153,372876,730754,,58009888,7959476,454056,,674557131,5000000,945680,367000,9958974,371830,1824719,1641741,3353940,771989218,37965302,,8051984,13933195,-717600,,59232881,,,2045284,61278165,,0,0,16.95
2845,遠東銀,2022Q2,twse,6518128,62543692,44974556,92033798,77076813,,2049469,20467533,,,,438518383,1796758,,6714071,3007599,1136184,,1610412,188862,222539,758858797,3755846,0,11383678,,0,11970875,213205,,627077365,23901900,,,29687238,925987,1138616,,525883,710580593,35694838,,456426,13670244,-1543304,,48278204,,,,48278204,,0,0,13.74
2849,安泰銀,2022Q2,twse,2331290,13240995,16970011,42474333,36247792,,0,3658624,,,,220024446,,,507223,683498,464796,,208718,528993,1707009,339047728,8142237,0,531022,,1403902,3598175,173648,,290429239,,,,526542,387516,466033,36027,302151,305996492,19576094,,402822,14528525,-1456205,0,,,,,33051236,0,0,0,16.88
2897,王道銀行,2022Q2,twse,11908794,15870195,138419740,167518164,9537498,,4464163,21115711,196673,,,196802143,1016553,,728107,2506229,333718,,1910501,1205468,1433528,574967185,28348615,,927299,,160590781,5640750,304167,,291836714,13500000,,,17854770,2014440,343559,881091,2650412,524892598,30330063,,13670,6629736,-3074604,-16837,33882028,,,16192559,50074587,,2522000,0,11.18
5876,上海商銀,2022Q2,twse,66197504,307007458,8364718,470252036,118898569,,376912,19246712,146830,,,1172080930,2006061,,0,21254766,1870002,6418902,1772129,3052662,9909063,2208855254,48898752,0,5674697,,2168166,35668245,1781598,,1809450605,81086006,,,4270316,2945590,1922050,9529350,3544527,2006939902,44816031,,16666144,93876496,-6270672,-83144,149004855,,,52910497,201915352,,11397439,0,33.33
