stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2016Q1,twse,31726894,204005015,61479346,129256277,154,497554,51304663,981442,,1483970752,3644581,311986269,61156,,67940004,9685518,32360933,488633,1946692,2527063,2393862946,106027107,,21766736,33619,25880139,14041153,30228517,2239543,,1934858215,50545426,1463898,,17237663,23488555,6116763,3156941,2237084275,99063042,17758986,38821442,1133660,,,156777130,1541,156778671,,0,0,15.83
2881,富邦金,2016Q1,twse,183064356,210769288,166177385,1635754273,1328023,122027834,152188603,2371222,49612,1655994554,20008680,324648610,23768240,,1150731308,178563787,54744604,30034483,8332072,64626332,5985183266,107799603,7342458,70601337,2770157,108980155,3209251,86850377,6143934,,2002862158,151373515,1400000,,2821984216,172165953,14733076,19900350,5578116540,102336040,74449718,220360998,1434814,,,398581570,8485156,407066726,0,0,0,38.95
2882,國泰金,2016Q1,twse,273432811,112690284,339029155,1365353120,490781,57155937,140481692,4693550,,1826552910,8329836,74099404,26397586,,2797401004,381200354,97719277,60301855,12431896,58922648,7636684100,62544383,0,98632682,,44705132,35957885,50189989,946549,,1880240144,71800000,,,4323295118,548449945,29869368,19083179,7165714374,125632102,88781174,238362260,11981788,,,464757324,6212402,470969726,0,0,0,36.99
2883,凱基金,2016Q1,twse,24723408,65444068,184756092,79222112,,42643814,106681793,1027411,,224291716,,300000,11464947,27966483,59922286,2045053,14646189,8427490,5556594,17998200,877117656,4284054,,46038166,0,134064099,15265913,67427566,946212,,316982738,28627509,20808432,,1396551,62651817,1481199,8934628,708908884,151170222,650386,19631458,-3350715,-3527187,,164574164,3634608,168208772,,137038,466241938,11.23
2884,玉山金,2016Q1,twse,36336221,60369174,401915568,123561781,0,783110,76731127,15311,0,1017679357,0,5209208,0,0,40854385,460535,26856289,6005193,556143,5031096,1802364498,60546525,0,48508986,0,6356529,2870254,24176740,1764973,0,1476958940,50750000,1564399,0,486561,1379592,1163133,1555664,1678082296,79517000,20501164,21951495,1510219,0,0,123479878,802324,124282202,0,0,0,15.53
2885,元大金,2016Q1,twse,59389025,94684626,404145595,222376798,,34990259,151484435,2107290,,766313349,368661,88944779,2308198,2677128,118063620,6228448,20738361,36882641,6509245,23675463,2041887921,53617517,,111475222,2103,159780242,49277316,161013649,3958743,,946326152,74356789,30559415,3824663,135172854,74185050,3801527,16516276,1823867518,119986478,37916488,34729754,8305251,-1498603,,199439368,18581035,218020403,0,0,125875001,16.80
2886,兆豐金,2016Q1,twse,108360322,584625324,185326374,369227474,,13065190,129902582,2395391,0,1728414778,3959084,231570339,3190482,,17007986,1542262,21767107,304436,4834218,5651638,3411144987,431855452,48795769,22815947,,201979485,16696222,66840649,11234184,,2217150791,41889867,3860984,,24384808,11971620,2429859,7507049,3109412686,135998240,68194233,96026325,1460579,0,0,301679377,52924,301732301,,0,0,22.18
2887,台新新光金,2016Q1,twse,14685285,43445030,105898604,298532315,,421127,90428901,361873,,834859441,,5110,35823867,,12008927,889417,18418327,2055744,3567540,20603995,1482005503,51448819,,39296191,,84819267,2784324,20082334,1157874,,1025938161,75000000,8858140,,1030715,46385990,57160,2733410,1359592385,92247070,7148625,22361186,524183,,,122281064,132054,122413118,,1797105,0,13.26
2889,國票金,2016Q1,twse,2739036,21,110168836,105601401,,311126,16308423,703481,,,,988107,1630383,,4954944,,1910565,361398,111705,979499,246768925,,20764547,408543,,170345878,8080793,8223176,237996,,,,,,1343417,1444050,30643,389072,211268115,26764862,100068,3496840,1041232,-1195,,31401807,4099003,35500810,0,0,150000,11.73
2890,永豐金,2016Q1,twse,20730602,115447989,114955782,207519577,,15659472,85113805,318223,,887476234,,73682920,448071,,46429014,2351549,12891997,2733917,2891477,12240515,1600891144,70843200,,23650845,70952,43937740,38017198,30814239,660908,,1151543034,45958042,20145209,18437,3262518,31358685,1634453,5143942,1467059402,101679807,2227009,27981752,1884204,,,133772772,58970,133831742,,0,0,13.16
2891,中信金,2016Q1,twse,103404689,428650329,157944321,649818904,729095,15257908,149910543,1407063,0,2135191000,4163161,207517429,16416078,,608442973,24326549,64747558,23409687,11775357,56655232,4659767876,40680605,27719561,105089810,392990,56695248,12936748,73610848,4938615,,2728516788,104467197,,0,984542203,215597759,3160184,15284563,4373633119,180547806,36644757,75374669,-5938665,-582754,,286045813,88944,286134757,,0,27168000,15.87
2892,第一金,2016Q1,twse,41547933,234094239,100914529,112719287,0,1526252,68091861,1573759,,1473860327,17458,354888895,2257330,,42519997,9802762,27617948,365854,1757385,3618076,2477173892,129527426,60038,32653268,0,6428219,12883478,63694667,2898261,,1927914902,42300000,2922519,,12555479,39558682,5744843,5826436,2284968218,114611064,25916221,42890787,8441964,,,191860036,345638,192205674,0,0,0,16.74
5880,合庫金,2016Q1,twse,49272692,754531491,47336677,159710478,,1320760,23572475,1199242,,1965685368,24814,51537933,124355,,190781537,3562954,39321288,3683025,1090502,3654777,3296410368,210244559,,18290844,,47702092,15487422,41845900,1772487,,2554044775,69610000,946820,,52065438,84795050,3114650,1564214,3101484251,110722290,57964343,19353802,2973564,,,191013999,3912118,194926117,,0,0,17.25
