stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2015Q1,twse,64983384,146581710,49912107,89322525,1154,467915,45373796,1886954,,1465965354,2932465,267249483,68923,,76785795,9358604,33413605,346507,2121478,5540368,2262312127,83656136,,23280065,57099,27170933,8921894,32932689,1941036,,1846573769,47343734,2335000,,16830507,13135960,6119580,4222237,2114520639,93279700,17758986,36723628,27659,,,147789973,1515,147791488,0,0,0,15.84
2881,富邦金,2015Q1,twse,201891463,150853848,149699768,1851553420,435962,58660906,186737543,890394,48254,1649848651,14491937,257160798,7004704,,749778125,134788620,43047248,30619709,2923163,64015847,5554450360,138278251,10165630,64078899,2499458,103776464,6918379,112159517,5014687,,1816840846,155155888,2200000,,2478046705,181402307,13981161,16184151,5106702343,102336040,74446982,199842822,63087560,,,439713404,8034613,447748017,0,0,0,42.97
2882,國泰金,2015Q1,twse,372500934,167303594,232297737,1408038943,655161,43093107,161075851,7375165,0,1830447499,5993347,89008359,6069063,,2228535089,338132992,93316302,9340458,13665332,38159864,7045008797,67031921,628020,87119663,0,61616178,26428229,52282701,470300,,1733676545,107399878,,,3857417619,544775424,25662283,21182941,6585691702,125632102,88782304,180966483,58152310,0,0,453533199,5783896,459317095,0,0,0,36.10
2883,凱基金,2015Q1,twse,25287050,63042000,137254115,142862046,0,29604503,162414751,708163,,227403051,,190000,10613385,21407105,72541088,2068778,14404898,9030129,5712506,15194757,939738325,7867696,,29334851,9691,124355987,29433669,50453788,1284707,,334679948,23570225,60941695,,1180745,85631996,1454321,14180077,764379396,153533433,600999,22219947,-378375,-4271618,,171704386,3654543,175358929,,25000,512119938,11.57
2884,玉山金,2015Q1,twse,25929079,58817449,321726674,95971795,0,370351,77318570,301123,,939796116,,5729651,,,38221376,627077,21197054,5653982,224184,5225803,1597110284,57351641,,25570445,,9529930,4835583,24485859,1305001,,1307317028,47300000,408504,,370923,1629754,792721,2240000,1483137389,73016504,20371288,18354515,1441311,,0,113183618,789277,113972895,0,0,0,15.50
2885,元大金,2015Q1,twse,42442407,84052767,307481774,120263553,,25965212,156057359,1755954,0,458146816,358068,59292280,2140778,2359367,84192884,7424073,13665408,26677037,3599005,15261862,1411136604,4921545,,88692616,,117873065,36031777,144634181,3660762,,587536953,54209030,17456283,,105747990,43073894,1889976,15808040,1221536112,101410666,33668209,34196335,5413306,,,174688516,14911976,189600492,0,0,0,17.23
2886,兆豐金,2015Q1,twse,149780733,620338366,174363489,297085455,,6914831,209407293,1647631,2707,1731452090,3168805,165158933,2814101,,20166684,1299806,22075500,296467,4071594,10337501,3420381986,617966995,53752120,25095630,,184109897,15859005,61180640,10061589,,2075754233,56200000,5471289,,21613585,10688208,2292746,12611173,3152657110,124498240,55268667,85812530,1981944,0,0,267561381,163495,267724876,,0,0,21.49
2887,台新新光金,2015Q1,twse,18044408,33138519,98410005,270968706,0,231025,93540474,181655,,820956845,,2534,33298705,,9318787,919825,18035876,2002981,3628343,18275164,1420953852,68915480,,30627336,,77301599,879158,17600300,1606806,,986386758,55000000,7346268,,791744,52507106,53931,2941607,1301958093,95814304,10648428,11812842,591450,,0,118867024,128735,118995759,0,3811342,0,12.41
2889,國票金,2015Q1,twse,2484770,96,109808035,85663797,,359943,19933178,837663,,,,196631,1540321,,4643115,,1936062,459176,58497,1611011,229532295,,23850202,393618,,149625527,11741908,6407640,150083,,,,,,1430377,1417722,20051,263879,195301007,26873652,7544,3317296,432526,-485234,,30145784,4085504,34231288,0,0,50000000,11.43
2890,永豐金,2015Q1,twse,33837067,101482571,93369580,201790220,,20651808,180721342,205617,,798598852,,51206167,453580,,42608504,1772442,13736266,2795666,3012820,16182481,1562424983,72179020,,20938473,52314,37841753,32659535,33150082,1750920,,1118897222,43566735,28832120,18437,3198949,30032617,1418236,9308116,1433844529,94709209,2227009,29898455,1686350,,,128521023,59431,128580454,,0,0,13.57
2891,中信金,2015Q1,twse,101287458,250826895,100994547,777896415,377855,2908410,184584649,1828187,6323343,1851903180,327580,137307038,2096298,,208374835,6776359,44381976,17103775,9643589,31075400,3736017789,42760462,55407068,96298436,10092,60507590,8230081,77947470,5597048,,2494313601,93751565,,,358011088,169232266,1784839,32998232,3496849838,152572815,23845351,68444543,-5778589,0,,239084120,83831,239167951,,0,0,15.67
2892,第一金,2015Q1,twse,57832037,211165429,72531054,73243147,0,56040,62224795,1451931,,1446628207,3818,334459364,3067720,,44862809,9452913,28199501,391712,1629175,9743237,2356942889,129112081,77985,23373454,0,6661299,13547447,55995803,2107834,,1825525728,48900000,4967191,,11859736,65895406,5760473,5164781,2198949218,92592548,18200167,39662056,7114934,,,157569705,423966,157993671,0,0,0,17.02
5880,合庫金,2015Q1,twse,44878583,740702960,69712590,133104563,,3022652,26286332,1663977,,1856355672,5929,27626586,118918,,189998328,2785336,40216472,3745266,1173299,3761782,3145159245,225931272,,17310668,,41963027,12096364,36666272,709070,,2393248737,88110000,1454350,,58620498,80490708,3163214,1455907,2961220087,105449800,59018841,15980195,-21476,,,180427360,3511798,183939158,0,0,0,17.11
