stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2017Q4,twse,74835132,165015057,13552513,243372,,24670023,135714,,,1377040660,73175886,237412046,,,31247373,20639732,13747787,436176,3175050,931879,2036258400,108151867,,12309330,,3118536,34849855,954609,,1672079784,41739657,,,3662600,4758835,7019970,2665793,1891310836,94130007,,51271528,-453971,0,,,,,144947564,,0,0,15.40
2812,台中銀,2017Q4,twse,15001053,30121642,31210074,0,11283082,13658151,5701,0,0,430857960,31615817,85542095,128113,249003,1067625,9387663,45250,160054,681396,2009404,663024083,9518872,5120940,207225,0,4307810,13331722,255559,0,566094780,17500000,0,0,1057866,1389979,111021,726369,619622143,32931789,684156,9601018,184977,0,43401940,,,0,43401940,0,0,0,13.18
2820,華票,2017Q4,twse,307501,0,111377286,,5682864,1249639,246136,,,,98011594,0,,,173478,155116,,,109557,3099233,220412404,18137720,,8624,,173976038,475561,,,,,,,2999557,1524181,93,265698,197387472,13429600,2474,9009745,583113,,,,,,23024932,0,0,0,17.14
2834,臺企銀,2017Q4,twse,51292359,101342356,1061789,,3998104,23951301,129455,,,1111559969,66233836,202967083,,,2159191,14226866,,274349,1222464,3674849,1584093971,93529770,31464,3732481,,1105596,36630052,62495,,1316023711,41000000,,,10120545,3515351,881318,1643515,1508276298,61479617,0,14644284,-306228,0,75817673,0,,0,75817673,0,0,0,12.33
2836,高雄銀,2017Q4,twse,4158173,13273376,1277049,,9225080,1151418,48251,,,175860151,53841282,0,,,1101586,2940209,,121246,215018,151346,263364185,5923147,,989,,5367405,3659663,9894,,229748828,4000000,,,1200,367196,,98817,249177139,10032238,1657705,2442147,54956,,14187046,,,0,14187046,0,0,0,14.14
2838,聯邦銀,2017Q4,twse,12136172,19180985,12136325,,28234334,17751420,52134,,,316728989,35489633,51285957,53121,,48267839,8081729,5284434,2169444,1172974,7590797,565616287,9249185,,183384,,30273976,7108824,77173,,449049470,11700000,1409598,,4291441,182262,937196,2967213,517429722,28051524,8032413,10254481,1580257,,47918675,,,267890,48186565,,0,0,17.08
2845,遠東銀,2017Q4,twse,8693621,22351083,30208333,,11071393,22750869,7372,,,351056762,109631578,2135246,1774066,,10344836,2889392,,1725085,584502,200142,575424280,6960774,,4319121,,12921364,6488285,254446,,472392183,20216664,,,7416775,1127116,,540880,532637608,31829286,456426,10486758,14202,,42786672,,,,42786672,,0,0,13.44
2849,安泰銀,2017Q4,twse,3730106,20656368,26203824,,1764609,4206958,49638,0,,183165782,29731566,33710680,,,164551,814063,,201507,1503260,867707,306770619,4518710,,588778,,0,2250419,0,,263243798,0,,770245,3004431,427553,27485,88837,274920256,17353240,1441228,13054141,1754,0,,,,,31850363,0,0,0,18.35
2897,王道銀行,2017Q4,twse,6625973,11506456,154136983,,5682864,21202093,301362,,,180086186,149145722,499821,0,99943,1183491,3084952,,2403367,582334,4030474,540572021,53032639,,791018,,189821968,5022681,136269,,198286700,20400000,,,22337877,1874368,216007,2477851,494397378,24130063,7730,5124400,20400,0,29282593,,,16892050,46174643,,0,0,12.14
5876,上海商銀,2017Q4,twse,74683305,219570594,10767854,,195061,16705711,90429,,,926652676,340550108,112498032,1472690,,5814,21291727,5292397,,753867,2969532,1733499797,33741735,,872808,,29792067,29282966,2427171,,1403780604,52516310,,,3284108,2099179,9897033,2772722,1570466703,40791031,4655555,72723187,4323170,-83144,122409799,,,40623295,163033094,,11397439,0,30.09
