stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2019Q4,twse,32418679,166917091,11483389,116296139,276058976,247375,,23201037,207520,,,1427350947,,,40133881,20739036,1620404,13872790,720656,3312325,1062958,2135643203,102305626,,4247279,,1547291,21846910,507880,,1765948203,55521014,,,4274900,5340555,1420392,7902609,2543349,1973406008,99853111,,58495437,3888647,0,162237195,,,,162237195,,0,0,16.25
2812,台中銀,2019Q4,twse,11359548,33876974,24375536,31599331,108124373,,10256716,12819623,3279,,,435398334,156788,419393,2246,10683621,880406,18103,153125,807040,1754486,682688922,6527060,6092040,233803,,10369025,5988117,385113,,583321957,14000000,,,1174083,1383470,895285,111021,898742,631379716,37088349,726981,12640684,853192,0,51309206,,,0,51309206,0,0,0,13.83
2820,華票,2019Q4,twse,244731,,92084805,103117226,,,100013,853563,315759,,,,,,549676,154192,4735,,,67138,47721,197539559,14500869,,5122,,156689837,715039,,,,,,,0,1398066,4773,51120,319271,173684097,13429600,7308,9800304,618250,,,,,,23855462,0,0,0,17.76
2834,臺企銀,2019Q4,twse,31395561,125431516,26972786,102597144,263056842,,13399113,27736905,810,,,1132462936,,,19928,14498237,1051559,,352376,1624651,5552450,1746152814,104793612,752145,9393336,,868581,31057684,258956,,1435049547,53250000,,,6835084,3158003,1041183,888436,3289481,1650636048,71319842,815900,19702723,3678301,0,95516766,0,,0,95516766,0,0,0,13.39
2836,高雄銀,2019Q4,twse,2833786,13412538,482216,18807763,49566827,,5352821,1318777,19095,,,175151435,,,35435,2833780,265982,,128639,203637,243173,270655904,8834876,,32628,,8890539,3419076,18116,,225754145,7500000,,,171,379916,280819,,116008,255226294,10809165,1242676,3011504,366265,,,,,,15429610,0,0,0,14.27
2838,聯邦銀,2019Q4,twse,12382445,17344886,30917254,41236965,104170149,,51417825,21177107,58716,,,384649673,1587482,,3632648,7969302,1439735,5369780,2137457,698921,8970842,695161187,11860732,,650981,,65377436,4615289,369729,,532899100,10200000,1473858,,4887786,258535,1415180,1617201,3285481,638911308,30844553,8035484,12683372,4684892,,56248301,,,1578,56249879,,0,0,18.24
2845,遠東銀,2019Q4,twse,8818435,27603298,53015441,132309472,2543880,,9944957,22575863,,,,384624817,1812522,,5547572,2913291,1025968,,1674119,249411,228504,654887550,11137130,,3909304,,9675529,6703497,365937,,537396140,25001900,,,10478546,1235204,1040827,,659123,607603137,33558193,456426,12833788,436006,,47284413,,,,47284413,,0,0,14.09
2849,安泰銀,2019Q4,twse,3822055,14300860,10243630,32655544,35165480,,1435000,4742820,52118,,,199957897,,,0,696733,724450,,187467,699788,1387566,306071408,5144530,,533051,,0,2544412,70971,,260899159,,,143776,1673752,492585,726173,28552,120818,272377779,19579101,404990,13230594,478944,0,,,,,33693629,0,0,0,17.21
2897,王道銀行,2019Q4,twse,6570002,19311763,172913193,142112770,0,,100013,16483174,422886,,,194246229,,,1229503,2854194,485426,,2319547,734542,916774,560700016,43439398,,533582,,159553385,3744206,46361,,265731824,18700000,,,12909259,1915054,498832,451572,2360266,509883739,27130063,9750,6186867,-67477,,33259203,,,17557074,50816277,,0,0,12.26
5876,上海商銀,2019Q4,twse,57667823,239210172,11516965,483080348,109307916,,1899574,17797050,116128,,,1112129414,1851065,,5289234,21213428,2344427,5650641,1807755,1152968,3521826,2075556734,73492530,,3837825,,11060621,27226499,2568931,,1655067703,73254112,,,6038982,2631696,2415515,10044216,3691779,1871330409,44816031,16432561,85182232,7219939,-83144,153567619,,,50658706,204226325,,11397439,0,34.35
