stock_id,name,period,market,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1409,新纖,2017Q1,twse,81339678,52524098,133863776,90164845,9680424,99845269,16184093,1575571,6818490,1399808,-29834,25948128,,8070379,34018507,,0,4680487,16.08
1718,中纖,2017Q1,twse,526112953,141257660,667370613,594159270,21775646,615934916,14294934,1681992,5605325,-322312,-1273586,19986353,,31449344,51435697,0,0,297505145,17.66
2207,和泰車,2017Q1,twse,126380785,60656671,187037456,106915237,26279965,133195202,5461792,263060,39858558,464167,,46047577,,7794677,53842254,0,0,0,84.31
2905,三商,2017Q1,twse,120720359,865964349,986684708,12964000,940177091,953141091,7153979,1035580,7227049,-752349,-532672,14131587,0,19412030,33543617,0,0,41322000,20.96
