stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1101,台泥,2018Q3,twse,102799758,205569803,308369561,62799418,59918818,122718236,51080599,38546478,54267913,26446314,-218166,170123138,,,15528187,185651325,,0,6000000,33.34
1102,亞泥,2018Q3,twse,77813852,199296056,277109908,67123097,51921314,119044411,33614472,1360202,101161120,2082107,,138217901,,,19847596,158065497,,0,0,41.12
1103,嘉泥,2018Q3,twse,11158180,21409276,32567456,2073517,7835606,9909123,7747805,703509,9855079,3568107,-1149426,20725074,,,1933259,22658333,,0,131226016,32.20
1104,環泥,2018Q3,twse,4027473,18295782,22323255,3174803,1323605,4498408,6536092,40862,10265137,867020,,17709111,,,115736,17824847,,0,0,27.09
1108,幸福,2018Q3,twse,5164841,2067185,7232026,1510758,1344702,2855460,4047380,8,310548,-4822,0,4353114,,,23452,4376566,,0,0,10.76
1109,信大,2018Q3,twse,3337941,5655375,8993316,1323676,497112,1820788,3419579,22452,2575850,-134997,0,5882884,,,1289644,7172528,0,0,0,17.20
1110,東泥,2018Q3,twse,2109873,7178756,9288629,351210,333784,684994,5720008,188057,2166215,512881,-12185,8574976,,,28659,8603635,,0,2112865,15.05
1201,味全,2018Q3,twse,9218954,13166646,22385600,10076763,6160037,16236800,5060629,688,1283316,-207979,,6136654,,,12146,6148800,0,0,0,12.13
1203,味王,2018Q3,twse,4304159,4896872,9201031,1959099,1520596,3479695,2400000,112965,2043115,141096,-38464,4658712,,,1062624,5721336,0,0,2293865,19.60
1210,大成,2018Q3,twse,21342637,20835536,42178173,16735808,3809599,20545407,7879420,2656463,5083320,736865,-306199,16049869,,,5582897,21632766,,0,56597318,21.95
1213,大飲,2018Q3,twse,473936,983983,1457919,338948,424374,763322,566226,21938,106514,-81,,694597,,,,694597,0,0,0,12.27
1215,卜蜂,2018Q3,twse,5667103,9712384,15379487,6415150,1996261,8411411,2679910,1663,2658545,1313666,,6653784,,,314292,6968076,0,0,0,24.83
1216,統一,2018Q3,twse,165863124,233517473,399380597,154604704,79123184,233727888,56820154,3930238,47027185,-4246632,,103530945,,,62121764,165652709,0,0,0,18.22
1217,愛之味,2018Q3,twse,2571940,10510505,13082445,3639309,3141291,6780600,4945134,258702,577751,-209950,0,5571637,,,730208,6301845,0,0,0,11.27
1218,泰山,2018Q3,twse,4393948,5222039,9615987,2851273,369485,3220758,4999990,950883,769016,-125927,-203876,6390086,,,5143,6395229,0,0,13680042,13.14
1219,福壽,2018Q3,twse,4059072,4509117,8568189,2556972,2257774,4814746,3220139,32946,521777,-4019,,3770843,,,-17400,3753443,0,0,0,11.71
1220,台榮,2018Q3,twse,1926551,1105688,3032239,425098,210292,635390,1770779,1413,449416,0,0,2221608,,,175241,2396849,,0,0,12.55
1225,福懋油,2018Q3,twse,4054202,2522716,6576918,2108583,967983,3076566,2187030,121015,844104,-73294,,3078855,,,421497,3500352,,0,0,14.08
1227,佳格,2018Q3,twse,15404853,6999438,22404291,6619383,543391,7162774,9150897,93045,6147065,-352026,-21182,15017799,,,223718,15241517,0,0,6669471,16.53
1229,聯華,2018Q3,twse,2634230,27867559,30501789,4227837,1170341,5398178,10521332,734570,10345593,3433976,-2393,25033078,,,70533,25103611,,0,116000,23.80
1231,聯華食,2018Q3,twse,3899334,3266188,7165522,2623153,1273662,3896815,1662813,72657,1504224,11650,,3251344,,,17363,3268707,,0,0,19.55
1232,大統益,2018Q3,twse,4612842,668268,5281110,1557245,71530,1628775,1599749,23784,1978976,-7000,,3595509,,,56826,3652335,0,0,0,22.48
1233,天仁,2018Q3,twse,770788,1326417,2097205,428385,116048,544433,905919,45204,498048,102397,-2754,1548814,,,3958,1552772,,0,60000,17.11
