stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2019Q2,twse,36726593,192584090,9090275,119838867,270058863,274930,,26581243,428800,,,1383680944,,,44118016,20826641,1683998,13876266,686740,2991120,723066,2124170452,132528924,,12143306,,2181233,39781092,839995,,1700423094,55543886,,,4988942,5135825,1475283,7482402,3375327,1965899309,99853111,,53066496,5351536,0,158271143,,,,158271143,,0,0,16.17
2812,台中銀,2019Q2,twse,16132682,30827763,27072396,28970441,102441802,,14234539,11939220,100,,,435603676,154239,409726,429,9438837,913331,112405,154637,832043,1810727,681048993,4557185,6099042,166942,,9934170,11098377,408890,,574767238,20000000,,,1191230,1407970,921471,111049,1072201,631735765,37088349,726981,10545164,952734,0,49313228,0,,0,49313228,0,0,0,13.99
2820,華票,2019Q2,twse,214896,0,94965988,98493337,,,860000,1198780,308184,,,,,,550260,150472,12781,,,68496,47021,196870215,14600208,,3028,,153220583,1528150,65851,,,,,,2499243,1388496,12829,33020,356352,173707760,13429600,7333,9181010,544512,0,,,,,23162455,,0,0,17.25
2834,臺企銀,2019Q2,twse,39221690,95617019,16816556,89144912,268945007,,6305676,41029286,74211,,,1129877693,,,20452,14359559,860177,,298855,1631468,5063998,1709266559,112306055,814119,9318988,,1401548,53755273,328144,,1372658404,53250000,,,10863150,3196564,847221,891465,1797443,1621428374,67135742,0,16316023,4386420,0,87838185,0,,0,87838185,0,0,0,13.74
2836,高雄銀,2019Q2,twse,3162922,9697212,166430,18921108,47299693,,5949189,1568978,33431,,,175917322,,,49697,2861217,294239,,125329,229444,113032,266389243,10701962,,18649,,10787385,4322082,,,218386993,6300000,,,214,354866,308027,,129858,251310036,10809165,1242676,2602524,424842,,,,,,15079207,0,0,0,14.49
2838,聯邦銀,2019Q2,twse,11941781,22241946,39548908,41093702,96089859,,41973915,20117546,101700,,,361262960,1607673,,4883570,7912622,1253003,5494651,2139596,571410,8169238,666404080,11814650,,309894,,61012933,7634134,192852,,511545257,8200000,1535703,,4309235,328382,1223820,1449805,2983965,612540630,30847624,8032413,10426634,4299061,,53605732,,,257718,53863450,,0,0,18.55
2845,遠東銀,2019Q2,twse,8936250,21423283,46935065,131438165,2621233,,6936740,20950783,148,,,381957894,1762450,,4862027,2742607,970885,,1686861,237564,136205,633598160,12848870,,3050158,,9602391,7888963,223081,,520600275,17501900,,,13033768,1212646,978610,,624773,587565435,33558193,456426,11449943,568163,,46032725,,,,46032725,,0,0,14.08
2849,安泰銀,2019Q2,twse,3087364,12011957,18125424,40324826,33422052,,636335,5890137,52118,,,198367971,,,78837,694645,740729,,192490,787077,1328657,315740619,8616310,,649932,,530000,5025392,35257,,264303816,,,399405,1974642,464489,751059,40196,120061,282910559,18187938,1052639,13099673,489810,0,,,,,32830060,0,0,0,18.05
2897,王道銀行,2019Q2,twse,5628225,21638512,162906805,142976631,500000,,860000,16791523,403038,,,203496865,,,1550145,2882430,463333,,2404746,699844,904948,564107045,38686001,,329172,,157370894,5117478,199986,,268960305,20350000,,,17553513,1918774,472763,420388,2444495,513823769,27130063,9757,5854100,229686,,33223606,,,17059670,50283276,,0,0,12.25
5876,上海商銀,2019Q2,twse,47745798,221456912,11541327,457354946,111571019,,3379281,20765018,235935,,,1115746430,1904335,,6096372,21450028,2149151,5770860,1891737,777795,2746201,2032583145,87550535,,3814018,,8194573,38030513,2012137,,1618190329,69125590,,,4174293,2421839,2197244,9758696,3924877,1849394644,41016031,5893238,78268348,8683443,-83144,133777916,,,49410585,183188501,,11397439,0,32.71
