stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2017Q2,twse,36820615,208852078,22691133,229525,,21415261,78012,,,1340346323,80419598,217334897,,,17719149,20726679,13750692,380121,2518562,526260,1983808905,109225697,,15560485,,3193792,27687577,779542,,1628136755,41722327,,,3419366,4351089,6770700,3424512,1844271842,94130007,,45484127,-77071,0,,,,,139537063,,0,0,15.57
2812,台中銀,2017Q2,twse,10161962,29687077,32318600,0,5050050,11016318,5829,0,0,429598494,31920312,75725625,129747,253120,1097732,9444558,78148,149526,706217,2226569,639569884,5543260,5075087,310045,0,3175518,8003696,295507,0,559367560,13000000,0,0,1393398,1323985,111021,653542,598252619,32931789,684156,7640817,60503,0,41317265,,,0,41317265,0,0,0,12.76
2820,華票,2017Q2,twse,324376,0,103197822,,5120810,1392322,134361,,,,97571310,,,,175734,157786,,,109577,3026006,211210104,18824396,,21056,,163430016,1487298,32004,,,,,,3499176,1530697,159,156255,188981057,13429600,2474,8311461,485512,0,,,,,22229047,,0,0,16.55
2834,臺企銀,2017Q2,twse,36290575,99631506,1408925,,14729453,24078054,47424,,,1058565368,65744834,199661259,,,2132107,14126820,,197377,1337272,3443188,1521394162,88903726,22440,192176,,1109736,27081004,341374,,1265956646,47000000,,,10874672,3646447,882052,1453217,1447463490,61479617,0,12947164,-496109,0,73930672,0,,0,73930672,0,0,0,12.39
2836,高雄銀,2017Q2,twse,3158888,10551385,1003940,,3300452,998075,57809,,,168777258,29646141,23848717,,,1191198,2945686,,127188,167285,128199,245902221,8804266,,16605,,1261533,3155961,3796,,214204777,4000000,,,11263,321128,,107566,231886895,10032238,1657705,2380410,-55027,,14015326,,,0,14015326,0,0,0,13.97
2838,聯邦銀,2017Q2,twse,9195969,59062793,14130543,,32064969,17847599,78112,,,286711898,36023492,8122314,53256,,51098434,8087746,5360229,2168888,1342414,7790407,539139063,4331032,,92766,,33640690,4718183,115567,,438389198,11700000,1119709,,4359346,238161,852008,2907223,502463883,26051524,32413,8785204,1543748,,36412889,,,262291,36675180,,0,0,13.98
2845,遠東銀,2017Q2,twse,5666809,24212108,36637100,,14854957,23422411,101,,,346902722,100343677,2781872,1691651,,11122994,2898692,,1737826,581106,244356,573098382,3827712,,6631451,,13018301,6856782,121197,,470502589,22230136,,,6759399,1197579,,468828,531613974,31829286,456426,9232696,-34000,,41484408,,,,41484408,,0,0,13.33
2849,安泰銀,2017Q2,twse,4121189,23493581,22514216,,1298407,3503120,21390,89967,,185912041,29789035,31896610,,,244807,758231,,214450,1826244,1155220,306838508,5839133,,741593,,0,2694731,0,,252172996,10000000,,1164447,2887579,427212,31503,145854,276105048,16796775,1712427,12243225,-18967,0,,,,,30733460,0,0,0,18.30
2897,王道銀行,2017Q2,twse,6714626,15640323,146121637,,5120810,19871693,200369,0,,169896728,137322959,499762,0,135133,1674648,3996428,0,1419247,558178,4300655,513473196,57621561,,1133273,,173317016,6166247,142610,0,188114477,16650000,,,20860530,1828353,203734,1839988,467877789,24130063,7730,4807245,327285,0,29272323,,,16323084,45595407,,0,0,12.13
5876,上海商銀,2017Q2,twse,96837554,206291043,8383889,,120038,17667941,203352,,,894905740,357772780,82030421,1473756,,13778,21880754,5407773,,819504,2647804,1696456127,44944615,0,728095,,21335644,32302868,1789316,,1371926426,43150000,,,3299552,1812785,10741990,2951204,1534982495,40791031,4647655,66643562,7762633,-83144,119761737,,,41711895,161473632,,11397439,0,29.44
