stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2855,統一證,2019Q1,twse,84179112,5796393,89975505,63299327,185811,63485138,13904281,142702,11903306,702144,-231822,26420611,,,69756,26490367,0,0,18038000,19.25
6005,群益證,2019Q1,twse,111936317,16838662,128774979,89998075,2404318,92402393,23209081,2852299,6796796,1209485,0,34067661,,,2304925,36372586,0,0,0,14.68
6024,群益期,2019Q1,twse,40868130,549043,41417173,36164833,26239,36191072,1764376,1047338,2409921,-24720,,5196915,,,29186,5226101,0,0,0,29.45
