stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2855,統一證,2020Q1,twse,76084164,5866889,81951053,55942193,160033,56102226,13723900,91261,11439189,524743,0,25779093,,,69734,25848827,0,0,0,18.78
6005,群益證,2020Q1,twse,127157204,16502382,143659586,106335142,2205081,108540223,21709081,2745094,7075634,799677,0,32329486,,,2789877,35119363,0,0,0,14.89
6024,群益期,2020Q1,twse,50027186,563695,50590881,44181224,22091,44203315,2104376,1876938,2410990,-33699,,6358605,,,28961,6387566,0,0,0,30.22
