stock_id,name,period,market,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
5864,致和證,2018Q3,tpex,3633325,1446268,5079593,1398415,55500,1453915,2240475,119608,1248862,16733,,,,,,3625678,0,0,0,16.18
6015,宏遠證,2018Q3,tpex,10962046,817120,11779166,7705315,10747,7716062,3682328,245066,93643,42067,0,4063104,,,,4063104,0,0,0,11.03
6016,康和證,2018Q3,tpex,22074084,3400743,25474827,17649060,400391,18049451,6460803,209155,684176,151751,-123862,7382023,,,43353,7425376,0,0,18668000,11.77
6020,大展證,2018Q3,tpex,4032407,774544,4806951,904799,7569,912368,2523532,461,1234711,135396,,3894100,,,483,3894583,0,0,0,15.43
6021,美好證,2018Q3,tpex,8090839,793305,8884144,3858832,52642,3911474,3067559,12157,1846190,46764,,4972670,,,,4972670,0,0,0,16.21
6023,元大期貨,2018Q3,tpex,63777039,2783397,66560436,58598257,68603,58666860,2322763,940976,3528820,1101017,,7893576,,,,7893576,0,0,0,33.98
6026,福邦證,2018Q3,tpex,4146170,653254,4799424,1422898,35,1422933,2420909,25873,516738,-113,0,2963407,0,,413084,3376491,0,909000,0,12.21
