stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2022Q4,twse,51758581,149988138,31485681,214615957,485011259,0,,22446573,44675,,,1685320445,,,1768723,21030975,1954493,13845593,1121815,3390756,1068655,2684852319,52877055,0,6920062,,941013,31965424,896855,,2349882620,51219465,,,858883,3023164,1794804,9430267,6014489,2515824101,105934566,,,67464069,-4370417,0,169028218,,,,169028218,,0,0,15.96
2812,台中銀,2022Q4,twse,25760718,40921600,29009114,45228975,104757966,,11643340,14434692,,,,514112826,172301,506705,271035,16256083,809276,592167,234756,692053,2559221,807962828,8703740,8898102,1630985,,0,9427839,554448,,683104149,16500000,,,6670510,1237517,852915,109486,1043511,738733202,50154465,,1528256,17706589,-159684,0,69229626,,,0,69229626,0,0,0,13.80
2820,華票,2022Q4,twse,557558,0,111485370,87997187,1483482,,3951998,632057,230666,,,,,,94408,147025,32405,,,478240,570079,207660475,9507214,,222580,,171870770,405841,0,,,,,,2012096,1395017,32620,0,236337,185682475,13429600,,11727,11214017,-2677344,,,,,,21978000,0,0,0,16.37
2834,臺企銀,2022Q4,twse,49260262,148557744,33913114,160000410,236774247,,797893,9057109,350069,,,1400112365,808,,10315,14121833,1212593,,757216,1777199,15782948,2072486125,194966177,1131025,9925525,,2462991,21493131,1101015,,1673580263,52250000,,,2910581,2676102,1239919,879056,3763082,1968378867,80296934,,815900,26764099,-3769675,0,104107258,0,,,104107258,0,0,0,12.97
2836,高雄銀,2022Q4,twse,5079356,12329990,469208,33647618,45693890,,2966824,1173044,0,,,173734988,,,229951,3059368,302232,,111086,175238,144839,279117632,11268306,0,25579,,11734567,3973410,186942,,229654962,5377000,,,0,404014,302046,,118083,263044909,12383477,,1447637,4015623,-1774014,,,,,,16072723,,0,0,12.98
2838,聯邦銀,2022Q4,twse,12598697,24624316,29047342,59513169,82519002,,43741945,29180983,1593,,,528118601,1937259,,1638825,12518775,1674658,4803059,2184410,732966,10164333,844999933,5817199,904865,931500,,34298607,7256873,660557,,707914334,5000000,1001523,375000,10508961,349779,1662565,1819261,3381987,781883011,37940460,,8076826,15690717,-637581,,61070422,,,2046500,63116922,,0,0,16.10
2845,遠東銀,2022Q4,twse,8237870,35591182,46652529,76739907,100836081,,1146775,18999211,,,,437897093,1886047,,4790483,4760573,954076,,1597670,179701,270445,740539643,1475448,0,8689238,,4598749,5346372,311114,,607423881,20901900,,,34543411,760392,965817,,550988,685567310,40694838,,302926,15680441,-1705872,,54972333,,,,54972333,,0,0,13.51
2849,安泰銀,2022Q4,twse,4941326,14508435,17229676,40845141,43500116,,0,3319240,,,,220163434,,,239674,729151,932514,,240241,696432,1370421,348715801,3425817,0,438040,,2657042,1915552,148745,,305405086,,,,518167,318525,925012,60347,178934,315991267,19576094,,402822,14507019,-1761401,0,,,,,32724534,0,0,0,16.72
2897,王道銀行,2022Q4,twse,6414978,17785790,144850687,155223551,25665306,,3951999,3691557,299379,,,204312972,7241771,,785669,2405135,420124,,1809664,1125574,1358976,577343132,23427644,,1008165,,180156757,3272901,112306,,293164986,13600000,,,5156808,1872637,432826,628178,500360,523333568,30330063,,13652,10445863,-3050502,-16837,37722239,,,16287325,54009564,,2522000,0,12.45
5876,上海商銀,2022Q4,twse,63757313,336553517,7988907,400783774,213901918,,0,18992356,25905,,,1234305369,1937372,,0,21906365,1871270,6895605,1925844,4396598,10112912,2325355025,50192934,0,5791587,,781568,33071071,2052522,,1920666353,65244424,,,3339871,2926505,1925887,10452067,3267315,2099712104,48616031,0,27405763,100682623,-6840365,-83144,169780908,0,,55862013,225642921,,11397439,0,35.00
