stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,按攤銷後成本衡量之債務工具投資,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2018Q3,twse,39841837,181113467,11917830,99532361,215841,253448208,,31988454,14461,,,1368160468,0,0,,,57491150,20620294,13743307,339978,3510116,1091701,2083029473,113711658,,12147889,,10659008,42282957,127426,,1683082828,46518342,,,4253268,5007098,7325434,3310848,1928426756,97895207,,52846831,3860679,0,,,,,154602717,,0,0,15.79
2812,台中銀,2018Q3,twse,14931598,30528394,28136764,30461637,0,96475619,6068272,13852451,1785,0,0,448159448,0,0,155882,327354,21606,9389163,90973,164325,824533,2063734,681653538,14325033,5541420,315597,0,8402512,13215715,223887,0,572049454,18500000,0,0,1137747,1393306,111021,1028368,636244060,33755084,684156,10225190,745048,0,45409478,0,,0,45409478,0,0,0,13.45
2820,華票,2018Q3,twse,249501,0,90540731,100912603,,,2770305,1744924,309153,,,,0,0,,,549150,151402,,,104355,68407,197400531,20001391,,1468,,149768163,1006295,8061,,,,,,1999499,1404781,5576,99967,174295201,13429600,4113,9212531,459086,,,,,,23105330,,0,0,17.20
2834,臺企銀,2018Q3,twse,47917393,85210407,10616376,75767942,,248955782,20230414,34104468,91758,,,1075661227,0,0,,,92672,14171388,,246271,1578687,2900037,1617544822,83079882,382210,9239001,,1472018,51271736,724310,,1325973743,47450000,,,8470013,3369167,880169,1627389,1533939638,63938802,0,16520815,3145567,0,83605184,0,,0,83605184,0,0,0,13.08
2836,高雄銀,2018Q3,twse,3029735,11265998,391247,20440818,,45017962,9855897,1088682,33752,,,175477385,0,0,0,,20016,2903852,,126198,281363,189115,270122020,8146906,,242830,,10778209,4763249,0,,224896880,6300000,,,638,383982,,120531,255633225,10403431,1487157,2411577,186630,,,,,,14488795,0,0,0,13.93
2838,聯邦銀,2018Q3,twse,11621831,20899869,33221152,36423717,,94489284,37504183,19078452,76384,,,330234904,0,0,1632847,,2810896,8019151,5296617,2150329,872259,8076891,612408766,11975491,,275182,,44971615,7630996,52336,,477238684,9700000,1432878,,4166420,304693,1297663,2958755,562004713,28900129,8032413,10829083,2393852,,50155477,,,248576,50404053,,0,0,17.35
2845,遠東銀,2018Q3,twse,7381730,43888018,37713755,116033591,,2571272,2849225,22350598,2210,196256,,389118168,0,0,1772008,,5196400,2693387,,1705973,551174,188680,634212445,13714914,,3148209,,9220137,9481051,220208,,517635508,21501900,,,13565575,1182596,,510271,590180369,32691859,456426,10891721,-7930,,44032076,,,,44032076,,0,0,13.47
2849,安泰銀,2018Q3,twse,3424124,14225224,18212601,39624811,,38027597,391584,5178144,55385,0,,190423389,0,0,,,52403,765513,,190265,1107699,1346116,313024855,7103590,,589506,,3485667,2296476,,,263946426,0,,396053,2014837,430651,77999,138601,280479806,17353240,1441228,13425532,325049,,,,,,32545049,,0,0,18.75
2897,王道銀行,2018Q3,twse,8029528,27846533,140870916,153532738,,499911,2970543,20775623,401326,,,196129041,0,0,,,985803,2938059,,2455429,607052,1259226,559301728,58101637,,1106642,,153722301,5081898,148457,,251158210,21200000,,,18371969,1900306,317159,2213713,513322292,24130063,8524,4946400,-84987,,29000000,,,16979436,45979436,,0,0,12.02
5876,上海商銀,2018Q3,twse,70365291,211840511,14198240,401643697,,95868572,144875,20895984,197906,,,1005598124,0,0,1573700,,860,21489205,5457708,1478132,1192611,3313570,1855258986,57422943,,2062314,,25306706,31552165,2375139,,1486492676,57723924,,,4099869,2312427,9087094,3868985,1682304242,40791031,5351666,75562752,5850614,-83144,127472919,,,45481825,172954744,,11397439,0,31.34
