stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2024Q1,twse,49763631,235083796,83165911,284979748,454311970,,,23410075,175771,,,1857165476,,,1126660,20909155,1853389,13930163,1023558,2099802,1954483,3030953588,148752736,,2035785,,23256980,41053136,2667429,,2549815059,48621710,,,1361704,3284355,1706581,8665588,5436692,2836657755,108582930,,,76718733,8994170,0,194295833,,,,194295833,,0,0,17.89
2812,台中銀,2024Q1,twse,16021744,46728489,31684606,77360974,109118688,,11954946,24199224,2,,,549377596,179553,150425,121422,18177425,1017621,1191063,256339,905307,2659315,891104739,7013656,13093280,1754013,,9150588,11262635,1291363,,740374045,16500000,,,8144758,1352658,1050175,109486,1084706,812181363,52260953,,1528256,23431817,1702350,0,78923376,,,0,78923376,0,0,0,15.10
2820,華票,2024Q1,twse,340109,,127366867,96036606,2187421,,2644534,2057753,321480,,,,,,39049,145862,13105,,,268179,577035,231998000,27807535,,49760,,174686009,2382204,,,,,,,0,1375398,13302,48194,231030,206593432,13429600,,15304,12515183,-555519,,,,,,25404568,,0,0,18.92
2834,臺企銀,2024Q1,twse,34259767,125486632,75624403,205508903,248181592,,1416454,13175890,353060,,,1491622754,0,,7540,13962620,1262548,,1049242,1823363,10082939,2223817707,128147722,1510922,9650457,,1923927,26998450,510247,,1868427697,53460000,,,2199375,2601533,1285776,878623,2789395,2100384124,82224061,,815900,38942203,1451419,,123433583,,,,123433583,0,0,0,15.01
2836,高雄銀,2024Q1,twse,5044393,13718469,2583334,36865685,61848069,,5567777,1617707,,,,192392020,,,232083,3016440,392612,,98642,116452,162206,323655889,9592148,0,4181,,12411335,4420758,190400,,266366743,5377000,,,,409870,393089,22650,136779,299324953,17742982,,1436134,5471668,-319848,,,,,,24330936,,0,0,13.71
2838,聯邦銀,2024Q1,twse,10502357,34119340,61881778,64386542,81522338,,61378797,37857812,91039,,,567618628,387793,,1608266,15511259,1925655,4602219,2166955,782397,9163765,955506940,10811564,1247305,405926,,63843981,10454696,364897,,768255351,5000000,899354,375000,11382041,412884,1921511,2415114,3586421,881376045,39789525,,8125732,19272377,4734597,,71922231,,,2208664,74130895,,0,0,18.08
2845,遠東銀,2024Q1,twse,6544260,50282746,41871836,65109654,127156636,,3359331,19587981,,,,475340345,2769096,,7459335,5153848,1118205,,1565817,126791,402021,807847902,594988,400000,8850582,,1123671,6517093,252967,,671474249,14401900,,,41359375,667187,1130909,,548963,747321884,40694838,,302926,19277030,251224,,60526018,,,,60526018,,0,0,14.87
2849,安泰銀,2024Q1,twse,3267213,14209951,18182213,43507662,39628877,,448894,4280118,132679,,,220863360,,,106101,662861,794343,58888,260707,658477,1391372,348453716,3523033,,414310,,946268,2486617,0,,305114877,,,,1034329,272785,787491,60183,94995,314734888,19576094,,402822,15117404,-1377492,0,,,,,33718828,0,0,0,17.22
2897,王道銀行,2024Q1,twse,7559906,21477952,164065960,170762410,26794827,,2644534,5527665,600396,,,233548232,7089503,,1071844,2377660,449459,,1657119,996483,1662883,648286833,43354829,,938570,,187921308,7254047,199020,,322798042,14450000,,,7108009,2010522,467510,807156,462124,587771137,30330063,,25036,13111619,-1660612,-73183,41732923,,,18782773,60515696,,7939000,0,13.80
5876,上海商銀,2024Q1,twse,51640310,398513001,7335774,420460059,232681905,,5301087,20471467,98340,,,1236580061,2382979,,0,23669062,2005215,7560861,2256892,3766581,10981279,2425704873,34084151,,6012922,,2271282,36128384,1888105,,1994641671,66557917,,,6993819,2990838,2011652,11071350,3906889,2168558980,48616031,,27548445,111357622,5298310,-83144,192737264,,,64408629,257145893,0,11397439,0,39.74
