stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2021Q2,twse,25607281,223665163,52866024,156438555,349150688,190301,,23197784,515250,,,1523351146,,,20672510,20851771,1973365,13855438,624318,3490379,1471932,2417921905,92879270,19032740,3470280,,1433128,33709750,641489,,2026263562,51317955,,,1479308,4930603,1789064,8431980,2726426,2248105555,103847236,,,61508441,4460673,0,169816350,,,,169816350,,0,0,16.35
2812,台中銀,2021Q2,twse,14186460,34680652,34374715,44972375,109833434,,14604913,16336250,20,,,467027787,162407,499392,0,12390865,971753,17969,208515,813340,2513552,753594399,5985648,10052952,644176,,2963834,7957207,348933,,648078120,11500000,,,2618348,1408395,1003692,111021,1012837,693685163,41516943,,803606,16055338,1533349,0,59909236,0,,0,59909236,0,0,0,14.43
2820,華票,2021Q2,twse,300544,0,103829380,100279565,,,6934804,858424,141516,,,,,,40763,150441,4665,,,70712,573867,213184681,10250000,,47856,,169579323,1566233,191529,,,,,,4499371,1431582,4690,102314,346839,188019737,13429600,,10236,10422648,1302460,,,,,,25164944,0,0,0,18.74
2834,臺企銀,2021Q2,twse,38394344,149934249,36275729,134459219,239882344,,3496416,8417336,349410,,,1221163973,,,13256,14458411,1237160,,533826,2101756,4964419,1855681848,111361998,38792110,8386279,,2136418,25065949,367087,,1503120896,52250000,,,4980053,3324299,1232496,897457,2590731,1754505773,74885834,0,815900,21746310,3728031,0,101176075,0,,0,101176075,0,0,0,13.51
2836,高雄銀,2021Q2,twse,2686261,10205887,1063138,29398415,53439718,,5802513,1773120,0,,,175676090,,,188822,3131139,336992,,117474,166589,146402,284132560,9631810,2272510,33594,,7647550,4171698,47631,,237917908,4300000,,,0,349984,334411,,98602,266805698,12034444,,1610519,3178669,503230,,,,,,17326862,0,0,0,14.81
2838,聯邦銀,2021Q2,twse,10971055,27482960,56147853,72283330,81498594,,60420359,25852803,58495,,,444399408,1522723,,1659709,7864026,1646222,5037234,2183356,919182,10450000,810397309,13983131,4804940,575039,,68180630,6939422,322769,,624761044,7700000,1330095,495500,9588525,344620,1627712,1786182,3592458,746032067,32933688,,8040035,16067546,6922388,,63963657,,,401585,64365242,,0,0,19.42
2845,遠東銀,2021Q2,twse,7007881,29054846,28007635,175131389,497896,,7778401,20962581,,,,415859730,1935893,,7182938,2978750,1119361,,1635895,184801,243422,699581419,296172,40540,3013418,,5102,12485321,111765,,583843941,25001900,,,23247972,989959,1125279,,638090,650799459,35139632,,456426,12719156,466746,,48781960,,,,48781960,,0,0,14.15
2849,安泰銀,2021Q2,twse,2072082,11918364,14706574,40059125,37624255,,3613491,5289956,0,,,204673388,,,313,663473,554014,,203445,492098,1326115,323196693,5319090,30700,446601,,1630816,4153168,150968,,275406842,,,0,717522,470631,560410,18975,151391,289057114,19579101,,404990,13714408,441080,0,,,,,34139579,0,0,0,17.44
2897,王道銀行,2021Q2,twse,11000195,13481326,151473563,175547128,,,6934804,17720966,314717,,,174734520,743968,,879839,2609219,380261,,2046373,890843,1344354,560102076,27802498,,447743,,172657250,5922265,285890,,258197198,15100000,,,19697423,2106047,397628,784209,2458080,505856231,30330063,,6743,5616007,-164766,-38304,35749743,,,18496102,54245845,,5737000,0,11.81
5876,上海商銀,2021Q2,twse,76777023,176436191,11993284,497642595,183607759,,280873,15964273,131350,0,,1114555961,2082232,,876926,20542834,1929985,5981512,1662737,832174,9192777,2120490486,56556101,9830040,3409569,,28560269,31339595,1033930,,1674066295,80515912,,,4439015,2841592,1999473,9005250,3566618,1907163659,44816031,,16550661,96271523,4419691,-83144,161974762,,,51352065,213326827,,11397439,0,36.23
