stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2015Q2,twse,38861339,102702321,40280660,26317,,20162581,259652,,1287286985,67902797,194204103,,,46128658,23018788,11674723,459250,2653229,512765,1836134168,116953775,1020195,19243196,0,5675536,26279802,432541,,1485055689,43347070,,,1043434,3957629,6690649,2851032,1712550548,84573232,,38589533,420855,0,123583620,,,,123583620,0,0,0,15.64
2812,台中銀,2015Q2,twse,8605431,81276558,22846638,0,4279554,7096057,1164,0,381978165,19765587,3943896,139702,362992,1021051,9164576,0,156769,537698,1483754,542659592,15863765,3806220,296517,0,1022713,4961436,263115,0,463257911,14400000,0,0,304733,785826,111021,523927,505597184,30340027,683751,5893227,145403,0,37062408,,,0,37062408,0,0,0,13.00
2820,華票,2015Q2,twse,302998,0,111571505,,2750996,1215856,90517,,,74092170,119596,,,178802,161053,,,106720,885966,191476179,14120000,,2264,,152448536,2019403,23998,,,,,,,1448181,8766,83962,170155110,13429600,2474,7474726,414269,0,,0,,,21321069,0,0,0,15.88
2834,臺企銀,2015Q2,twse,52033756,75850559,3091843,,60055,23508123,141143,,1003951513,18039181,194574944,306130,,3278131,14051492,,123680,1748084,2314515,1393073149,77658004,0,219633,,4772859,26795807,,,1157071440,41600000,,,15247857,2997033,883359,786015,1328032007,56846618,0,8369979,-175455,0,65041142,0,,0,65041142,0,0,0,12.28
2836,高雄銀,2015Q2,twse,3111857,19257404,6514526,,11609697,992602,23593,,177410007,29786473,7808142,,,1918201,2969675,,76155,201641,98343,261778316,8959601,,1288,,46627,2560225,37517,,230239394,7000000,,,176400,976824,,133028,250130904,7788659,1872395,1964989,21369,,11647412,,,0,11647412,0,0,0,15.73
2838,聯邦銀,2015Q2,twse,8489762,65312825,23602623,,24865797,15163297,305494,,268098306,16768273,1780015,53987,,59101544,7738019,3643655,2154895,2186127,7079873,506344492,9395437,,78521,,32777630,4253149,19619,,409625311,9600000,559132,,2704692,980000,677315,2526128,473196934,26049374,33006,5377790,1438092,,32898262,,,249296,33147558,,0,0,13.42
2845,遠東銀,2015Q2,twse,7006998,77987793,21402372,11516,14909686,22916493,4919,,332036824,41106387,3266077,1579459,,10833001,2839709,,1788792,734266,155124,538579416,14667624,,9232991,4512,12188813,7179143,221974,,430446223,23007531,,,2977176,984688,,521207,501431882,30332430,459918,6566900,-211714,,37147534,,,,37147534,,0,0,12.98
2849,安泰銀,2015Q2,twse,5775456,56090042,20366916,,548514,6764765,266696,,190937534,38351872,465900,,,490353,956644,,228830,2843816,3233577,327320915,7307934,,6140824,,8809538,4231827,219854,,258743151,10000000,,1414865,1530822,414234,42623,135717,298991389,16796775,1461505,10284264,-213018,0,28329526,,,0,28329526,0,0,0,16.87
2897,王道銀行,2015Q2,twse,5449741,14392186,149312953,,2750996,20132390,117792,,138417721,100475605,9969124,190487,474838,2321032,2924643,8220,1255610,511333,4134566,452839237,51977768,,4747437,,153957494,6863632,194733,,153535855,14980000,,,18512741,1676567,151513,1503947,408101687,23905063,1773,4175910,559966,-18693,28624019,,,16113531,44737550,0,2869000,0,11.99
5876,上海商銀,2015Q2,twse,44464878,246326763,37464837,0,4882013,22484960,0,0,832006589,249868789,97891695,1297105,0,316646,26529873,20425,0,763572,3663707,1567981852,36873446,1545650,1252453,0,10196680,35678883,1686341,,1277980498,37150000,,,6961212,1320633,9235281,2589195,1422470272,39991207,4632533,55886046,7571151,-83144,107997793,0,,37513787,145511580,0,10641869,0,28.44
