stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2017Q4,twse,58983323,185191799,76061991,149474678,0,601507,45198320,480222,0,1582344101,4005896,380815899,57128,,41634967,9837544,32518581,543485,2646268,3024041,2573419750,84127060,,7975720,4082,40797559,27524893,43808589,1080850,,2110962220,53448450,703000,,18447562,8872718,6103727,5329157,2409185587,110465199,17758986,35513962,494436,,,164232583,1580,164234163,,0,0,14.87
2881,富邦金,2017Q4,twse,214049624,216514115,149197867,1635142008,2272840,71832960,170670909,513005,45533,1758440111,20286770,487150264,24626842,,1833092118,178327230,57259132,28253774,15671105,56107779,6919453986,138707627,5386206,40247250,2589585,158316465,23471870,107957284,11369877,,2284605939,187206734,5440749,,3230051141,191956825,12825534,30549552,6430682638,108336040,103674220,271046034,5375314,,,488431608,339740,488771348,0,0,0,45.08
2882,國泰金,2017Q4,twse,245354768,125163780,365808158,1681125738,246444,99703578,169202260,4362608,,2038528190,7237144,98759110,37355653,,3347907301,318106325,165095690,55802976,31243778,50506788,8841510289,90417859,,90514268,,112643582,51468158,57943815,8879563,,2062953012,98350000,441199,,4972427256,623527312,34828440,28645282,8233039746,133965102,130452105,283743551,50906313,0,0,599067071,9403472,608470543,0,0,0,44.72
2883,凱基金,2017Q4,twse,63807752,33829034,125949607,558889116,,55150889,100219420,745603,,325147363,302104,198886022,16375012,40973737,752610493,25450094,30880691,22169720,9081862,32055871,2392524390,28867956,,55729704,,100177627,20549392,85630607,5443513,,362729069,30000000,25704261,,1288449104,109126375,9391454,21501190,2143300252,149768196,1173719,20870156,73567,-4205566,,167680072,81544066,249224138,,516224,519061842,11.60
2884,玉山金,2017Q4,twse,55095081,76080043,408918355,170745924,,0,94083377,5054,,1211071275,,3078813,,,13571397,1960511,28209309,6222969,954988,4391191,2074388287,66652215,,43439501,,12200468,4895219,31332005,1948106,,1712278637,42550000,1283797,,505300,5519631,697535,2137442,1925439856,101855000,24529129,22012117,445970,,,148842216,106215,148948431,,0,0,14.61
2885,元大金,2017Q4,twse,64007570,54390950,432636863,395516795,,34827960,175314970,1330623,0,762319040,435887,143810470,1675124,2722678,93469307,6173646,22630593,35935777,5642845,40804112,2273645210,13520162,,120119516,0,197101189,44704087,168705371,5667788,,1056024289,65890879,71754771,0,195038820,70098914,3518474,33403394,2045547654,118891975,37960694,50925653,4554385,-1136953,,211195754,16901802,228097556,0,0,84586000,17.89
2886,兆豐金,2017Q4,twse,143864749,567201934,191581454,442557049,,2553228,96055863,786198,,1762160756,3555454,284687657,3184501,,15089381,1696863,21981154,382728,6018307,3964038,3547321314,400547065,33457560,9966779,,237706429,20165421,71839997,7525373,,2386555016,31670036,1325368,,26182764,12698470,2266455,7319019,3249225752,135998240,68194233,94868778,-1007118,0,,298054133,41429,298095562,0,0,0,21.92
2887,台新新光金,2017Q4,twse,22034918,56832392,106153738,307885507,,7615565,135089033,357417,,959618741,,6095,38521283,,11718711,769694,19143108,2283808,2480967,7009339,1677520316,64252429,,18467718,,76695065,15298649,29096110,1464131,,1194493789,64400000,10315076,,1485384,41388865,96839,4744152,1522198207,107757589,26453556,21103712,-126592,,,155188265,133844,155322109,,1849000,0,14.40
2889,國票金,2017Q4,twse,2562952,7373,127834741,106886402,,124908,21756556,488533,,,,0,1689547,,5248103,,1865985,220263,116048,1071320,269872731,,37745689,340581,,170581478,11231353,9720550,230155,,,,,,1475377,1713829,58104,847040,233944156,27866659,122240,4007829,469817,-158123,,32308422,3620153,35928575,,0,20000000,11.68
2890,永豐金,2017Q4,twse,28881355,95212951,132109580,231553240,,26716912,81073680,353015,,869373052,,56607945,400982,,34933428,2606685,12307080,2334566,2257074,22439338,1599160883,29620926,,24036034,0,66003594,44881207,40590035,1093265,,1148590896,42529694,17312597,18437,3121843,29734156,1281032,12087464,1460901180,110500530,2228771,25546808,-19910,,,138256199,3504,138259703,,0,0,12.51
2891,中信金,2017Q4,twse,154080461,281195765,175690858,478234096,137010,24658803,153686602,1740877,,2194551195,2841708,737471741,33735935,,911595514,56593899,52650171,23406249,13909970,44552690,5340733544,74874783,15470633,68406471,16865,74118226,51777524,87184528,6230722,,2944973167,112212447,,,1370665257,189540151,4198632,20079967,5019749373,198303196,50366018,88573648,-15759469,-582754,,320900639,83532,320984171,0,0,27168000,16.20
2892,第一金,2017Q4,twse,65957750,177910861,104392136,159289711,,692928,73982261,458233,,1580357495,20249,386605113,2362587,,37277789,9523723,27294565,444235,3160260,4328709,2634058605,153890754,82364,34284380,,13423337,22968835,83516583,2849800,,2016862287,29300000,1300000,,17960937,53247326,6376202,5944833,2442007638,122163933,25916221,38019583,5682906,,,191782643,268324,192050967,0,0,0,15.70
5880,合庫金,2017Q4,twse,64849640,269695830,53150130,203319458,,1580366,34360303,1350922,,2002883548,129358,516191151,124346,,213472900,8426704,34096069,3588490,1601639,2718701,3411539555,227797431,,14571524,,42299838,25657429,51332672,1298351,,2623540576,64610000,800027,,50464495,99045141,3033870,1591905,3206043259,122027036,57964343,20393446,767215,,,201152040,4344256,205496296,,0,0,16.48
