stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1409,新纖,2018Q3,twse,91472849,56907684,148380533,103226778,7626892,110853670,16184093,1575732,8633843,3043829,-29834,29407663,,8119200,37526863,,0,4680487,18.22
1718,中纖,2018Q3,twse,553618378,158034170,711652548,628321614,26578528,654900142,15224105,1692772,6918115,-4502,-1227909,22602581,,34149825,56752406,,0,310784583,18.65
2207,和泰車,2018Q3,twse,151665046,71138117,222803163,128970650,37748320,166718970,5461792,263060,41366539,481823,,47573214,,8510979,56084193,0,0,0,87.10
2905,三商,2018Q3,twse,143517794,1016629159,1160146953,14414754,1110754861,1125169615,8266847,2069199,7064323,-2511331,-532672,14356366,0,20620972,34977338,0,0,47752000,18.43
