stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2025Q4,twse,38807540,211749070,124312609,319082057,542424600,,,26360804,116626,,,2067768378,,,371614,21962532,1941470,14014912,1013697,5204876,1880453,3377011238,333816006,,2015551,,15879836,30429530,1241065,,2710322674,41785176,,,1363223,2481891,1815412,11113797,4420022,3156684183,117660462,,24,86507254,16159315,0,220327055,,,,220327055,,0,0,18.73
2812,台中銀,2025Q4,twse,13152155,52557909,43179450,100481331,103297941,,16180210,23984481,293,,,633982283,192271,216993,3888,21129858,916291,539881,541533,806263,3349295,1014512326,14856943,11661073,2682542,,10168693,9500267,558964,,842858170,15150000,,,11560692,1424683,950653,109486,1280709,922762875,60216258,,2467906,27757471,1307816,0,91749451,,,0,91749451,0,0,0,15.24
2820,華票,2025Q4,twse,368638,0,152103636,102976196,2691954,,4306136,1347172,331173,,,,,,120797,155412,31066,,,82112,607563,265121855,29965143,,13360,,204299001,664458,71901,,,,,,,1586500,31231,48366,611447,237291407,13429600,,16737,13106127,1277984,,,,,,27830448,,0,0,20.72
2834,臺企銀,2025Q4,twse,26812834,161818383,105911739,195081160,279234758,,31484029,12551346,364124,,,1669667843,,,5961,13735777,1060862,,1396730,1907393,7979846,2509012785,197280651,1551519,9877601,,5359765,19268837,472777,,2064224484,53910000,,,2472641,2519764,1098882,896118,3167040,2362100079,97180618,,816129,43543205,5372754,,146912706,,,,146912706,0,0,0,15.12
2836,高雄銀,2025Q4,twse,3302998,16806142,3744699,33587749,56553205,,11012458,1402313,,,,224511443,,,237540,3729259,294027,,120617,117558,416190,355836198,12906135,0,6258,,8652119,4154525,120266,,295897339,6327000,,,,490137,292086,32181,247184,329125230,18799170,,1436134,5251501,1224163,,,,,,26710968,,0,0,14.21
2838,聯邦銀,2025Q4,twse,7924638,43766714,86474283,68573864,79336561,,48474064,50045288,8701,,,634788461,419479,,4569855,17325151,2204829,4439815,2168532,668564,6499228,1057688027,16863758,3670418,288733,,79992512,10865428,418548,,828159910,6000000,803828,375000,16317054,500772,2213699,2632054,1259817,970361531,45405518,,8236992,23233686,8403424,,85279620,,,2046876,87326496,,0,0,18.78
2845,遠東銀,2025Q4,twse,5378820,50315876,55688152,63132388,147693446,,2703167,19108530,,,,506589988,2979414,,11222142,5220517,1435267,,1538210,121612,583363,873710892,966213,3048949,7729839,,1953568,6341467,236153,,711752762,25301720,,,43973369,659372,1457282,,441532,803862226,48652847,,830560,19355365,1009894,,69848666,,,,69848666,,0,0,14.36
2849,安泰銀,2025Q4,twse,2593317,16351774,27785961,47549146,35353935,,840922,4112026,0,,,249356879,,,76114,798076,855167,,288556,659341,1626084,388247298,4626053,,982207,,297285,2311040,116845,,337794377,,,,4720409,227658,848359,67840,108760,352100833,19576094,,406342,16230664,-66635,0,,,,,36146465,0,0,0,18.46
2897,王道銀行,2025Q4,twse,6378883,27572813,177675704,166608850,29395624,,15258857,4053276,357959,,,259183311,6352298,,1397050,2623501,396226,,1704302,662306,1678137,701299097,48610170,,678730,,219199111,4366854,85784,,328825447,14660000,,,15085857,2198222,414349,957101,1405636,636487261,30553579,,574734,13464126,-159058,-221695,44211686,,,20600150,64811836,,22939000,0,14.58
5876,上海商銀,2025Q4,twse,28603224,418484106,4432307,521796038,172989283,,32181654,23212672,1073339,0,,1185067076,1645086,,5526,23683061,1483560,5322131,2084443,6245843,12335957,2440645306,34339600,,6132148,,7192305,36633175,727921,,1982543567,65275649,,,13866786,3451936,1508848,9714811,3927586,2165314332,48616031,,27867109,116317989,12200638,-83144,204918623,,,70412351,275330974,0,11397439,0,42.25
