stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2015Q4,twse,31225679,146654212,43518615,192521,,19729443,55436,,1321934363,67415202,205777255,,,31748420,22253008,12536509,500710,2367489,348357,1906257219,124025228,3879840,22732139,,4612047,23164932,146692,,1547739711,35176580,,,1075196,4371316,6644859,3213720,1776782260,84573232,,43926296,975431,0,129474959,,,,129474959,0,0,0,15.31
2812,台中銀,2015Q4,twse,10199598,86125827,31693725,0,6994022,6653345,5895,0,391083582,23770062,5559399,136612,535475,1090841,9271750,0,183995,759682,1566905,575630715,3864104,3132454,179557,0,273312,5181226,386746,0,504863979,15900000,0,0,279014,1095522,111021,417791,535684726,31840027,684156,7073521,348285,0,39945989,,,0,39945989,0,0,0,12.55
2820,華票,2015Q4,twse,294198,,116358172,,4100000,1221950,155041,,,83810345,0,,,178805,157921,,,113228,1192495,207582155,11010000,,7284,,171238096,1381783,,,,,,,,1469907,13970,75778,185196818,13429600,2474,8277678,675585,,,,,,22385337,0,0,0,16.67
2834,臺企銀,2015Q4,twse,41061810,118884771,2082611,,26784515,24697758,293454,,1007398302,25668785,206277479,,,2086966,14105378,,131292,1437671,4980803,1475891595,77857537,0,219999,,4163147,30924431,,,1232320685,45600000,,,12197117,3321737,920890,706923,1408232466,56846618,0,10685563,126948,0,67659129,0,,0,67659129,0,0,0,11.90
2836,高雄銀,2015Q4,twse,3384503,14968151,3880449,,20065435,1026959,23593,,165943918,36836691,11736176,,,1824398,2945352,,68405,229888,116757,263050675,9155382,,19754,,1071084,2775112,52605,,229739869,7000000,,,175385,1036043,,123698,251148932,7788659,1872395,2213608,27081,,11901743,,,0,11901743,0,0,0,15.28
2838,聯邦銀,2015Q4,twse,8346755,63312965,9058815,,22072191,15217776,322660,,278801052,23319718,4207436,53794,,61133831,7723438,3703410,2144240,1886538,7184578,508489197,3781976,,54271,,26986936,4061998,49618,,421018106,9600000,604397,,2679438,1044534,881731,2575775,473338780,26051524,32413,7087950,1718277,,34890164,,,260253,35150417,,0,0,13.39
2845,遠東銀,2015Q4,twse,6104340,79028172,39672053,0,15344855,20853418,3085,,334063822,27478135,3125209,1658037,,13739260,2840692,,1776051,631541,236211,546554881,13194889,,9588248,0,3743155,3964144,422618,,451294909,20312370,,,3030963,1127306,,898631,507577233,30332430,459918,8300405,-115105,,38977648,,,,38977648,,0,0,12.85
2849,安泰銀,2015Q4,twse,5703982,57180406,28139467,,99910,6842678,221936,89967,179947097,34029179,892620,,,118334,862349,,229613,2536879,5610388,322504805,8367493,,4859212,,12877633,2681650,240332,,248627260,10000000,,1414865,2282900,477700,55450,138162,292022657,16796775,1461505,12199069,24799,0,30482148,,,0,30482148,0,0,0,18.15
2897,王道銀行,2015Q4,twse,7850486,9028597,159501055,,4100000,19936931,207351,,146443247,115841981,9849587,170642,450649,1837635,3017250,8157,1408773,554623,5779178,485986142,47840792,,6277074,,171238096,4489083,55409,,172776282,14950000,,,18317578,1741005,230434,1789099,439704852,23905063,1773,4759374,1030616,-18693,29678133,,,16603157,46281290,0,2869000,0,12.43
5876,上海商銀,2015Q4,twse,96923788,195329717,27991683,0,10245428,15118711,154683,,847606449,304480067,92771401,1361088,,36448,23913150,4226143,,962789,3747335,1624868880,37919750,,1437270,,6320676,22364638,1152377,,1343639313,38150000,,,3979973,1534882,9958414,2515208,1468972501,39991207,4639910,61675499,9015524,-83144,115238996,,,40657383,155896379,,11173961,0,28.90
