stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2855,統一證,2019Q3,twse,87004386,5915054,92919440,66291351,200815,66492166,13723900,91261,11698952,842755,0,26356868,,,70406,26427274,0,0,0,19.21
6005,群益證,2019Q3,twse,114531392,17030930,131562322,92431896,2207369,94639265,23209081,2852299,7044386,1644474,0,34750240,,,2172817,36923057,0,0,0,14.97
6024,群益期,2019Q3,twse,42250278,560064,42810342,37856713,29733,37886446,1764376,1047338,2100001,-17408,,4894307,,,29589,4923896,0,0,0,27.74
