stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1240,茂生農經,2026Q1,tpex,1220776,1054687,2275463,610593,46897,657490,442324,,144279,861201,110049,,1557853,,,60120,1617973,,0,0,35.22
1259,安心,2026Q1,tpex,1196902,5259256,6456158,2026357,1858656,3885013,323895,,809816,963001,465945,,2562657,,,8488,2571145,0,0,0,79.12
1264,德麥,2026Q1,tpex,3387125,2702736,6089861,1820028,106494,1926522,370524,,673219,2265969,37459,0,3347171,,,816168,4163339,,0,0,90.34
1268,漢來美食,2026Q1,tpex,2299358,4896459,7195817,2060201,2582935,4643136,422237,,1123334,1016975,-9865,,2552681,,,,2552681,,0,0,60.46
1294,漢田生技,2026Q1,tpex,608049,585615,1193664,224694,93988,318682,305716,,313772,280782,,-28362,871908,,,3074,874982,,0,300000,28.80
1295,生合,2026Q1,tpex,960816,2332235,3293051,921196,1121187,2042383,344748,,402165,489626,14129,,1250668,,,,1250668,0,0,0,36.28
1336,台翰,2026Q1,tpex,1262838,1976437,3239275,1057635,302511,1360146,776144,,676871,544381,-118267,,1879129,,,,1879129,0,0,0,24.21
1565,精華,2026Q1,tpex,3948087,3665859,7613946,1117579,167143,1284722,504165,,526000,5296933,2126,,6329224,,,,6329224,0,0,0,125.54
1569,濱川,2026Q1,tpex,3671340,2982082,6653422,2576382,806713,3383095,1442474,,1809696,-127683,-28645,,3095842,,,174485,3270327,,0,0,21.46
1570,力肯,2026Q1,tpex,850348,281011,1131359,83186,8668,91854,515008,,,462866,61631,,1039505,,,,1039505,0,0,0,20.18
1580,新麥,2026Q1,tpex,2800330,1794418,4594748,1203297,223723,1427020,493392,,212373,2300964,-8434,,2998295,,,169433,3167728,,0,0,60.77
1584,精剛,2026Q1,tpex,3042517,4720711,7763228,1851676,1140961,2992637,2324705,,2044435,555493,-47957,-177757,4698919,,,71672,4770591,0,0,7518000,20.89
1586,和勤,2026Q1,tpex,1788709,1802693,3591402,1141147,475291,1616438,1068495,,832685,323973,-29865,-220324,1974964,,,,1974964,0,0,5554000,19.50
1591,駿吉-KY,2026Q1,tpex,444474,324082,768556,291864,30798,322662,380480,,149153,30358,-114097,,445894,,,,445894,,0,0,11.72
1593,祺驊,2026Q1,tpex,1435719,708778,2144497,486005,255223,741228,397848,,586170,355979,-53052,,1286945,,,116324,1403269,,0,0,32.35
1595,川寶,2026Q1,tpex,2365347,1520643,3885990,831365,366843,1198208,541995,,781593,1368550,2988,-7623,2687503,,,279,2687782,,0,233000,49.80
1599,宏佳騰,2026Q1,tpex,1381244,1447418,2828662,663472,263281,926753,745287,,451593,810814,-52405,-95750,1859539,,,42370,1901909,0,0,2500000,25.82
1742,台蠟,2026Q1,tpex,272653,1075018,1347671,16652,53373,70025,926713,,162473,171733,16727,0,1277646,,,,1277646,0,0,0,13.79
1777,生泰,2026Q1,tpex,1618432,1404909,3023341,474354,65421,539775,445917,,983776,1057255,-3382,,,,,,2483566,,0,0,55.70
1780,立弘,2026Q1,tpex,1544315,637127,2181442,863473,43863,907336,962432,,12756,302481,-3563,,1274106,,,,1274106,0,0,0,13.24
1781,合世,2026Q1,tpex,435769,227542,663311,154888,196769,351657,474076,,35107,-139328,-58201,,311654,,,,311654,0,0,0,6.57
1784,訊聯,2026Q1,tpex,1932689,1167067,3099756,456857,426209,883066,531212,,768213,69514,-8468,-120579,1239892,,,976798,2216690,0,0,2815000,24.65
1785,光洋科,2026Q1,tpex,30427096,8752347,39179443,16538096,5406957,21945053,5959802,,4199835,6497396,-22271,,16634762,,,599628,17234390,,0,0,27.91
1788,杏昌,2026Q1,tpex,2704855,2563837,5268692,1519398,593022,2112420,445210,,1601988,1153803,-44729,,3156272,,,,3156272,0,0,0,70.89
1796,金穎生技,2026Q1,tpex,576964,685250,1262214,177816,302970,480786,414598,,294336,74125,-1631,,781428,,,,781428,0,0,0,18.85
1799,易威,2026Q1,tpex,718569,619724,1338293,293556,311574,605130,1246895,,188970,-740538,24129,,719456,,,13707,733163,0,0,0,5.77
1813,寶利徠,2026Q1,tpex,298111,651400,949511,278515,10431,288946,466355,,219660,20083,-18472,,687626,,,-27061,660565,,0,0,14.74
1815,富喬,2026Q1,tpex,6997720,12508390,19506110,2083591,4242717,6326308,5854795,,6106828,1470488,-237868,-14441,13179802,,,,13179802,,0,600000,22.53
2035,唐榮公司,2026Q1,tpex,3732488,14084563,17817051,3307923,12119572,15427495,3500000,,46,-1214087,103597,,,,,,2389556,,0,0,6.83
2061,風青,2026Q1,tpex,976322,249031,1225353,559112,31757,590869,573781,,89538,-36327,7492,,634484,,,,634484,0,0,0,11.06
2063,世鎧精密,2026Q1,tpex,1084492,900840,1985332,780307,276789,1057096,481015,,241906,339594,-134219,-60,928236,,,,928236,,0,2000,19.30
2064,晉椿,2026Q1,tpex,1068561,1355494,2424055,1394658,95924,1490582,693300,,101567,153545,-15708,,932704,,,769,933473,,0,0,13.45
2065,世豐,2026Q1,tpex,1417868,2123677,3541545,1106779,681925,1788704,635167,,778544,500862,-161732,0,1752841,,,,1752841,,0,0,27.60
2066,世德,2026Q1,tpex,2661996,1183577,3845573,1347175,291186,1638361,444495,,515893,1285234,-21657,-16753,2207212,,,,2207212,0,0,260000,49.95
2067,嘉鋼,2026Q1,tpex,843675,1087263,1930938,1361177,301076,1662253,451382,,,-371858,152105,,231629,,,37056,268685,,0,0,5.13
2070,精湛,2026Q1,tpex,1026852,654546,1681398,444560,97398,541958,417828,,158740,607321,-44449,,1139440,,,,1139440,0,0,0,27.27
2073,雄順,2026Q1,tpex,196747,518907,715654,193461,117174,310635,275000,,63203,69196,-2380,,,,,,405019,,0,0,14.73
2221,大甲,2026Q1,tpex,1227831,491781,1719612,360278,164903,525181,423250,0,59634,615507,-232,0,1098159,0,,96272,1194431,0,0,0,25.95
2230,泰茂,2026Q1,tpex,1270052,608884,1878936,562143,199708,761851,680296,,265713,168062,-8731,-6954,1098386,,,18699,1117085,,0,206000,16.19
2235,謚源,2026Q1,tpex,476388,944295,1420683,134975,42715,177690,358780,,497802,386411,0,,,,,,1242993,,0,0,34.64
2596,綠意,2026Q1,tpex,5716572,550559,6267131,3783929,,3783929,1000000,,189208,937013,0,,2126221,,,356981,2483202,,0,0,21.26
