stock_id,name,period,market,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1409,新纖,2016Q3,twse,78478928,50966027,129444955,87157569,9180542,96338111,16184093,1570404,6600198,734294,-29834,25059155,,8047689,33106844,,0,4680487,15.53
1718,中纖,2016Q3,twse,548532913,79413964,627946877,558915201,18597406,577512607,14294934,1587761,5556314,-201311,-1273586,19964112,,30470158,50434270,0,0,297505145,17.64
2514,龍邦,2016Q3,twse,749068,12868153,13617221,2890423,1998505,4888928,5569233,291334,3169462,2901,-305992,8726938,,1355,8728293,,0,17915000,16.19
2905,三商,2016Q3,twse,138809598,795504017,934313615,11256230,888366430,899622660,7154009,1025945,7925318,-1117608,-532672,14454992,0,20235963,34690955,0,0,41322000,21.44
