stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2855,統一證,2022Q4,twse,85395659,9495203,94890862,64963349,121025,65084374,14558313,,91261,13785771,1283747,,29719092,,,87396,29806488,0,0,0,20.41
6005,群益證,2022Q4,twse,171397616,20219025,191616641,150886125,2039403,152925528,21709081,,2743256,9884681,1407491,,35744509,,,2946604,38691113,,0,0,16.47
6024,群益期,2022Q4,twse,49535671,507697,50043368,43205487,54368,43259855,2104376,,1663251,3043848,-30087,,6781388,,,2125,6783513,,0,0,32.23
