stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,保險合約資產,再保險合約資產,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,保險合約負債,再保險合約負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2026Q1,twse,40993679,227103958,147868594,326606213,555066240,,,27910366,117704,,,2110014150,,,388889,,,22046268,2256697,14014588,990491,2985574,3200043,3481563454,348285729,,2737070,,32571432,33300497,1942477,,2774469785,42780117,,,2040406,2540073,,,2133080,8644410,4141653,3255586729,117660462,,24,91959578,16356661,0,225976725,,,,225976725,,0,0,19.21
2812,台中銀,2026Q1,twse,11220605,49734907,46943807,106058182,93409629,,12092402,25012775,791,,,644490559,199417,271848,43306,,,21256314,942163,538742,528541,756675,3403943,1016904606,14708707,10381339,2772004,,14703839,9536101,895342,,837381687,15150000,,,14055395,1389617,,,972497,109486,1263373,923319387,60216258,,2467906,30213737,687318,0,93585219,,,0,93585219,0,0,0,15.54
2820,華票,2026Q1,twse,326912,,153530806,95824616,2692877,,8447081,2134722,105344,,,,,,166857,,,154719,27152,,,202903,694751,264308740,29462554,,324714,,203085773,1418062,151547,,,,,,,1693820,,,27371,58599,211206,236433646,13429600,,16737,13785028,643729,,,,,,27875094,,0,0,20.76
2834,臺企銀,2026Q1,twse,29451426,154652684,108743146,207585147,262447347,,34627429,15106621,357395,,,1711340088,0,,5711,,,13693539,1050342,,1378038,1786778,13121921,2555347612,207525285,1536858,9846227,,3597118,20953026,971447,,2097885907,52910000,,,2130183,2511142,,,1079498,994754,4296542,2406237987,97180618,,816129,47458212,3654666,,149109625,,,,149109625,0,0,0,15.34
2836,高雄銀,2026Q1,twse,2536364,20718211,4690859,33099820,51576290,,9173873,1498674,,,,224474651,,,244180,,,3723413,273354,,141149,97290,632499,352880627,18973898,0,8444,,11065730,4424379,161781,,283892896,6327000,,,,396062,,,272158,49256,279010,325850614,18799170,,1436134,5693853,1100856,,,,,,27030013,,0,0,14.38
2838,聯邦銀,2026Q1,twse,8264919,41829467,90505592,68353005,79809811,,50116338,48208846,15298,,,641033096,405866,,4451544,,,17445342,2315282,4424848,2150078,630908,6631644,1066591884,14412219,4182060,445216,,84911798,11332010,663179,,834094706,6000000,799208,375000,16736372,498531,,,2328400,2323052,1384190,980485941,45405518,,8236992,24677234,5742232,,84061976,,,2043967,86105943,,0,0,18.51
2845,遠東銀,2026Q1,twse,7041472,56065373,63751696,64687004,139889374,,1518471,22559577,,,,512668886,2974575,,11125972,,,5190367,1681178,,1538210,182110,619131,891493396,1634853,2722731,8874115,,2250078,7356994,369599,,729332357,25301720,,,39676347,632337,,,1701926,,438475,820291532,48652847,,830560,20576943,1141514,,71201864,,,,71201864,,0,0,14.63
2849,安泰銀,2026Q1,twse,2706824,16961330,27579066,49625888,36522421,,1161030,4462789,0,,,255406346,,,136464,,,784016,793457,,278272,706887,1817422,398942212,7466790,,1310036,,290538,2368848,171876,,344444965,,,,5189002,238679,,,791876,70752,90064,362433426,19576094,0,406342,16742956,-216606,0,,,0,,36508786,,0,0,18.65
2897,王道銀行,2026Q1,twse,6137312,28557892,187285355,155218341,33622263,,20532924,5079764,124016,,,263172058,6438099,,1464810,,,2592322,363285,,1750979,809319,1793970,714942709,60980908,,1159312,,214562769,5599533,233798,,330850729,14660000,,,17154542,2347246,,,382283,1018226,695639,649644985,30553579,,578279,14226983,-490341,-221695,44646805,,,20650919,65297724,,22939000,0,14.72
5876,上海商銀,2026Q1,twse,30954201,425818251,7398362,555512310,159006353,,30352323,24905916,1166080,0,,1199080810,1766614,,24387,,,23575788,2109953,5291930,2344507,5978173,13674231,2488960189,49757409,,6718624,,12517652,44918009,958176,,1991384819,65487077,,,17065410,2955206,,,2097905,9551068,4557145,2207968500,48616031,,27867109,121615432,10437707,-83144,208453135,,,72538554,280991689,0,11397439,0,42.98
