stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1101,台泥,2020Q1,twse,98082786,261155840,359238626,64175520,87724983,151900503,56656192,48015947,68725701,19145877,-348959,192194758,,,15143365,207338123,,0,8000000,33.97
1102,亞泥,2020Q1,twse,98316766,205122146,303438912,71388811,66217729,137606540,33614472,1456060,109282684,-2171373,,142181843,,,23650529,165832372,,0,0,42.30
1103,嘉泥,2020Q1,twse,10260082,26804613,37064695,3786079,11341404,15127483,7747805,847377,10450686,3189456,-1104083,21131241,,,805971,21937212,,0,130861320,32.82
1104,環泥,2020Q1,twse,3673613,19118543,22792156,3685145,1434096,5119241,6536092,41430,11059852,-86001,,17551373,,,121542,17672915,,0,0,26.85
1108,幸福,2020Q1,twse,5278940,2224266,7503206,1863513,1295813,3159326,4047380,8,302364,-5949,0,4343803,,,77,4343880,,0,0,10.73
1109,信大,2020Q1,twse,5207386,5346395,10553781,1515206,329147,1844353,3419579,22651,3699576,-270755,,6871051,,,1838377,8709428,0,0,0,20.09
1110,東泥,2020Q1,twse,1859169,7541902,9401071,533508,491083,1024591,5720008,188162,2083337,340710,-12185,8320032,,,56448,8376480,,0,2112865,14.60
1201,味全,2020Q1,twse,6643144,12331092,18974236,7904502,4795161,12699663,5060629,36113,1492502,-322773,,6266471,,,8102,6274573,0,0,0,12.38
1203,味王,2020Q1,twse,4547902,4999676,9547578,1734210,1479661,3213871,2400000,112965,2435677,138666,-38464,5048844,,,1284863,6333707,0,0,2293865,21.24
1210,大成,2020Q1,twse,21808268,26270507,48078775,21985027,3348935,25333962,8273391,3011648,4999015,607073,-219132,16671995,,,6072818,22744813,,0,45362433,21.32
1213,大飲,2020Q1,twse,256003,1018462,1274465,106050,617646,723696,566226,21938,-37241,-154,,550769,,,,550769,0,0,0,9.73
1215,卜蜂,2020Q1,twse,6376889,11782650,18159539,6917747,2768239,9685986,2679910,2152,3875347,1225915,,7783324,,,690229,8473553,0,0,0,29.04
1216,統一,2020Q1,twse,161729790,311438874,473168664,148204135,145866587,294070722,56820154,3884297,59164268,-8085184,,111783535,,,67314407,179097942,0,0,0,19.67
1217,愛之味,2020Q1,twse,2218782,10448468,12667250,3464161,2946099,6410260,4945134,268455,630872,-352123,0,5492338,,,764652,6256990,0,0,0,11.11
1218,泰山,2020Q1,twse,2792273,5802366,8594639,1641173,232752,1873925,4999990,961786,1075569,-118075,-203876,6715394,,,5320,6720714,0,0,13680042,13.81
1219,福壽,2020Q1,twse,4336174,4430228,8766402,2323206,2237152,4560358,3220139,14358,971264,-8315,,4197446,,,8598,4206044,,0,0,13.03
1220,台榮,2020Q1,twse,1901161,1195027,3096188,406539,192931,599470,1770779,22810,522311,0,0,2315900,,,180818,2496718,,0,0,13.08
1225,福懋油,2020Q1,twse,4280479,3327311,7607790,2571332,1305765,3877097,2187030,121015,1072020,-99923,,3280142,,,450551,3730693,,0,0,15.00
1227,佳格,2020Q1,twse,18802457,6798883,25601340,7427218,746397,8173615,9150897,109718,8625674,-696077,-21182,17169030,,,258695,17427725,0,0,6669471,18.90
1229,聯華,2020Q1,twse,6819135,39231365,46050500,7690778,1484204,9174982,11047399,767928,13097321,1704944,-184763,26432829,,,10442689,36875518,,0,5947000,24.06
1231,聯華食,2020Q1,twse,3738792,3782512,7521304,2376222,1396056,3772278,1745954,72657,1911204,1749,,3731564,,,17462,3749026,,0,0,21.37
1232,大統益,2020Q1,twse,5409688,993993,6403681,1746535,252650,1999185,1599749,23784,2710029,-7000,,4326562,,,77934,4404496,0,0,0,27.05
1233,天仁,2020Q1,twse,725364,1641464,2366828,463846,318924,782770,905919,46053,537297,92886,-1974,1580181,,,3877,1584058,0,0,43000,17.45
1234,黑松,2020Q1,twse,7625475,15119671,22745146,2361131,2394627,4755758,4018711,185118,13730001,55558,0,17989388,,,0,17989388,,0,0,44.76
1235,興泰,2020Q1,twse,2921537,939889,3861426,1478185,54404,1532589,989553,41515,577903,729819,-9953,2328837,,,,2328837,,0,3226837,24.33
1236,宏亞,2020Q1,twse,693441,1802135,2495576,434618,497846,932464,1083425,33780,404552,41355,0,1563112,,,0,1563112,0,0,0,14.43
1256,鮮活果汁-KY,2020Q1,twse,1227360,1773159,3000519,778534,176153,954687,338422,425602,1419870,-168797,,2015097,,,30735,2045832,,0,0,59.54
1301,台塑,2020Q1,twse,150986967,309188846,460175813,90413020,58540856,148953876,63657408,11729585,197954196,37880748,0,311221937,0,,0,311221937,,0,0,48.89
1303,南亞,2020Q1,twse,181106832,359729798,540836630,84712244,119457784,204170028,79308216,26622115,205110660,14493942,,325534933,,,11131669,336666602,0,0,0,41.05
1304,台聚,2020Q1,twse,28885330,42595029,71480359,10824282,19625165,30449447,11887635,305578,7973875,-1217280,-475606,18474202,,,22556710,41030912,,0,116465574,17.23
1305,華夏,2020Q1,twse,5137104,7465759,12602863,1637954,1906561,3544515,5270299,10054,3248264,30379,,8558996,,,499352,9058348,,0,0,16.24
1307,三芳,2020Q1,twse,8788276,6750544,15538820,4420240,3044104,7464344,3978181,142438,4141464,-187607,,8074476,,,,8074476,,0,0,20.30
1308,亞聚,2020Q1,twse,3839845,11955479,15795324,2304639,3714953,6019592,5543827,28509,4932008,-728612,0,9775732,0,,,9775732,,0,0,17.63
1309,台達化,2020Q1,twse,4462268,3102617,7564885,1800945,1407907,3208852,3342048,810,1142721,-129546,,4356033,,,,4356033,,0,0,13.03
1310,台苯,2020Q1,twse,2313949,5862029,8175978,1185968,250003,1435971,5278698,42418,1818914,-601098,-6123,6532809,,,207198,6740007,0,0,450000,12.39
1312,國喬,2020Q1,twse,10787673,18644067,29431740,1754444,1722757,3477201,9266203,181698,14718723,-607284,-55577,23503763,,,2450776,25954539,,0,2023473,25.42
1313,聯成,2020Q1,twse,16110099,26207850,42317949,9475379,13758761,23234140,13323476,1335703,3293201,1131429,0,19083809,,,,19083809,,0,0,14.32
1314,中石化,2020Q1,twse,27620725,72530864,100151589,10505243,19148426,29653669,32848502,583181,39539425,-2549246,,70421862,,,76058,70497920,0,0,0,21.44
1315,達新,2020Q1,twse,6058744,3143154,9201898,1238722,215689,1454411,1980000,105748,4205559,1553392,-118879,7725820,0,,21667,7747487,0,0,7137000,40.48
1316,上曜,2020Q1,twse,6547706,605723,7153429,4615071,30558,4645629,1846776,103595,-166147,-3194,-165892,1615138,,,892662,2507800,0,0,21527800,9.90
1319,東陽,2020Q1,twse,8958486,27685950,36644436,7461875,6390552,13852427,5914771,4149554,12423599,-405384,,22082540,,,709469,22792009,,0,0,37.33
1321,大洋,2020Q1,twse,2052574,9672834,11725408,990746,5118531,6109277,2272283,7792,3102998,269247,-36189,5616131,0,,0,5616131,0,0,6542716,25.45
1323,永裕,2020Q1,twse,2796148,2398197,5194345,892748,2008681,2901429,912745,58340,1135940,-174008,-2813,1930204,,,362712,2292916,0,0,1200017,21.43
1324,地球,2020Q1,twse,802872,434634,1237506,229310,29536,258846,751219,867,256691,-30117,0,978660,,,0,978660,0,0,0,13.03
1325,恆大,2020Q1,twse,1098193,1063624,2161817,180553,63353,243906,852812,3167,1002905,-12202,,1846682,,,71229,1917911,0,0,0,21.65
1326,台化,2020Q1,twse,201536383,307164865,508701248,96946725,54601426,151548151,58611863,9143367,181917239,60016941,-323952,309365458,,,47787639,357153097,0,0,12169610,52.89
1337,再生-KY,2020Q1,twse,2966225,4259187,7225412,359226,60610,419836,2689547,3022638,1890261,-796870,,6805576,,,,6805576,,0,0,25.30
1338,廣華-KY,2020Q1,twse,5511108,3810079,9321187,2607296,289490,2896786,838400,2787090,3471582,-899262,,6197810,,,226591,6424401,0,0,0,73.92
1339,昭輝,2020Q1,twse,1799957,3365691,5165648,861127,667344,1528471,741389,1193024,1741405,-145674,-526,3529618,,,107559,3637177,,0,15000,47.62
1340,勝悅-KY,2020Q1,twse,3978457,1891387,5869844,131677,36838,168515,1529229,2540814,2378488,-747202,,5701329,,,,5701329,,0,0,37.28
1341,富林-KY,2020Q1,twse,1349188,914538,2263726,761596,222473,984069,494000,424397,623366,-262106,,1279657,,,,1279657,,0,0,25.90
1342,八貫,2020Q1,twse,909718,717649,1627367,385533,133869,519402,619653,107404,380908,0,,,,,,1107965,,0,0,17.88
1402,遠東新,2020Q1,twse,118335988,501855659,620191647,139029435,209100670,348130105,53528751,3270359,152317319,-5048195,-25063,204043171,,,68018371,272061542,,0,779000,38.12
