stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1409,新纖,2019Q3,twse,97031849,57636791,154668640,105629867,11366841,116996708,16184093,1567402,9274562,2380344,-29834,29376567,,8295365,37671932,,0,4680487,18.20
1718,中纖,2019Q3,twse,543140187,169625626,712765813,632896652,19910971,652807623,16213672,1710808,5196035,222522,-1227909,22115128,,37843062,59958190,,0,330985968,17.14
2207,和泰車,2019Q3,twse,166637096,80407444,247044540,165494464,19406650,184901114,5461792,292143,46010493,1069173,,52833601,,9309825,62143426,0,0,0,96.73
2905,三商,2019Q3,twse,166127455,1099931081,1266058536,18790838,1207570162,1226361000,8266827,1910584,9151901,-2687831,-532672,16108809,0,23588727,39697536,0,0,47752000,20.68
