stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2022Q4,twse,57466418,238125369,92345662,358704522,716234166,,1999158,47020578,169667,,,2037419759,6404284,359584,,17573908,12627100,32656522,2021323,968134,4018272,4047302,3630161728,182391496,0,6233545,,53361205,19879471,37923753,3599175,,2943462133,86584626,1856000,,23891682,64876567,2075114,6126380,13073475,3445334622,136427459,17758986,48876041,-18237555,,,184824931,2175,184827106,,0,0,13.55
2881,富邦金,2022Q4,twse,316596903,415990658,1418586039,961531664,3356346543,19304960,94887192,243228598,2262308,,,2586477476,48389563,57812659,,520064178,305826478,65272146,9974378,34192088,74819172,56193707,10587756710,149533515,922135,87590556,12922639,145685557,50243977,171470259,6390844,,3656769828,257381535,13696500,,4710169640,612042078,21792236,32848412,84687792,10014147503,139952026,171017736,481144311,-226423522,0,,565690551,7918656,573609207,0,0,0,40.42
2882,國泰金,2022Q4,twse,412013900,266322216,1675024629,929052914,4510776595,29891,38076491,217153186,5158702,0,,2495516810,15851568,32883301,,669832659,448140598,108550891,4833197,51636617,89895981,100135437,12070885583,97309239,0,182999244,3716091,34723428,73880000,73787470,4484328,,3185436089,132147398,12763713,,6842132184,720648395,19240853,49779071,26130045,11459177548,162025102,215318047,454847472,-233350281,0,0,598840340,12867695,611708035,,0,0,36.96
2883,凱基金,2022Q4,twse,132489379,54451552,466530498,215165592,1678606935,2511620,31770532,111420657,148379,,,427835924,1016200,20100667,,166905284,58626748,33670962,12623300,18342534,18068348,86863239,3537148350,11972428,0,82361141,581359,101183895,24778477,90722635,548915,,529644019,91643007,23675664,,2094580716,205120359,4603517,13904031,53042811,3328362974,184275310,33626805,64590198,-73829040,0,,208663273,122103,208785376,,0,0,11.32
2884,玉山金,2022Q4,twse,76217644,152916314,360749273,347716866,401405743,,7881831,125988674,15510,,,1934791917,,,,4920274,1830028,34708732,7143707,6109490,3418268,13746203,3479560474,72514434,0,89569651,,18495295,1739403,37486918,1895233,,2902599406,43850000,3500491,,1114461,99337181,4303812,1895421,4167814,3282469520,142751000,26070164,33472219,-5367107,,,196926276,164678,197090954,,0,0,13.80
2885,元大金,2022Q4,twse,76338164,79690160,420057382,339711553,540529315,,94073224,202341992,3026971,81469,,995199165,1368195,3431913,2726292,114480773,10487451,25503491,11515532,30959908,5552131,59043456,3016118537,38607095,0,134822676,,224137491,47836070,154026563,4052157,,1407441499,102487542,48460199,,363676625,140319398,4712163,4914735,63241416,2738735629,125015590,38010564,100310163,-6968170,,,256368147,21014761,277382908,0,0,0,20.51
2886,兆豐金,2022Q4,twse,113662306,416665723,204901889,524826590,565528607,,618306,86258656,329712,12380,,2079441292,16592224,4938289,,7673288,1542390,21636818,1903487,1318844,6999467,6137079,4060987347,417271579,3250380,21447467,,252342653,22637681,73475048,10752028,,2847366547,20000000,17348000,,33053040,23542283,1956726,2480569,14253893,3761177894,139398196,68194233,107542620,-15325596,0,,299809453,0,299809453,0,0,0,21.51
2887,台新新光金,2022Q4,twse,31549218,112925890,153775905,142346349,642508812,,13907236,153714625,119036,,,1416015097,566564,341325,,36393161,3811280,26025852,2282006,3530907,8025525,16965759,2764804547,18213533,0,54334795,,84562582,16054562,30774802,2221109,,1914666125,68020216,12265346,,224439809,125615854,2360330,1400365,6981307,2561910735,130741476,38197778,41221894,-7293518,,,202867630,26182,202893812,,0,0,15.52
2889,國票金,2022Q4,twse,3739279,6,180865700,111843699,,,776990,25000980,0,,,,,5900861,,17255723,265260,7260430,147693,259646,566832,4455761,358338860,,27233771,3857904,,239299390,14360985,13918848,392205,,,,,,1742267,10826952,145693,28814,4367357,316174186,34473840,234079,4440872,-2463088,0,,36685703,5478971,42164674,,0,0,10.64
2890,永豐金,2022Q4,twse,66231664,281921054,91643856,336138847,225460151,,67873919,90209758,125953,,,1328702915,,1011812,,45018164,2390819,13287583,3646832,2310197,2014238,30775495,2588763257,72477217,0,59764822,,59923315,19102966,50521956,1479084,,2000528731,71242261,6345638,18437,3099728,69764427,3132839,1668845,15674254,2434744520,113837646,2228781,52152522,-14200212,,,154018737,0,154018737,,0,0,13.53
