stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2017Q1,twse,43033565,182171431,67150258,127877236,970,343475,53459891,321464,0,1573935459,4529226,382455119,56766,,59198007,9663067,32377695,517328,2185729,4443755,2543720441,116906360,,17013823,11115,37743203,17206924,34344122,1164877,,2062217585,53447142,1474000,,18279164,13337954,6117776,3346484,2382610529,105204951,17758986,38760324,-615899,,,161108362,1550,161109912,,0,0,15.31
2881,富邦金,2017Q1,twse,149646810,255458709,160746486,1615506187,1861538,80333417,153422250,1835141,46519,1626574048,24134562,387614566,23598556,,1542961630,178022353,56837348,27987454,16126499,58156239,6360870312,90741556,8522733,60035189,3872591,129594583,10344092,91273317,13735826,,2084254754,178500088,2220000,,3040632684,174947561,12123934,23432594,5924231502,108336040,103736424,248424517,-24200591,,,436296390,342420,436638810,0,0,0,40.27
2882,國泰金,2017Q1,twse,209232345,72394108,314809668,1585571797,280751,61953035,152444064,4256014,,2076486703,8364309,81975222,35539192,,3051784517,311052082,165484947,57823449,29923074,60142386,8279517663,141378470,0,85619723,,63502517,42248055,56288473,7000902,,2014819837,51900000,,,4630696469,569313109,36229328,37227970,7736224853,133965102,130452105,263312832,9299114,,,537029153,6263657,543292810,0,0,0,40.09
2883,凱基金,2017Q1,twse,21532859,45409694,146766015,147934772,,50467734,94616689,744706,,266583134,,300000,13406599,26202813,68944801,2207815,14433547,7724610,4812722,14486989,926575499,23598929,,67999129,,128582698,27471075,60249447,883048,,319129016,21701957,21898081,,1350734,65313775,1559570,17796784,757534243,149757428,1106998,18600801,-1694003,-2376747,,165394477,3646779,169041256,,0,323231938,11.29
2884,玉山金,2017Q1,twse,37295942,65487831,376634049,148630790,,0,78010824,10757,,1137048914,,3154662,,,30962662,1932494,26864158,6050720,1155020,5769058,1919007881,79274557,,40903922,,14379536,4040690,24826957,2845459,,1556628359,50050000,3581165,,434507,6560146,688438,1811502,1786025238,87842680,20821877,23535417,150143,,,132350117,632526,132982643,,0,0,15.10
2885,元大金,2017Q1,twse,50239673,73275495,419067565,350782881,,39988034,158396131,1271719,10679040,770396931,402596,118457462,1986911,8960696,101544474,6178217,20543387,36351549,6335364,23319125,2198177250,22379191,,92850726,0,194407762,41722537,160172297,4398600,7405093,1060704135,76170680,51289568,3921211,165332120,69124915,4113906,21739693,1975732434,119986478,37956289,43463984,3912398,-1498603,,203820546,18624270,222444816,0,0,125875001,17.17
2886,兆豐金,2017Q1,twse,89938398,536133067,187814065,371053791,,4796378,80549622,699870,0,1655493748,4537545,292068163,3154303,,14349163,1707875,21691242,313259,5532371,4361611,3274194471,291939660,46443892,11111764,,236700045,16927182,67309358,9090291,,2203101201,41935540,1642256,,25137052,13305979,2319504,7699621,2974663345,135998240,68194233,97362315,-2065742,0,0,299489046,42080,299531126,,0,0,22.02
2887,台新新光金,2017Q1,twse,18195547,47639938,88964857,330588676,,6233935,111073283,534642,,908436075,,6126,37288154,,12850144,863804,18578783,2181512,3360729,10289621,1597085826,55894713,,26777742,,88298200,9669259,27352391,2057970,,1106534978,75000000,6954982,,1161012,42448909,56192,3687741,1445894089,103551901,26509975,21320711,-315264,,,151067323,124414,151191737,,49579737,0,14.58
2889,國票金,2017Q1,twse,2327679,227748,114839785,105585723,,2044964,19205910,488517,,,,0,1653596,,4668469,,1888132,361376,98372,1031479,254421750,,28616893,439548,,167530298,9967106,8404433,228106,,,,,,1395916,1542217,24741,482795,218632053,27460748,100068,4089055,313294,-316245,,31646920,4142777,35789697,0,0,40000000,11.69
2890,永豐金,2017Q1,twse,21015662,113118233,127466569,235399526,,12639695,91613379,212057,,917773584,,73337409,393458,,45227473,2627894,12502286,3084182,2975079,17669183,1677055669,53843732,,23527547,13831,44853779,50540318,37739106,936233,,1212797497,44028822,29236857,18437,3151659,32556833,1463681,7102870,1541811202,106763797,2228771,26381679,-186460,,,135187787,56680,135244467,,0,0,12.66
