stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2018Q1,twse,43326747,189679852,78511042,0,174904133,416433076,0,299834,50994781,580898,0,,1565740024,3967436,0,56812,,25154753,10060030,32528838,598197,3099544,3607937,2599543934,105372041,,6430046,2230,43604178,21331328,35969556,1479535,,2103901065,63637096,1003000,,19872536,16303769,6109374,5252256,2430268010,110465199,17758986,37010734,4038948,,,169273867,2057,169275924,,0,0,15.32
2881,富邦金,2018Q1,twse,166071411,233078576,862452438,0,850839043,2272001700,3808028,70986986,151433040,637705,3179819,,1737686435,20329836,0,24237002,,225200100,176687516,56891970,28377321,26777585,58059400,6968735911,160182681,3510420,38715108,3274436,181080238,5963424,99192940,15798051,,2206039690,190847587,5189487,,3297609238,188035160,13164871,34367108,6442970439,115002640,136946503,280566155,-7075434,,,525439864,325608,525765472,0,0,0,45.69
2882,國泰金,2018Q1,twse,307633813,106246175,1499678964,0,1132012716,2305093121,221211,93546024,157666558,4353419,,,2105919198,6778434,0,36466914,,567598725,319493063,165174158,54923780,45471637,53687724,8961965634,113925781,,93225997,,102549699,50597632,68169670,15164847,,2083438894,94500000,410307,,5026680894,632098927,36629207,35682214,8353074069,133965102,130425473,299074962,35815353,0,0,599280890,9610675,608891565,0,0,0,44.73
2883,凱基金,2018Q1,twse,53646943,38900851,365041238,0,414058132,854159312,,63091117,112290891,745217,,,344620111,418079,0,16778760,46660694,90037848,25342581,31043200,21863322,12954620,42164867,2533817783,24780429,,86461526,,130517863,22800573,88735420,7036011,,398847777,30000000,25452164,,1330063879,107801009,8898113,26319550,2287714314,149774017,1239541,26379193,-3918818,-4067855,,169406078,76697391,246103469,,361380,499861842,11.70
2884,玉山金,2018Q1,twse,53003748,78819938,453037677,0,151555583,3415940,,,87190831,14671,,,1234657628,,0,,,14626930,1975391,28311202,6077569,1410129,7762359,2121859596,70191580,,50384347,,10009689,5777446,25823760,3097486,,1743768388,46550000,349476,,790519,7757596,769504,2044358,1967314149,102049200,24710706,26959995,717984,,,154437885,107562,154545447,,0,0,15.16
2885,元大金,2018Q1,twse,58379389,46719282,487156266,0,249116747,322767976,,37144985,187433441,1052359,0,,741594689,474786,0,1680969,3298770,48208390,6375777,22351598,35725945,6385202,39052004,2294918575,39225707,,110862193,,194577062,53660774,180502075,5862855,0,1030860793,65859458,72878934,0,200250502,70543432,4008508,35084700,2064176993,118202325,37710997,53323691,4648207,-197606,,213687614,17053968,230741582,0,0,15621000,18.10
2886,兆豐金,2018Q1,twse,135089165,510004742,189796179,0,444574811,293213682,,2786114,97524222,816771,,,1772643666,3532982,0,3216916,,3566531,1693200,21925318,396106,6738381,4215647,3491734433,346105620,36435042,20101558,0,235691543,22900187,73782871,7794288,,2351865510,30567331,1095025,,26259084,13374739,2428270,8347880,3176748948,135998240,68194233,103345727,7417900,0,,314956100,29385,314985485,,0,0,23.16
2887,台新新光金,2018Q1,twse,20499795,62695621,141298035,0,310016463,6095,,3687135,132052729,357694,,,984838692,,0,38944207,,8529403,767439,19017944,2287546,3232055,7164256,1735395109,51516081,815360,21030054,,108623338,18189168,28946776,2316174,,1221537370,61700000,10532401,,1650904,45471779,64666,5362786,1577756857,107056921,25834892,24529430,83430,,,157504673,133579,157638252,,2615500,0,14.71
2889,國票金,2018Q1,twse,2217073,265126,115877787,0,98425767,,,674965,24104780,488617,,,,,,1709187,,4578188,,1858875,221420,141091,1067268,251630144,,28349804,302019,,160566787,12145486,9610849,261166,,,,,,1469912,1815518,31496,408736,214961773,27866659,122240,4328720,801816,-158123,,32961312,3707059,36668371,0,0,20000000,11.91
2890,永豐金,2018Q1,twse,27278718,104426869,131202652,0,237035711,76494907,,29874544,83765951,262037,,,860993865,,0,439495,,31329526,2600896,12614924,2310239,2373141,20989372,1623992847,43338439,,25498650,0,59537727,49923877,34671707,1429326,,1167504393,41530610,13497798,18437,3366225,29247271,1403758,11899157,1482867375,110500530,2228771,28332449,60163,,,141121913,3559,141125472,,0,0,12.77
