stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2855,統一證,2019Q4,twse,90081974,5672426,95754400,68821260,167368,68988628,13723900,91261,12362704,521815,0,26699680,,,66092,26765772,0,0,0,19.45
6005,群益證,2019Q4,twse,116002501,17167912,133170413,94684661,2269623,96954284,23209081,2852299,7927126,1578134,-1574000,33992640,,,2223489,36216129,0,0,147191000,15.64
6024,群益期,2019Q4,twse,40602721,558189,41160910,36092258,27368,36119626,1764376,1047338,2246703,-45421,,5012996,,,28288,5041284,,0,0,28.41
