stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2019Q3,twse,32586660,155394960,11113959,124472329,272616396,267177,,35176730,1040261,,,1422234702,,,34609491,20700642,1642723,13874524,707733,2423062,1358473,2130219822,104986342,,13411769,,1968160,41832539,496191,,1730495263,55538898,,,4451948,5148583,1445377,7552324,2979922,1970307316,99853111,,56046565,4012830,0,159912506,,,,159912506,,0,0,16.01
2812,台中銀,2019Q3,twse,11190168,30689801,25341825,29361895,106230844,,12902163,17757109,65,,,434922590,151758,450879,429,10582847,901255,111415,148828,884135,1957485,683585491,6151791,6092248,196137,,8524672,12495478,273000,,574924445,20000000,,,1338770,1385084,912723,111047,892200,633297595,37088349,726981,11577003,895563,0,50287896,0,,0,50287896,0,0,0,13.56
2820,華票,2019Q3,twse,326591,1000000,103321364,98191100,,,2190130,1983632,344170,,,,,,550269,151747,8758,,,66414,57966,208192141,18993954,,790,,162758889,1000898,0,,,,,,0,1386036,8810,43358,427083,184619818,13429600,7311,9504625,630787,,,,,,23572323,,0,0,17.55
2834,臺企銀,2019Q3,twse,39012963,100601682,17469396,95215148,268170790,,6045080,22966211,64866,,,1130914106,,,19241,14483886,851289,,342676,1509051,6897721,1704564106,129927954,920400,9626114,,1274971,37414866,550964,,1362641641,53250000,,,7740626,3211233,826510,892114,2022688,1610300081,71319842,815900,18333201,3795082,0,94264025,0,,0,94264025,0,0,0,13.22
2836,高雄銀,2019Q3,twse,2442625,9993878,234968,19292784,50424128,,7560033,1540224,27648,,,173918284,,,35652,2845423,275442,,124872,213459,216893,269146313,13113216,,64689,,10044506,5647290,,,217914686,6300000,,,193,369594,289783,,106635,253850592,10809165,1242676,2808371,435509,,,,,,15295721,0,0,0,14.15
2838,聯邦銀,2019Q3,twse,7811250,30220849,49994221,40837624,94554316,,52812543,27011460,132140,,,363897957,1597631,,5280629,7862851,1476902,5475934,2125166,602108,8495030,700188611,11010852,,376397,,71293425,13176606,309459,,526740422,10200000,1531234,,4223833,336316,1448996,1521573,3036372,645205485,30844553,8035484,11503429,4597407,,54980873,,,2253,54983126,,0,0,17.83
2845,遠東銀,2019Q3,twse,6435718,21879664,44796188,130077497,2620837,,2393729,23212412,3668,0,,394375765,1794207,,5208733,2845997,921481,,1680490,245530,155687,638647603,11118338,,2952045,,9200996,12994002,307314,,515634568,25001900,,,11590701,1169701,934774,,1004912,591909251,33558193,456426,12270196,453537,,46738352,,,,46738352,,0,0,13.93
2849,安泰銀,2019Q3,twse,2792141,11796049,10877890,37141093,34040676,,1215402,5066862,52118,,,201293154,,,480810,690413,708902,,186299,742298,1436658,308520765,9317970,,676399,,1988089,2475595,51278,,257369449,,,143368,1858002,476390,715414,39369,155713,275267036,18187938,1052639,13552027,461125,,,,,,33253729,,0,0,18.28
2897,王道銀行,2019Q3,twse,6843618,22693174,167442850,136944017,0,,2190130,21517160,421433,,,196690740,,,1547696,2855401,540855,,2372691,658843,958332,563676940,45089241,,281036,,167610826,5975252,117758,,257276518,18700000,,,12445664,1919937,552699,449756,2480969,512899656,27130063,9751,6179210,96200,,33415224,,,17362060,50777284,,0,0,12.32
5876,上海商銀,2019Q3,twse,49330482,215997804,11567168,466674454,110456425,,1337883,18015451,171312,,,1122778206,1898927,,5659144,21390471,2453841,5775231,1864894,767667,3553151,2039692511,82990566,,4023657,,12808245,31417900,2007679,,1610210195,79114628,,,3664819,2585046,2521803,10031136,3871778,1845247452,42659290,10624510,81927981,8869606,-83144,143998243,,,50446816,194445059,,11397439,164325852,33.85
