stock_id,name,period,market,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1409,新纖,2017Q2,twse,81004418,53444393,134448811,89900646,10441159,100341805,16184093,1575571,6681846,1676171,-29834,26087847,,8019159,34107006,,0,4680487,16.17
1718,中纖,2017Q2,twse,527821214,139139881,666961095,593895982,22130830,616026812,14294934,1681992,5583000,-242199,-1273586,20044141,,30890142,50934283,0,0,297505145,17.71
2207,和泰車,2017Q2,twse,132814224,62247773,195061997,117094387,27936146,145030533,5461792,263060,35533036,590933,,41848821,,8182643,50031464,0,0,0,76.62
2905,三商,2017Q2,twse,177835682,836081628,1013917310,16764819,959195671,975960490,7654708,1057973,7907695,746,-532672,16088450,0,21868370,37956820,0,0,41322000,23.87
