stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1259,安心,2017Q3,tpex,2228159,525065,2753224,952628,30836,983464,323895,809816,599728,-3890,-10123,1719426,,,50334,1769760,0,0,117000,53.28
1264,德麥,2017Q3,tpex,1996737,894119,2890856,377021,63998,441019,336960,706936,1058166,-31657,,2070405,,,379432,2449837,0,0,0,61.44
1268,漢來美食,2017Q3,tpex,1866810,1083820,2950630,1156706,90638,1247344,379910,998816,376401,-51841,,1703286,,,,1703286,,0,0,44.83
1336,台翰,2017Q3,tpex,1075137,1249447,2324584,676684,80067,756751,831934,804865,-7199,-61767,,1567833,,,,1567833,,0,0,18.85
1565,精華,2017Q3,tpex,4285653,3552686,7838339,1761331,1072892,2834223,504165,526000,3973677,274,,5004116,,,,5004116,0,0,0,99.26
1569,濱川,2017Q3,tpex,2716070,2514606,5230676,2345180,557439,2902619,1018918,780530,527960,-101477,,2225931,,,102126,2328057,0,62500,0,21.85
1570,力肯,2017Q3,tpex,693904,246297,940201,245970,10205,256175,515008,0,170950,-1932,0,684026,,,0,684026,0,0,0,13.28
1580,新麥,2017Q3,tpex,2214938,903155,3118093,1063201,183561,1246762,485316,74943,1364561,-107200,,1817620,,,53711,1871331,0,0,0,37.45
1584,精剛,2017Q3,tpex,879412,1505146,2384558,631096,712018,1343114,824705,286822,-45260,-68779,,997488,,,43956,1041444,,0,0,12.10
1586,和勤,2017Q3,tpex,1630911,1160243,2791154,1321218,58241,1379459,730057,469005,275308,-62675,0,1411695,,,,1411695,,0,0,20.12
1591,駿吉-KY,2017Q3,tpex,271995,356388,628383,205432,60538,265970,331648,22159,145677,-137071,,362413,,,,362413,0,0,0,10.93
1593,祺驊,2017Q3,tpex,718131,336396,1054527,276977,7108,284085,303056,259875,236924,-35122,0,764733,,,5709,770442,0,0,0,25.23
1595,川寶,2017Q3,tpex,2110847,1304280,3415127,1110231,476842,1587073,406218,212941,1216044,-7149,,1828054,,,,1828054,,0,0,45.00
1599,宏佳騰,2017Q3,tpex,1245862,738230,1984092,573342,27996,601338,620025,487161,343140,-50232,-17340,1382754,,,,1382754,0,0,353000,22.43
1742,台蠟,2017Q3,tpex,421593,409784,831377,210841,53757,264598,722406,4530,-166622,6465,,566779,,,,566779,0,0,0,7.85
1777,生泰,2017Q3,tpex,814219,696269,1510488,481299,61273,542572,300595,314322,353661,-662,,,,,,967916,0,0,0,32.20
1781,合世,2017Q3,tpex,363595,244610,608205,197515,981,198496,474076,0,-59473,-4894,,409709,,,,409709,0,0,0,8.64
1784,訊聯,2017Q3,tpex,804525,1018286,1822811,156524,295073,451597,496889,623541,4724,-6233,-1797,1117124,,,254090,1371214,0,0,62000,22.51
1785,光洋科,2017Q3,tpex,9500122,8994845,18494967,6548170,7920543,14468713,3575012,499450,44816,-39160,-222557,3857561,,,168693,4026254,0,0,8938146,11.07
1788,杏昌,2017Q3,tpex,1928509,615977,2544486,974996,13690,988686,350000,658219,549160,-3487,,1553892,,,1908,1555800,0,0,0,44.40
1796,金穎生技,2017Q3,tpex,210181,272298,482479,121873,50072,171945,249564,14069,48653,-1752,,310534,,,,310534,0,0,0,12.44
1799,易威,2017Q3,tpex,415637,730334,1145971,92583,131651,224234,838427,143025,-221751,4317,,764018,,,157719,921737,,0,0,9.11
1813,寶利徠,2017Q3,tpex,538284,776547,1314831,244994,34841,279835,466355,262855,221584,-13822,,936972,,,98024,1034996,0,0,0,20.09
1815,富喬,2017Q3,tpex,3972774,8932971,12905745,1840537,3598931,5439468,4385800,1769159,1579001,-98570,-169113,7466277,,,,7466277,,0,15000000,17.63
2035,唐榮公司,2017Q3,tpex,4292130,15006575,19298705,4037573,9004640,13042213,3500000,0,2637571,118921,0,,,,,6256492,0,0,0,17.88
2061,風青,2017Q3,tpex,875649,216240,1091889,430871,15750,446621,620751,926,24633,-1042,0,645268,,,,645268,,0,0,10.39
2063,世鎧精密,2017Q3,tpex,774203,638515,1412718,538187,208025,746212,450000,28778,187735,-7,,666506,,,,666506,0,0,0,14.81
2064,晉椿,2017Q3,tpex,1890054,1678487,3568541,1760531,391858,2152389,700000,93653,578880,-5618,,1366915,,,49237,1416152,0,0,0,19.53
2065,世豐,2017Q3,tpex,499259,894286,1393545,245696,87779,333475,326792,235531,286115,211632,0,,,,,1060070,0,0,0,32.44
2066,世德,2017Q3,tpex,1623899,480941,2104840,1080523,9979,1090502,365029,38699,610610,,,,,,,1014338,0,0,0,27.79
2067,嘉鋼,2017Q3,tpex,651932,740058,1391990,753506,232683,986189,368662,60314,-51814,-3168,0,373994,0,,31807,405801,,0,0,10.14
2221,大甲,2017Q3,tpex,726380,463806,1190186,281792,221859,503651,424250,52135,191398,-1380,-1573,664830,0,,21705,686535,0,0,100000,15.71
2230,泰茂,2017Q3,tpex,619186,372197,991383,433239,80730,513969,396173,63639,26583,-8981,,477414,,,0,477414,,0,0,12.05
2235,謚源,2017Q3,tpex,488383,1026492,1514875,532435,10197,542632,318780,203150,450313,0,,,,,,972243,,0,0,30.50
2596,綠意,2017Q3,tpex,2691114,134492,2825606,673324,,673324,973812,185311,617372,0,0,1776495,,,375787,2152282,,0,0,18.24
2640,大車隊,2017Q3,tpex,839510,1464689,2304199,815749,214526,1030275,487574,451275,333950,-285,,1272514,,,1410,1273924,0,0,0,26.10
2641,正德,2017Q3,tpex,170432,4203102,4373534,790635,1698795,2489430,1850115,13169,88137,-67317,0,1884104,,,,1884104,0,0,0,10.18
2643,捷迅,2017Q3,tpex,915653,158400,1074053,393126,92074,485200,262300,72277,261742,-7466,,588853,,,,588853,,0,0,22.45
2718,全心投控,2017Q3,tpex,194635,551206,745841,43314,127556,170870,225760,82463,272679,-5931,,,,,,574971,0,0,0,25.47
2719,燦星旅,2017Q3,tpex,682534,87679,770213,459928,642,460570,362920,47789,-96441,-574,-4051,309643,,,,309643,0,0,228000,8.59
2724,藝舍-KY,2017Q3,tpex,261996,1043886,1305882,652482,505115,1157597,681723,198523,-740658,8697,0,148285,,,,148285,,0,0,2.18
2726,雅茗-KY,2017Q3,tpex,997193,479557,1476750,594451,220311,814762,319795,176606,204023,-70599,,629825,,,32163,661988,,0,0,19.69
2729,瓦城,2017Q3,tpex,847183,1465589,2312772,385563,35400,420963,232660,1210890,447462,-11805,,1879207,,,12602,1891809,,0,0,80.77
2732,六角,2017Q3,tpex,922217,893485,1815702,584191,140320,724511,347501,528471,213484,-21176,-93845,974435,,,116756,1091191,0,0,988000,28.86
2734,易飛網,2017Q3,tpex,499574,280461,780035,177531,121735,299266,302598,216887,-49930,-936,,468619,,,12150,480769,,0,0,15.49
2736,富野,2017Q3,tpex,592907,1677730,2270637,284656,672991,957647,489923,464530,358537,,,1312990,0,,,1312990,,0,0,26.80
2740,華軒,2017Q3,tpex,152662,224009,376671,112214,85692,197906,159782,89126,-77022,-791,,171095,,,7670,178765,0,0,0,10.71
2745,五福,2017Q3,tpex,1214328,156748,1371076,896885,1875,898760,256345,80458,135513,,,472316,,,,472316,,56,0,18.50
2916,滿心,2017Q3,tpex,885482,336147,1221629,297509,69370,366879,546269,127250,189486,-8255,,,,,,854750,0,0,0,15.65
2924,宏太-KY,2017Q3,tpex,817286,304410,1121696,438724,10152,448876,340051,337137,26356,-30724,0,672820,,,,672820,,0,0,19.79
2926,誠品生活,2017Q3,tpex,2484807,1865258,4350065,2029442,725494,2754936,473897,616351,537663,-32782,,1595129,,,,1595129,0,0,0,33.66
2937,集雅社,2017Q3,tpex,630664,175431,806095,284336,10414,294750,328600,51849,130896,,,511345,,,,511345,0,0,0,15.56
3064,泰偉,2017Q3,tpex,207196,493104,700300,330491,191720,522211,721051,0,-571624,19587,,169014,,,9075,178089,0,0,0,2.34
3066,李洲,2017Q3,tpex,376590,876860,1253450,467334,149455,616789,830706,21271,-561717,170213,,460473,,,176188,636661,,0,0,5.54
3067,全域,2017Q3,tpex,190532,103960,294492,72771,10407,83178,290252,1360,-71915,-8383,0,211314,,,0,211314,0,0,0,7.28
3071,協禧,2017Q3,tpex,2035317,570731,2606048,1209865,9163,1219028,1200000,33039,209793,-55812,,1387020,,,0,1387020,0,0,0,11.56
3073,天方能源,2017Q3,tpex,195294,324208,519502,60814,147572,208386,464637,8566,-178088,-13129,,281986,,,29130,311116,,0,0,6.07
3078,僑威,2017Q3,tpex,5603973,1433044,7037017,2778003,188998,2967001,2273911,214286,1590232,-8413,,4070016,,,,4070016,,0,0,17.90
3081,聯亞,2017Q3,tpex,2582626,1201638,3784264,299189,4633,303822,905897,1655088,974358,-54901,0,,,,,3480442,,0,0,38.42
3083,網龍,2017Q3,tpex,1112811,158858,1271669,161837,4566,166403,857044,328949,-88814,-8475,0,1088704,,,16562,1105266,0,0,0,12.70
3085,新零售,2017Q3,tpex,445990,763753,1209743,299249,37159,336408,1180817,253672,-647171,810,,788128,,,85207,873335,,0,0,6.67
3086,華義*,2017Q3,tpex,274138,146223,420361,316154,0,316154,377661,28353,-295814,-6232,,103968,,,239,104207,,12000000,0,2.41
3088,艾訊,2017Q3,tpex,2054370,1489481,3543851,666444,544781,1211225,795247,192915,1351330,-6866,0,2332626,,,0,2332626,0,204000,0,29.44
3093,港建*,2017Q3,tpex,708249,336588,1044837,133746,30123,163869,362888,49699,383419,-8181,,787825,,,93143,880968,0,0,0,21.71
3095,及成,2017Q3,tpex,595820,606594,1202414,450476,514574,965050,1092763,0,-890705,-82498,,119560,,,117804,237364,0,0,0,1.09
3105,穩懋,2017Q3,tpex,10106998,19393638,29500636,4361695,5648774,10010469,4026664,3712896,9624393,1456601,0,18820554,,,669613,19490167,0,0,0,46.74
